user,uid,sum,2021-09,2021-10,2021-11,2021-12,2022-01,2022-02,2022-03,2022-04,2022-05,2022-06,2022-07,2022-08
Rico557,3281808,2871,140,159,462,225,510,219,113,382,160,122,189,190
Антон-1983,1937991,2398,241,204,278,256,391,169,119,191,187,101,171,90
4004,456597,2028,76,110,463,181,170,139,165,240,126,117,110,131
basilisk,256949,1885,0,285,97,15,11,7,7,447,673,313,12,18
dez,388123,1747,113,82,779,167,21,4,119,420,0,0,37,5
Berasce,10701902,1616,0,227,287,271,280,372,18,1,0,0,110,50
MaximusAD,4330588,1574,0,0,0,0,0,0,299,231,521,314,190,19
Prusaker,2643755,1435,143,154,181,147,75,109,54,113,137,79,103,140
Grimmlex,6938923,1431,108,133,118,10,42,427,188,116,67,117,13,92
DojD54,13198112,1387,189,156,99,78,46,138,127,132,123,105,131,63
andreiSk,4688028,1305,0,0,318,75,254,658,0,0,0,0,0,0
Lex_from_Belarus,4418739,1167,97,210,392,212,52,26,4,27,67,15,41,24
frost56k,3110818,1117,250,72,7,197,306,48,15,19,55,64,14,70
kate_rocketdata,12100948,1107,36,1,15,2,58,115,137,107,163,213,113,147
ihareg,3019436,1087,309,57,22,1,0,23,28,114,219,18,200,96
alex_29a,6327770,1054,40,71,60,78,73,90,35,170,145,99,67,126
danvyr,380564,1046,9,48,42,94,107,50,96,27,94,174,232,73
🅰🅽🅳🆁🅴🆈,4628447,1044,0,0,0,0,0,0,0,0,0,25,752,267
LLlypuk82,788014,996,230,163,79,43,54,31,87,80,103,49,73,4
iWowik,481934,972,89,80,31,41,81,45,45,171,241,14,76,58
Re_gor,11526230,910,0,0,0,0,51,186,3,2,137,242,177,112
mixdm,155088,869,0,0,0,2,0,0,0,0,301,233,125,208
b-jazz-bot,9451067,852,5,5,4,11,9,2,7,3,764,34,2,6
repometrcom,13615465,830,0,0,2,0,631,191,2,0,0,0,0,4
Кірыла,5009856,713,2,9,25,4,4,8,13,7,42,50,17,532
Дмитрий Ас,13409391,677,137,92,60,104,80,25,107,72,0,0,0,0
Reinkarnator,3091348,636,22,35,38,61,25,25,27,39,37,29,47,251
OlevU,15271171,623,0,0,0,0,0,0,289,294,0,31,9,0
kartenleser,80117,619,0,0,0,10,391,5,0,0,0,84,128,1
Ivan 33,9186359,549,11,38,55,144,41,53,14,64,6,99,24,0
alies',7447930,538,31,16,12,21,27,29,40,32,72,47,101,110
Monotheist,6526790,530,52,19,16,40,47,51,39,63,36,64,36,67
Valdis_J,10376655,517,148,97,11,37,22,18,0,47,75,9,35,18
lllllllIIIIIllll,10531804,509,154,53,40,72,51,33,11,10,0,8,8,69
yhole,11723382,507,56,21,174,2,0,5,0,0,0,16,151,82
celinedione,10800866,506,0,0,0,0,0,26,10,82,37,12,1,338
Pavelfantik,6528603,459,9,15,10,18,8,71,72,69,56,60,44,27
Władysław Komorek,693154,446,0,0,118,102,86,48,11,79,0,2,0,0
siarhei2022,16260896,442,0,0,0,0,0,0,0,0,0,135,225,82
iglezz,450366,416,4,8,133,2,0,0,10,27,85,94,27,26
bad_mapper,10532296,404,23,16,8,35,54,24,20,19,35,57,54,59
LidaCity,505124,368,30,31,32,31,31,27,31,30,34,30,36,25
semigradsky,2006629,366,52,26,93,22,9,32,65,29,8,12,5,13
tbicr,278800,343,0,0,0,0,0,5,0,62,127,51,78,20
tryittt,12912983,342,0,1,3,0,8,24,124,36,52,15,38,41
Расслабон,234168,341,14,25,13,17,2,15,6,8,4,45,76,116
IslandStyle08,13766367,339,0,0,7,82,250,0,0,0,0,0,0,0
Qwerty boy,468054,322,0,37,44,49,121,45,13,6,0,2,5,0
Victor Kareno,12194606,313,20,24,20,55,23,0,15,29,61,29,26,11
Hoordinates,8867106,294,57,15,32,30,159,0,0,0,0,0,1,0
Jan382,13415059,276,50,53,0,3,1,0,0,0,12,157,0,0
f1mishutka,278075,274,64,21,66,45,9,0,0,0,25,28,12,4
fadei4_01,6943189,274,2,50,26,39,63,0,8,50,5,11,12,8
Alexey_ND,515330,261,33,75,13,2,1,5,0,17,2,22,14,77
AlexFringilla,5632617,249,20,26,32,19,51,43,15,6,22,10,4,1
matsumi,1728863,247,30,28,9,7,20,31,34,30,15,9,18,16
amsnk,12901633,243,10,7,21,37,38,6,16,22,10,21,19,36
soya666,2676668,237,10,4,4,19,18,3,1,0,6,18,82,72
gimdim,1270403,235,8,150,11,22,22,0,0,3,2,0,17,0
slucek,8558226,232,27,5,1,0,1,0,10,6,31,20,49,82
Дмитрий 2860,15780759,232,0,0,0,0,0,0,0,20,92,100,13,7
OpenStreetMap_Pinsk,13744635,223,0,24,5,11,34,20,23,23,16,17,9,41
dannyloumax,11904318,210,1,136,65,0,0,0,0,0,1,0,0,7
Alexandr Pevnev,4996294,195,24,31,16,20,15,9,7,18,20,7,12,16
yff5,5087292,185,0,0,11,0,0,0,0,0,4,108,42,20
Roman82101,9626635,175,1,21,0,1,0,0,1,0,35,60,43,13
::::,648920,172,13,10,34,23,9,3,23,27,0,10,0,20
trigeo,8814452,167,105,0,29,33,0,0,0,0,0,0,0,0
