dep_osm_type,dep_osm_id,dependant,osm_type,osm_id,name,name:be,name:ru
way,25327519,Minsk,,,,,
way,25327531,Minsk,,,,,
way,536141671,Minsk,,,,,
way,536141672,Minsk,,,,,
node,2788683153,Mogilev,,,,,
way,632497310,Могилевские ведомости,,,,,
way,632497311,Могилевские ведомости,,,,,
way,632497312,Могилевские ведомости,,,,,
way,632497313,Могилевские ведомости,,,,,
way,632497314,Могилевские ведомости,,,,,
way,632497315,Могилевские ведомости,,,,,
way,632497320,Могилевские ведомости,,,,,
way,632497325,Могилевские ведомости,,,,,
way,632497326,Могилевские ведомости,,,,,
way,632497327,Могилевские ведомости,,,,,
way,632497333,Могилевские ведомости,,,,,
way,632497334,Могилевские ведомости,,,,,
way,448627364,Песковский сельсовет,,,,,
way,1099808956,Энергетик-Волоки,,,,,
way,1099808957,Энергетик-Волоки,,,,,
way,1099808958,Энергетик-Волоки,,,,,
way,1130644572,"деревня Слободка, Протасовский сельсовет, Октябрьский район, Гомельская область",,,,,
way,1130644914,"деревня Слободка, Протасовский сельсовет, Октябрьский район, Гомельская область",,,,,
way,1130645999,"деревня Слободка, Протасовский сельсовет, Октябрьский район, Гомельская область",,,,,
way,1130646037,"деревня Слободка, Протасовский сельсовет, Октябрьский район, Гомельская область",,,,,
way,1130647800,"деревня Слободка, Протасовский сельсовет, Октябрьский район, Гомельская область",,,,,
way,1130647988,"деревня Слободка, Протасовский сельсовет, Октябрьский район, Гомельская область",,,,,
way,1130648461,"деревня Слободка, Протасовский сельсовет, Октябрьский район, Гомельская область",,,,,
way,1130648951,"деревня Слободка, Протасовский сельсовет, Октябрьский район, Гомельская область",,,,,
way,1130649118,"деревня Слободка, Протасовский сельсовет, Октябрьский район, Гомельская область",,,,,
way,1130649769,"деревня Слободка, Протасовский сельсовет, Октябрьский район, Гомельская область",,,,,
way,1130649954,"деревня Слободка, Протасовский сельсовет, Октябрьский район, Гомельская область",,,,,
way,1130650070,"деревня Слободка, Протасовский сельсовет, Октябрьский район, Гомельская область",,,,,
way,1130650292,"деревня Слободка, Протасовский сельсовет, Октябрьский район, Гомельская область",,,,,
way,1130650478,"деревня Слободка, Протасовский сельсовет, Октябрьский район, Гомельская область",,,,,
way,1130650579,"деревня Слободка, Протасовский сельсовет, Октябрьский район, Гомельская область",,,,,
way,1130650677,"деревня Слободка, Протасовский сельсовет, Октябрьский район, Гомельская область",,,,,
way,1130650830,"деревня Слободка, Протасовский сельсовет, Октябрьский район, Гомельская область",,,,,
way,1130650967,"деревня Слободка, Протасовский сельсовет, Октябрьский район, Гомельская область",,,,,
way,1130651558,"деревня Слободка, Протасовский сельсовет, Октябрьский район, Гомельская область",,,,,
way,1130663428,"деревня Слободка, Протасовский сельсовет, Октябрьский район, Гомельская область",,,,,
way,1130664286,"деревня Слободка, Протасовский сельсовет, Октябрьский район, Гомельская область",,,,,
way,1130668289,"деревня Слободка, Протасовский сельсовет, Октябрьский район, Гомельская область",,,,,
way,1130668463,"деревня Слободка, Протасовский сельсовет, Октябрьский район, Гомельская область",,,,,
way,1130668586,"деревня Слободка, Протасовский сельсовет, Октябрьский район, Гомельская область",,,,,
way,1130668896,"деревня Слободка, Протасовский сельсовет, Октябрьский район, Гомельская область",,,,,
way,1130670174,"деревня Слободка, Протасовский сельсовет, Октябрьский район, Гомельская область",,,,,
way,1130670511,"деревня Слободка, Протасовский сельсовет, Октябрьский район, Гомельская область",,,,,
way,1130670682,"деревня Слободка, Протасовский сельсовет, Октябрьский район, Гомельская область",,,,,
way,1130670845,"деревня Слободка, Протасовский сельсовет, Октябрьский район, Гомельская область",,,,,
way,1130671133,"деревня Слободка, Протасовский сельсовет, Октябрьский район, Гомельская область",,,,,
way,1130671406,"деревня Слободка, Протасовский сельсовет, Октябрьский район, Гомельская область",,,,,
way,1130672151,"деревня Слободка, Протасовский сельсовет, Октябрьский район, Гомельская область",,,,,
way,1130672383,"деревня Слободка, Протасовский сельсовет, Октябрьский район, Гомельская область",,,,,
way,1130672576,"деревня Слободка, Протасовский сельсовет, Октябрьский район, Гомельская область",,,,,
way,1130672694,"деревня Слободка, Протасовский сельсовет, Октябрьский район, Гомельская область",,,,,
way,1130672950,"деревня Слободка, Протасовский сельсовет, Октябрьский район, Гомельская область",,,,,
way,1130673214,"деревня Слободка, Протасовский сельсовет, Октябрьский район, Гомельская область",,,,,
way,1130673333,"деревня Слободка, Протасовский сельсовет, Октябрьский район, Гомельская область",,,,,
way,321184235,калинковичи,,,,,
