dep_osm_type,dep_osm_id,dependant,osm_type,osm_id,name,name:be,name:ru
way,103622514,Каменец,relation,5603384,Каменец,Камянец,Каменец
node,10732884457,Минск,relation,59195,Минск,Мінск,Минск
node,10733385224,Шклов,relation,4684730,Шклов,Шклоў,Шклов
way,171977536,Шклов,relation,4684730,Шклов,Шклоў,Шклов
way,205419241,Шклов,relation,4684730,Шклов,Шклоў,Шклов
way,205419248,Шклов,relation,4684730,Шклов,Шклоў,Шклов
way,241536610,Шклов,relation,4684730,Шклов,Шклоў,Шклов
way,241536621,Шклов,relation,4684730,Шклов,Шклоў,Шклов
way,241542698,Шклов,relation,4684730,Шклов,Шклоў,Шклов
way,1104130103,Шклов,relation,4684730,Шклов,Шклоў,Шклов
