dep_osm_type,dep_osm_id,dependant,osm_type,osm_id,name,name:be,name:ru
node,9809474832,Пинский,,,,,
node,9809474833,Пинский,,,,,
way,316348229,Пинский,,,,,
way,316348234,Пинский,,,,,
way,399931612,Пинский,,,,,
way,419265718,Пинский,,,,,
way,419265741,Пинский,,,,,
way,419265760,Пинский,,,,,
way,419265761,Пинский,,,,,
way,419265762,Пинский,,,,,
way,419265788,Пинский,,,,,
way,419265808,Пинский,,,,,
way,419265822,Пинский,,,,,
way,419265826,Пинский,,,,,
way,419265838,Пинский,,,,,
way,419265860,Пинский,,,,,
way,419265886,Пинский,,,,,
way,419265903,Пинский,,,,,
way,419265918,Пинский,,,,,
way,419918305,Пинский,,,,,
way,419918421,Пинский,,,,,
way,421427550,Пинский,,,,,
way,907041350,Пинский,,,,,
way,907041351,Пинский,,,,,
way,907041353,Пинский,,,,,
way,907041354,Пинский,,,,,
way,907041355,Пинский,,,,,
way,907041356,Пинский,,,,,
way,907041357,Пинский,,,,,
way,907041358,Пинский,,,,,
way,907041360,Пинский,,,,,
way,907041361,Пинский,,,,,
way,907041362,Пинский,,,,,
way,907041363,Пинский,,,,,
way,907041364,Пинский,,,,,
way,907041365,Пинский,,,,,
way,907041366,Пинский,,,,,
way,907041367,Пинский,,,,,
way,907041368,Пинский,,,,,
way,907041374,Пинский,,,,,
way,907041375,Пинский,,,,,
way,907041380,Пинский,,,,,
way,907041384,Пинский,,,,,
way,907041385,Пинский,,,,,
way,907041433,Пинский,,,,,
way,907041434,Пинский,,,,,
way,907041436,Пинский,,,,,
way,907041437,Пинский,,,,,
way,975392684,Пинский,,,,,
way,1028909699,Пинский,,,,,
way,1068612302,Пинский,,,,,
way,1068830965,Пинский,,,,,
way,1068830968,Пинский,,,,,
way,1068830969,Пинский,,,,,
way,1068830970,Пинский,,,,,
way,1068830971,Пинский,,,,,
way,1068830972,Пинский,,,,,
way,1068830998,Пинский,,,,,
way,1068830999,Пинский,,,,,
way,1068831000,Пинский,,,,,
way,1068831001,Пинский,,,,,
way,1068831002,Пинский,,,,,
way,1068831003,Пинский,,,,,
way,1068831004,Пинский,,,,,
way,1068831005,Пинский,,,,,
way,1068831006,Пинский,,,,,
way,1068831007,Пинский,,,,,
way,1068831008,Пинский,,,,,
way,1068831009,Пинский,,,,,
way,1068831010,Пинский,,,,,
way,1068831011,Пинский,,,,,
way,1068831012,Пинский,,,,,
way,1068831013,Пинский,,,,,
way,1068831015,Пинский,,,,,
way,1068831026,Пинский,,,,,
way,1068831027,Пинский,,,,,
way,1068831028,Пинский,,,,,
way,1068831029,Пинский,,,,,
way,1068831030,Пинский,,,,,
way,1068831031,Пинский,,,,,
way,1068831032,Пинский,,,,,
way,1068831033,Пинский,,,,,
way,1068831034,Пинский,,,,,
way,1068831035,Пинский,,,,,
way,1068831036,Пинский,,,,,
way,1068831037,Пинский,,,,,
way,1068831038,Пинский,,,,,
way,1068831039,Пинский,,,,,
way,1068831040,Пинский,,,,,
way,1068831041,Пинский,,,,,
way,1068831042,Пинский,,,,,
way,1068831043,Пинский,,,,,
way,1068831044,Пинский,,,,,
way,1068831045,Пинский,,,,,
way,1068831046,Пинский,,,,,
way,1068831047,Пинский,,,,,
way,1068831048,Пинский,,,,,
way,1068831049,Пинский,,,,,
way,1068831050,Пинский,,,,,
way,1068831051,Пинский,,,,,
way,1068831052,Пинский,,,,,
way,1068831053,Пинский,,,,,
way,1068831054,Пинский,,,,,
way,1068831055,Пинский,,,,,
way,1068831056,Пинский,,,,,
way,1068831057,Пинский,,,,,
way,1068831059,Пинский,,,,,
way,1068835267,Пинский,,,,,
