dep_osm_type,dep_osm_id,dependant,osm_type,osm_id,name,name:be,name:ru
way,424575613,Лельчицкий район,relation,71147,Лельчицкий район,Лельчыцкі раён,Лельчицкий район
way,567470282,Лельчицкий район,relation,71147,Лельчицкий район,Лельчыцкі раён,Лельчицкий район
way,567470284,Лельчицкий район,relation,71147,Лельчицкий район,Лельчыцкі раён,Лельчицкий район
way,567470285,Лельчицкий район,relation,71147,Лельчицкий район,Лельчыцкі раён,Лельчицкий район
way,567470286,Лельчицкий район,relation,71147,Лельчицкий район,Лельчыцкі раён,Лельчицкий район
way,567470287,Лельчицкий район,relation,71147,Лельчицкий район,Лельчыцкі раён,Лельчицкий район
way,567470288,Лельчицкий район,relation,71147,Лельчицкий район,Лельчыцкі раён,Лельчицкий район
way,567470289,Лельчицкий район,relation,71147,Лельчицкий район,Лельчыцкі раён,Лельчицкий район
way,567470360,Лельчицкий район,relation,71147,Лельчицкий район,Лельчыцкі раён,Лельчицкий район
way,567470362,Лельчицкий район,relation,71147,Лельчицкий район,Лельчыцкі раён,Лельчицкий район
way,567470363,Лельчицкий район,relation,71147,Лельчицкий район,Лельчыцкі раён,Лельчицкий район
way,567470364,Лельчицкий район,relation,71147,Лельчицкий район,Лельчыцкі раён,Лельчицкий район
way,567479859,Лельчицкий район,relation,71147,Лельчицкий район,Лельчыцкі раён,Лельчицкий район
way,567479862,Лельчицкий район,relation,71147,Лельчицкий район,Лельчыцкі раён,Лельчицкий район
way,567479865,Лельчицкий район,relation,71147,Лельчицкий район,Лельчыцкі раён,Лельчицкий район
way,567479869,Лельчицкий район,relation,71147,Лельчицкий район,Лельчыцкі раён,Лельчицкий район
way,567479872,Лельчицкий район,relation,71147,Лельчицкий район,Лельчыцкі раён,Лельчицкий район
way,567479876,Лельчицкий район,relation,71147,Лельчицкий район,Лельчыцкі раён,Лельчицкий район
way,567479883,Лельчицкий район,relation,71147,Лельчицкий район,Лельчыцкі раён,Лельчицкий район
way,567479886,Лельчицкий район,relation,71147,Лельчицкий район,Лельчыцкі раён,Лельчицкий район
way,567479888,Лельчицкий район,relation,71147,Лельчицкий район,Лельчыцкі раён,Лельчицкий район
way,567479891,Лельчицкий район,relation,71147,Лельчицкий район,Лельчыцкі раён,Лельчицкий район
way,567479896,Лельчицкий район,relation,71147,Лельчицкий район,Лельчыцкі раён,Лельчицкий район
way,567479898,Лельчицкий район,relation,71147,Лельчицкий район,Лельчыцкі раён,Лельчицкий район
way,567479902,Лельчицкий район,relation,71147,Лельчицкий район,Лельчыцкі раён,Лельчицкий район
way,567479904,Лельчицкий район,relation,71147,Лельчицкий район,Лельчыцкі раён,Лельчицкий район
way,567479907,Лельчицкий район,relation,71147,Лельчицкий район,Лельчыцкі раён,Лельчицкий район
way,567479909,Лельчицкий район,relation,71147,Лельчицкий район,Лельчыцкі раён,Лельчицкий район
way,567479913,Лельчицкий район,relation,71147,Лельчицкий район,Лельчыцкі раён,Лельчицкий район
way,567479915,Лельчицкий район,relation,71147,Лельчицкий район,Лельчыцкі раён,Лельчицкий район
way,567514661,Лельчицкий район,relation,71147,Лельчицкий район,Лельчыцкі раён,Лельчицкий район
way,567514662,Лельчицкий район,relation,71147,Лельчицкий район,Лельчыцкі раён,Лельчицкий район
way,567514663,Лельчицкий район,relation,71147,Лельчицкий район,Лельчыцкі раён,Лельчицкий район
way,567514664,Лельчицкий район,relation,71147,Лельчицкий район,Лельчыцкі раён,Лельчицкий район
way,567514665,Лельчицкий район,relation,71147,Лельчицкий район,Лельчыцкі раён,Лельчицкий район
way,567514666,Лельчицкий район,relation,71147,Лельчицкий район,Лельчыцкі раён,Лельчицкий район
way,567514667,Лельчицкий район,relation,71147,Лельчицкий район,Лельчыцкі раён,Лельчицкий район
way,567514668,Лельчицкий район,relation,71147,Лельчицкий район,Лельчыцкі раён,Лельчицкий район
way,567514669,Лельчицкий район,relation,71147,Лельчицкий район,Лельчыцкі раён,Лельчицкий район
way,567514670,Лельчицкий район,relation,71147,Лельчицкий район,Лельчыцкі раён,Лельчицкий район
way,567514671,Лельчицкий район,relation,71147,Лельчицкий район,Лельчыцкі раён,Лельчицкий район
way,567514672,Лельчицкий район,relation,71147,Лельчицкий район,Лельчыцкі раён,Лельчицкий район
way,567514673,Лельчицкий район,relation,71147,Лельчицкий район,Лельчыцкі раён,Лельчицкий район
