dep_osm_type,dep_osm_id,dependant,osm_type,osm_id,name,name:be,name:ru
way,239927671,1-й мікрараён,,,,,
way,239927676,1-й мікрараён,,,,,
way,239927684,1-й мікрараён,,,,,
way,239927689,1-й мікрараён,,,,,
way,239927690,1-й мікрараён,,,,,
way,239927691,1-й мікрараён,,,,,
way,239927692,1-й мікрараён,,,,,
way,239927694,1-й мікрараён,,,,,
way,239927695,1-й мікрараён,,,,,
way,239927698,1-й мікрараён,,,,,
way,239927700,1-й мікрараён,,,,,
way,239927704,1-й мікрараён,,,,,
way,239927708,1-й мікрараён,,,,,
way,239927711,1-й мікрараён,,,,,
way,239927713,1-й мікрараён,,,,,
way,239927715,1-й мікрараён,,,,,
way,239927716,1-й мікрараён,,,,,
node,1022324791,"10,15-й км а/д подъезд к г. Дзержинску",,,,,
node,2422442390,"10,15-й км а/д подъезд к г. Дзержинску",,,,,
way,171694321,100 км а/д Р-23,,,,,
node,3211912922,"100 павильон, цокольный этаж",,,,,
node,5308946960,109-й км трассы Р23,,,,,
node,4029479265,124-ы км дарогі Р124,,,,,
node,470691177,129км дороги М6 Минск-Гродно,,,,,
node,3144371135,129км дороги М6 Минск-Гродно,,,,,
way,138303596,153км М1 Брест-граница РФ (левая сторона),,,,,
node,729568668,155-й км дороги М3 Минск-Витебск,,,,,
way,274780844,155-й км дороги М3 Минск-Витебск,,,,,
way,423825861,155-й км дороги М3 Минск-Витебск,,,,,
node,3305629361,159км дороги М6 Гродно-Минск,,,,,
node,972653656,169-й км а/д Р91 Осиповичи-Барановичи,,,,,
node,5357670721,17 km Minsk-Dzerzhinsk motor road,,,,,
node,4458758504,289км (2км) дороги М6 (погранпереход Брузги),,,,,
node,9847809513,289км (2км) дороги М6 (погранпереход Брузги)amenity=fuel,,,,,
node,9314786224,3 рудоуправление,,,,,
node,938332927,337 км а/д М1/Е30,,,,,
node,938333538,337 км а/д М1/Е30,,,,,
node,306065360,404 км дороги М1/E30,,,,,
node,1567997342,404 км дороги М1/E30,,,,,
node,1838560524,54км М10 (около Дрогичина),,,,,
node,1354559736,550км дороги М1,,,,,
node,1420427952,550км дороги М1,,,,,
node,1420427956,550км дороги М1,,,,,
node,1420427964,550км дороги М1,,,,,
node,2206283629,550км дороги М1,,,,,
node,306069264,72км а/д Столбцы-Кобрин,,,,,
node,3944762626,95км дороги Р48,,,,,
node,3315226265,?км а/д М-1 (E30),,,,,
node,899577754,H 7727,,,,,
node,3453862516,H 7727,,,,,
node,13227436838,H 7727,,,,,
node,13227436839,H 7727,,,,,
node,10834627997,"M6, 11-й кіламетр",,,,,
way,431560121,"M6, 11-ы кіламетр",,,,,
node,5022268813,P-87,,,,,
way,263157559,Азёршчына,,,,,
way,216829805,Багушэўскі сельсавет,,,,,
way,980785537,Баляшын,,,,,
node,2579746811,Бараўлянскі селькі савет,,,,,
way,1167187204,Бороской сельский совет,,,,,
way,1167197102,Буда Софиевка,,,,,
way,734758439,Вайцыелюны,,,,,
node,7477082985,"ГПК ""Мотор""",,,,,
way,980708921,Гярманішкі,,,,,
way,980708922,Гярманішкі,,,,,
way,980708923,Гярманішкі,,,,,
way,980708925,Гярманішкі,,,,,
way,858501041,Дабрыніца,,,,,
node,2110506860,"Дзержинский район, 302-й км трассы Брест-Минск",,,,,
way,663308889,"Дзержинский район, Фанипольский сельсовет",,,,,
way,1031570529,"Дзержинский район, Фанипольский сельсовет",,,,,
node,5279594024,"Дзяржынскi с/с, 19",,,,,
way,404518811,Дорога Р43 (д. Звенчатка),,,,,
way,601455011,Жарабковіцкі сельсавет,,,,,
way,937321528,Ждановичский с/с,,,,,
way,1082502572,Ждановичский сельсовет,,,,,
way,151814928,Ждановіцкi c/c,,,,,
way,800756416,Зорька мастерские,,,,,
way,324772061,ИК-10,,,,,
node,12915190654,Колодищанский сельсовет,,,,,
way,752728648,Лятчансі cельсавет,,,,,
node,7849488923,М-10 46 км. право,,,,,
node,639577036,М10,,,,,
node,4029479896,М10,,,,,
node,9846812129,М6,,,,,
way,762279120,М7 147 км,,,,,
way,167960543,Мазалаўскі сельсавет,,,,,
way,499132481,Мазалаўскі сельсавет,,,,,
way,797134663,Мазалаўскі сельсавет,,,,,
way,462899256,Макрэдзь,,,,,
way,200602385,"Мікрараён ""Ваенны гарадок""",,,,,
way,200602395,"Мікрараён ""Ваенны гарадок""",,,,,
way,200602398,"Мікрараён ""Ваенны гарадок""",,,,,
way,200602400,"Мікрараён ""Ваенны гарадок""",,,,,
way,200602401,"Мікрараён ""Ваенны гарадок""",,,,,
way,386791286,"Мікрараён ""Ваенны гарадок""",,,,,
way,386791302,"Мікрараён ""Ваенны гарадок""",,,,,
way,386791303,"Мікрараён ""Ваенны гарадок""",,,,,
way,422539766,"Мікрараён ""Ваенны гарадок""",,,,,
way,422539769,"Мікрараён ""Ваенны гарадок""",,,,,
way,422539770,"Мікрараён ""Ваенны гарадок""",,,,,
way,422539774,"Мікрараён ""Ваенны гарадок""",,,,,
way,745623416,"Мікрараён ""Ваенны гарадок""",,,,,
way,745623417,"Мікрараён ""Ваенны гарадок""",,,,,
node,12092409523,Начаўскі сельсавет,,,,,
way,301434935,Начаўскі сельсавет,,,,,
way,301434937,Начаўскі сельсавет,,,,,
way,301434939,Начаўскі сельсавет,,,,,
way,301434944,Начаўскі сельсавет,,,,,
way,1070404026,Начаўскі сельсавет,,,,,
node,11629822277,Новодворский сельский совет,,,,,
way,234309626,"ОДО ""Спика""",,,,,
node,5876200387,Олимпийский комплекс Стайки,,,,,
way,1056684243,Папярня́нскі сельсавет,,,,,
way,1305625317,Першамайскій сэльсавет,,,,,
way,667135485,Пружанский сельсовет,,,,,
way,667739520,Пружанский сельсовет,,,,,
way,378976509,"Пункт таможенного оформления ""Барановичи-Фестивальная"" 09146",,,,,
node,8775523340,Пчелоферма,,,,,
node,1535182279,Р-124,,,,,
node,9425300366,Р-135,,,,,
node,2845986315,Р2,,,,,
way,492286512,Р45,,,,,
way,479678982,Ракітніцкі Сельсавет,,,,,
way,479679022,Ракітніцкі Сельсавет,,,,,
node,6821806725,Ректянский с/с,,,,,
node,13045652438,"СТ ""Амарілліс-92""   і",,,,,
node,13045652439,"СТ ""Амарілліс-92""   і",,,,,
node,13045652440,"СТ ""Амарілліс-92""   і",,,,,
node,13045652441,"СТ ""Амарілліс-92""   і",,,,,
way,1419632798,"СТ ""Амарілліс-92""   і",,,,,
way,1419632799,"СТ ""Амарілліс-92""   і",,,,,
way,1419632800,"СТ ""Амарілліс-92""   і",,,,,
way,1419632801,"СТ ""Амарілліс-92""   і",,,,,
way,1419632802,"СТ ""Амарілліс-92""   і",,,,,
way,1419632803,"СТ ""Амарілліс-92""   і",,,,,
way,1419632804,"СТ ""Амарілліс-92""   і",,,,,
way,1419632805,"СТ ""Амарілліс-92""   і",,,,,
way,1419632806,"СТ ""Амарілліс-92""   і",,,,,
way,1419632807,"СТ ""Амарілліс-92""   і",,,,,
node,13319259019,Садоводческое товарищество «Нива»,,,,,
node,13319259020,Садоводческое товарищество «Нива»,,,,,
node,13319259021,Садоводческое товарищество «Нива»,,,,,
node,6690569677,Станцыя Ласосна,,,,,
node,13021132930,Сунiчка 2,,,,,
node,13021132931,Сунiчка 2,,,,,
node,13021132932,Сунiчка 2,,,,,
node,13021132933,Сунiчка 2,,,,,
node,13021132934,Сунiчка 2,,,,,
node,13021132935,Сунiчка 2,,,,,
node,13021132936,Сунiчка 2,,,,,
node,13021132937,Сунiчка 2,,,,,
node,13021132938,Сунiчка 2,,,,,
node,13021132939,Сунiчка 2,,,,,
node,13021132940,Сунiчка 2,,,,,
node,13021132941,Сунiчка 2,,,,,
node,13021132942,Сунiчка 2,,,,,
node,13021132943,Сунiчка 2,,,,,
node,13021132944,Сунiчка 2,,,,,
node,13021132945,Сунiчка 2,,,,,
node,13021132946,Сунiчка 2,,,,,
node,13021132947,Сунiчка 2,,,,,
node,13021132948,Сунiчка 2,,,,,
node,13021132949,Сунiчка 2,,,,,
node,13021132950,Сунiчка 2,,,,,
node,13021132951,Сунiчка 2,,,,,
node,13021132952,Сунiчка 2,,,,,
node,13021132958,Сунiчка 2,,,,,
node,13021132959,Сунiчка 2,,,,,
node,13021132960,Сунiчка 2,,,,,
node,13021132961,Сунiчка 2,,,,,
node,13021132962,Сунiчка 2,,,,,
node,13021132963,Сунiчка 2,,,,,
node,13021132964,Сунiчка 2,,,,,
node,13021132965,Сунiчка 2,,,,,
node,13021132966,Сунiчка 2,,,,,
node,13021132967,Сунiчка 2,,,,,
node,13021132968,Сунiчка 2,,,,,
node,13021132969,Сунiчка 2,,,,,
node,13021132970,Сунiчка 2,,,,,
node,13021132971,Сунiчка 2,,,,,
node,13021132972,Сунiчка 2,,,,,
node,13021132981,Сунiчка 2,,,,,
node,13021132982,Сунiчка 2,,,,,
node,13021132983,Сунiчка 2,,,,,
node,13021132984,Сунiчка 2,,,,,
node,13021132985,Сунiчка 2,,,,,
node,13021132986,Сунiчка 2,,,,,
node,13021132987,Сунiчка 2,,,,,
node,13021132988,Сунiчка 2,,,,,
node,13021132989,Сунiчка 2,,,,,
node,13021132990,Сунiчка 2,,,,,
node,13021132991,Сунiчка 2,,,,,
node,13021132992,Сунiчка 2,,,,,
node,13021132993,Сунiчка 2,,,,,
node,13021132994,Сунiчка 2,,,,,
node,13021132995,Сунiчка 2,,,,,
node,13021132996,Сунiчка 2,,,,,
node,13021132997,Сунiчка 2,,,,,
node,13021132998,Сунiчка 2,,,,,
node,13021132999,Сунiчка 2,,,,,
node,13021133000,Сунiчка 2,,,,,
node,13021162001,Сунiчка 2,,,,,
node,13021162002,Сунiчка 2,,,,,
node,13021162003,Сунiчка 2,,,,,
node,13021162004,Сунiчка 2,,,,,
node,13021162005,Сунiчка 2,,,,,
node,13021162006,Сунiчка 2,,,,,
node,13021162007,Сунiчка 2,,,,,
node,13021162008,Сунiчка 2,,,,,
node,13021162009,Сунiчка 2,,,,,
way,1416551907,Сунiчка 2,,,,,
way,1416551908,Сунiчка 2,,,,,
way,1416551909,Сунiчка 2,,,,,
way,1416551911,Сунiчка 2,,,,,
way,1416551912,Сунiчка 2,,,,,
way,1416551913,Сунiчка 2,,,,,
way,1416551914,Сунiчка 2,,,,,
way,1416551915,Сунiчка 2,,,,,
way,1416551916,Сунiчка 2,,,,,
way,1416551917,Сунiчка 2,,,,,
way,1416551919,Сунiчка 2,,,,,
way,1416551920,Сунiчка 2,,,,,
way,1416551921,Сунiчка 2,,,,,
way,1416551922,Сунiчка 2,,,,,
way,1416551923,Сунiчка 2,,,,,
way,1416551925,Сунiчка 2,,,,,
way,1416551926,Сунiчка 2,,,,,
way,1416551927,Сунiчка 2,,,,,
way,1416551931,Сунiчка 2,,,,,
way,1416551932,Сунiчка 2,,,,,
way,1416551933,Сунiчка 2,,,,,
way,1416551936,Сунiчка 2,,,,,
way,1416551937,Сунiчка 2,,,,,
way,1416551938,Сунiчка 2,,,,,
way,1416551939,Сунiчка 2,,,,,
way,1416551940,Сунiчка 2,,,,,
way,1416551941,Сунiчка 2,,,,,
way,1416551942,Сунiчка 2,,,,,
way,1416551943,Сунiчка 2,,,,,
way,1416551944,Сунiчка 2,,,,,
way,1416551945,Сунiчка 2,,,,,
way,1416551946,Сунiчка 2,,,,,
way,1416551947,Сунiчка 2,,,,,
way,1416551948,Сунiчка 2,,,,,
way,1416551949,Сунiчка 2,,,,,
way,1416551950,Сунiчка 2,,,,,
way,1416954578,Сунiчка 2,,,,,
way,1416954619,Сунiчка 2,,,,,
way,1416954620,Сунiчка 2,,,,,
way,1416954621,Сунiчка 2,,,,,
way,1416954622,Сунiчка 2,,,,,
way,1416954624,Сунiчка 2,,,,,
way,1416954627,Сунiчка 2,,,,,
way,1416954628,Сунiчка 2,,,,,
way,1416954629,Сунiчка 2,,,,,
way,1416954630,Сунiчка 2,,,,,
way,1416954631,Сунiчка 2,,,,,
way,1416954632,Сунiчка 2,,,,,
way,1416954633,Сунiчка 2,,,,,
way,1416954634,Сунiчка 2,,,,,
way,1416954635,Сунiчка 2,,,,,
way,1416954636,Сунiчка 2,,,,,
way,1416954637,Сунiчка 2,,,,,
way,1416954638,Сунiчка 2,,,,,
way,1416954639,Сунiчка 2,,,,,
way,1416954640,Сунiчка 2,,,,,
way,1416990304,Сунiчка 2,,,,,
way,1416990305,Сунiчка 2,,,,,
way,33377217,"Турбаза ""Хімік""",,,,,
way,33377218,"Турбаза ""Хімік""",,,,,
way,37047429,"Турбаза ""Хімік""",,,,,
way,37047430,"Турбаза ""Хімік""",,,,,
way,37047431,"Турбаза ""Хімік""",,,,,
way,37047432,"Турбаза ""Хімік""",,,,,
way,37047433,"Турбаза ""Хімік""",,,,,
way,37047434,"Турбаза ""Хімік""",,,,,
way,37047435,"Турбаза ""Хімік""",,,,,
way,37050489,"Турбаза ""Хімік""",,,,,
way,37050490,"Турбаза ""Хімік""",,,,,
way,37050491,"Турбаза ""Хімік""",,,,,
way,37050492,"Турбаза ""Хімік""",,,,,
way,37050493,"Турбаза ""Хімік""",,,,,
way,37050494,"Турбаза ""Хімік""",,,,,
way,37050495,"Турбаза ""Хімік""",,,,,
way,37050496,"Турбаза ""Хімік""",,,,,
way,37050497,"Турбаза ""Хімік""",,,,,
way,257896864,Уцеўскае,,,,,
way,564743374,Учебный городок,,,,,
way,213840474,Федотава,,,,,
way,25465009,Щомыслицкий сельсовет,,,,,
way,1101507649,Щомыслицкий сельсовет,,,,,
way,967016495,в/ч 33196,,,,,
node,5579724646,вблизи агрогородка Хожово,,,,,
node,5745030861,вёска Рум,,,,,
way,175898180,вёска Рум,,,,,
node,4380236389,зал Б,,,,,
way,529470705,км 222 Р45,,,,,
node,4974534524,лагерь Чайка,,,,,
way,366501380,остановочный пункт Щежерь,,,,,
node,4325604137,офис 8,,,,,
node,4156385890,перекресток М1/Р64 Столбцовский район,,,,,
node,4303004503,пом. 1 комн 16,,,,,
node,5193319934,пом1,,,,,
node,3501469452,"пункт пропуска ""Козловичи""",,,,,
way,349159549,район д. Боровая,,,,,
way,403318862,район д.Боровая,,,,,
way,457655109,район деревни Малиновка,,,,,
way,289047743,станция Вильчицы,,,,,
way,172975355,станция Лисички,,,,,
way,172975356,станция Лисички,,,,,
way,220007664,станция Лисички,,,,,
node,5688330015,станция Ситница,,,,,
node,5688335275,станция Ситница,,,,,
node,5688336275,станция Ситница,,,,,
node,5688336551,станция Ситница,,,,,
node,5688336649,станция Ситница,,,,,
node,5688338442,станция Ситница,,,,,
node,5688343545,станция Ситница,,,,,
node,5688349728,станция Ситница,,,,,
node,5688350037,станция Ситница,,,,,
node,5688350253,станция Ситница,,,,,
