dep_osm_type,dep_osm_id,dependant,osm_type,osm_id,name,name:be,name:ru
way,216810930,Речная,way,217106134,Речная,Рачная,
node,6258724605,переулок Козлова,way,25227663,переулок Козлова,завулак Казлова,
node,7474835585,переулок Козлова,way,25227663,переулок Козлова,завулак Казлова,
way,25324022,переулок Козлова,way,25227663,переулок Козлова,завулак Казлова,
way,25324031,переулок Козлова,way,25227663,переулок Козлова,завулак Казлова,
way,25324041,переулок Козлова,way,25227663,переулок Козлова,завулак Казлова,
way,25324045,переулок Козлова,way,25227663,переулок Козлова,завулак Казлова,
way,25324047,переулок Козлова,way,25227663,переулок Козлова,завулак Казлова,
way,25324049,переулок Козлова,way,25227663,переулок Козлова,завулак Казлова,
way,25324051,переулок Козлова,way,25227663,переулок Козлова,завулак Казлова,
way,25324059,переулок Козлова,way,25227663,переулок Козлова,завулак Казлова,
way,25324060,переулок Козлова,way,25227663,переулок Козлова,завулак Казлова,
