dep_osm_type,dep_osm_id,dependant,osm_type,osm_id,name,name:be,name:ru
way,746549465,Зарэчная вуліца,way,157807762,Зарэчная вуліца,Зарэчная вулiца,Заречная улица
way,746549466,Зарэчная вуліца,way,157807762,Зарэчная вуліца,Зарэчная вулiца,Заречная улица
way,746549467,Зарэчная вуліца,way,157807762,Зарэчная вуліца,Зарэчная вулiца,Заречная улица
way,746549473,Зарэчная вуліца,way,157807762,Зарэчная вуліца,Зарэчная вулiца,Заречная улица
way,746549475,Зарэчная вуліца,way,157807762,Зарэчная вуліца,Зарэчная вулiца,Заречная улица
way,746549476,Зарэчная вуліца,way,157807762,Зарэчная вуліца,Зарэчная вулiца,Заречная улица
way,746549481,Зарэчная вуліца,way,157807762,Зарэчная вуліца,Зарэчная вулiца,Заречная улица
way,746549482,Зарэчная вуліца,way,157807762,Зарэчная вуліца,Зарэчная вулiца,Заречная улица
way,746549485,Зарэчная вуліца,way,157807762,Зарэчная вуліца,Зарэчная вулiца,Заречная улица
way,746549490,Зарэчная вуліца,way,157807762,Зарэчная вуліца,Зарэчная вулiца,Заречная улица
way,746549494,Зарэчная вуліца,way,157807762,Зарэчная вуліца,Зарэчная вулiца,Заречная улица
way,746549495,Зарэчная вуліца,way,157807762,Зарэчная вуліца,Зарэчная вулiца,Заречная улица
way,746549499,Зарэчная вуліца,way,157807762,Зарэчная вуліца,Зарэчная вулiца,Заречная улица
way,746549501,Зарэчная вуліца,way,157807762,Зарэчная вуліца,Зарэчная вулiца,Заречная улица
