dep_osm_type,dep_osm_id,dependant,osm_type,osm_id,name,name:be,name:ru
way,735607689,Беларуская вуліца,way,179045079,Беларуская вуліца,,Белорусская улица
node,11980675299,Лесная 10,way,103757053,Лесная 10,,Лясная 10
way,179044966,Лугавая вуліца,way,446328129,Лугавая вуліца,,Луговая улица
way,179044983,Лугавая вуліца,way,446328129,Лугавая вуліца,,Луговая улица
way,179045007,Лугавая вуліца,way,446328129,Лугавая вуліца,,Луговая улица
way,179045020,Лугавая вуліца,way,446328129,Лугавая вуліца,,Луговая улица
way,179045026,Лугавая вуліца,way,446328129,Лугавая вуліца,,Луговая улица
way,179045029,Лугавая вуліца,way,446328129,Лугавая вуліца,,Луговая улица
way,179045048,Лугавая вуліца,way,446328129,Лугавая вуліца,,Луговая улица
way,604391344,Лугавая вуліца,way,446328129,Лугавая вуліца,,Луговая улица
way,604391345,Лугавая вуліца,way,446328129,Лугавая вуліца,,Луговая улица
way,604391346,Лугавая вуліца,way,446328129,Лугавая вуліца,,Луговая улица
way,959886662,Лугавая вуліца,way,446328129,Лугавая вуліца,,Луговая улица
way,959886663,Лугавая вуліца,way,446328129,Лугавая вуліца,,Луговая улица
way,959886664,Лугавая вуліца,way,446328129,Лугавая вуліца,,Луговая улица
way,959886665,Лугавая вуліца,way,446328129,Лугавая вуліца,,Луговая улица
way,959886666,Лугавая вуліца,way,446328129,Лугавая вуліца,,Луговая улица
way,959886667,Лугавая вуліца,way,446328129,Лугавая вуліца,,Луговая улица
way,959886668,Лугавая вуліца,way,446328129,Лугавая вуліца,,Луговая улица
