dep_osm_type,dep_osm_id,dependant,osm_type,osm_id,name,name:be,name:ru
way,71320867,Калиновского,node,4398854904,Калиновского,Каліноўскага,Калиновского
way,327231064,улица Каинова М.Г.,way,82148592,улица Каинова М.Г.,Каінава вуліца,улица Каинова М.Г.
way,327231067,улица Каинова М.Г.,way,82148592,улица Каинова М.Г.,Каінава вуліца,улица Каинова М.Г.
way,327231072,улица Каинова М.Г.,way,1127972641,улица Каинова М.Г.,Каінава вуліца,улица Каинова М.Г.
way,327231085,улица Каинова М.Г.,way,82148592,улица Каинова М.Г.,Каінава вуліца,улица Каинова М.Г.
way,327231088,улица Каинова М.Г.,way,1127972641,улица Каинова М.Г.,Каінава вуліца,улица Каинова М.Г.
way,327231089,улица Каинова М.Г.,way,1127972641,улица Каинова М.Г.,Каінава вуліца,улица Каинова М.Г.
way,327231092,улица Каинова М.Г.,way,82148592,улица Каинова М.Г.,Каінава вуліца,улица Каинова М.Г.
way,327231099,улица Каинова М.Г.,way,1127972641,улица Каинова М.Г.,Каінава вуліца,улица Каинова М.Г.
way,327231110,улица Каинова М.Г.,way,82148592,улица Каинова М.Г.,Каінава вуліца,улица Каинова М.Г.
way,327231122,улица Каинова М.Г.,way,1127972641,улица Каинова М.Г.,Каінава вуліца,улица Каинова М.Г.
way,327231151,улица Каинова М.Г.,way,82148592,улица Каинова М.Г.,Каінава вуліца,улица Каинова М.Г.
way,327237859,улица Каинова М.Г.,way,82148592,улица Каинова М.Г.,Каінава вуліца,улица Каинова М.Г.
way,1127972642,улица Каинова М.Г.,way,82148592,улица Каинова М.Г.,Каінава вуліца,улица Каинова М.Г.
way,1127972643,улица Каинова М.Г.,way,82148592,улица Каинова М.Г.,Каінава вуліца,улица Каинова М.Г.
way,1127972644,улица Каинова М.Г.,way,82148592,улица Каинова М.Г.,Каінава вуліца,улица Каинова М.Г.
way,1127972645,улица Каинова М.Г.,way,82148592,улица Каинова М.Г.,Каінава вуліца,улица Каинова М.Г.
way,1127972647,улица Каинова М.Г.,way,82148592,улица Каинова М.Г.,Каінава вуліца,улица Каинова М.Г.
way,1127972648,улица Каинова М.Г.,way,82148592,улица Каинова М.Г.,Каінава вуліца,улица Каинова М.Г.
way,1127972649,улица Каинова М.Г.,way,82148592,улица Каинова М.Г.,Каінава вуліца,улица Каинова М.Г.
way,1127972650,улица Каинова М.Г.,way,82148592,улица Каинова М.Г.,Каінава вуліца,улица Каинова М.Г.
way,1127972651,улица Каинова М.Г.,way,82148592,улица Каинова М.Г.,Каінава вуліца,улица Каинова М.Г.
way,1127972652,улица Каинова М.Г.,way,82148592,улица Каинова М.Г.,Каінава вуліца,улица Каинова М.Г.
way,1127972653,улица Каинова М.Г.,way,82148592,улица Каинова М.Г.,Каінава вуліца,улица Каинова М.Г.
way,1127972654,улица Каинова М.Г.,way,82148592,улица Каинова М.Г.,Каінава вуліца,улица Каинова М.Г.
way,1127972655,улица Каинова М.Г.,way,82148592,улица Каинова М.Г.,Каінава вуліца,улица Каинова М.Г.
way,1127972656,улица Каинова М.Г.,way,82148592,улица Каинова М.Г.,Каінава вуліца,улица Каинова М.Г.
way,1127972657,улица Каинова М.Г.,way,82148592,улица Каинова М.Г.,Каінава вуліца,улица Каинова М.Г.
way,1127972658,улица Каинова М.Г.,way,82148592,улица Каинова М.Г.,Каінава вуліца,улица Каинова М.Г.
way,1127972660,улица Каинова М.Г.,way,82148592,улица Каинова М.Г.,Каінава вуліца,улица Каинова М.Г.
way,1127972661,улица Каинова М.Г.,way,82148592,улица Каинова М.Г.,Каінава вуліца,улица Каинова М.Г.
way,1127972662,улица Каинова М.Г.,way,82148592,улица Каинова М.Г.,Каінава вуліца,улица Каинова М.Г.
way,1127972663,улица Каинова М.Г.,way,82148592,улица Каинова М.Г.,Каінава вуліца,улица Каинова М.Г.
way,1127972664,улица Каинова М.Г.,way,82148592,улица Каинова М.Г.,Каінава вуліца,улица Каинова М.Г.
way,1127972665,улица Каинова М.Г.,way,82148592,улица Каинова М.Г.,Каінава вуліца,улица Каинова М.Г.
way,1127972666,улица Каинова М.Г.,way,82148592,улица Каинова М.Г.,Каінава вуліца,улица Каинова М.Г.
way,1127972667,улица Каинова М.Г.,way,82148592,улица Каинова М.Г.,Каінава вуліца,улица Каинова М.Г.
way,1127972668,улица Каинова М.Г.,way,82148592,улица Каинова М.Г.,Каінава вуліца,улица Каинова М.Г.
way,1127972669,улица Каинова М.Г.,way,82148592,улица Каинова М.Г.,Каінава вуліца,улица Каинова М.Г.
way,1127972670,улица Каинова М.Г.,way,82148592,улица Каинова М.Г.,Каінава вуліца,улица Каинова М.Г.
way,1127972671,улица Каинова М.Г.,way,82148592,улица Каинова М.Г.,Каінава вуліца,улица Каинова М.Г.
