dep_osm_type,dep_osm_id,dependant,osm_type,osm_id,name,name:be,name:ru
node,243017033,Азярыцка-Слабадскі сельскі Савет,,,,,
node,243017036,Азярыцка-Слабадскі сельскі Савет,,,,,
node,243017040,Азярыцка-Слабадскі сельскі Савет,,,,,
node,243017043,Азярыцка-Слабадскі сельскі Савет,,,,,
node,243017049,Азярыцка-Слабадскі сельскі Савет,,,,,
node,243017054,Азярыцка-Слабадскі сельскі Савет,,,,,
node,243017057,Азярыцка-Слабадскі сельскі Савет,,,,,
node,243017060,Азярыцка-Слабадскі сельскі Савет,,,,,
node,243017062,Азярыцка-Слабадскі сельскі Савет,,,,,
node,243017133,Азярыцка-Слабадскі сельскі Савет,,,,,
node,243017154,Азярыцка-Слабадскі сельскі Савет,,,,,
node,243017157,Азярыцка-Слабадскі сельскі Савет,,,,,
node,243017163,Азярыцка-Слабадскі сельскі Савет,,,,,
node,243017166,Азярыцка-Слабадскі сельскі Савет,,,,,
node,243017179,Азярыцка-Слабадскі сельскі Савет,,,,,
node,243017183,Азярыцка-Слабадскі сельскі Савет,,,,,
node,243017190,Азярыцка-Слабадскі сельскі Савет,,,,,
node,243017197,Азярыцка-Слабадскі сельскі Савет,,,,,
node,243017201,Азярыцка-Слабадскі сельскі Савет,,,,,
node,243017205,Азярыцка-Слабадскі сельскі Савет,,,,,
node,243017212,Азярыцка-Слабадскі сельскі Савет,,,,,
node,243017217,Азярыцка-Слабадскі сельскі Савет,,,,,
node,243017229,Азярыцка-Слабадскі сельскі Савет,,,,,
node,243017825,Азярыцка-Слабадскі сельскі Савет,,,,,
node,243017828,Азярыцка-Слабадскі сельскі Савет,,,,,
node,1880719615,Азярыцка-Слабадскі сельскі Савет,,,,,
node,2960482980,Азярыцка-Слабадскі сельскі Савет,,,,,
node,2960486617,Азярыцка-Слабадскі сельскі Савет,,,,,
node,3767553858,Азярыцка-Слабадскі сельскі Савет,,,,,
relation,6778524,Азярыцка-Слабадскі сельскі Савет,,,,,
relation,6778524,Азярыцка-Слабадскі сельскі Савет,,,,,
relation,6778524,Азярыцка-Слабадскі сельскі Савет,,,,,
relation,7566095,Азярыцка-Слабадскі сельскі Савет,,,,,
relation,7566095,Азярыцка-Слабадскі сельскі Савет,,,,,
relation,7566095,Азярыцка-Слабадскі сельскі Савет,,,,,
relation,7566100,Азярыцка-Слабадскі сельскі Савет,,,,,
relation,7566100,Азярыцка-Слабадскі сельскі Савет,,,,,
relation,7566100,Азярыцка-Слабадскі сельскі Савет,,,,,
relation,7566105,Азярыцка-Слабадскі сельскі Савет,,,,,
relation,7566105,Азярыцка-Слабадскі сельскі Савет,,,,,
relation,7566105,Азярыцка-Слабадскі сельскі Савет,,,,,
relation,7566108,Азярыцка-Слабадскі сельскі Савет,,,,,
relation,7566108,Азярыцка-Слабадскі сельскі Савет,,,,,
relation,7566108,Азярыцка-Слабадскі сельскі Савет,,,,,
relation,7566109,Азярыцка-Слабадскі сельскі Савет,,,,,
relation,7566109,Азярыцка-Слабадскі сельскі Савет,,,,,
relation,7566109,Азярыцка-Слабадскі сельскі Савет,,,,,
relation,7566111,Азярыцка-Слабадскі сельскі Савет,,,,,
relation,7566111,Азярыцка-Слабадскі сельскі Савет,,,,,
relation,7566111,Азярыцка-Слабадскі сельскі Савет,,,,,
relation,7566114,Азярыцка-Слабадскі сельскі Савет,,,,,
relation,7566114,Азярыцка-Слабадскі сельскі Савет,,,,,
relation,7566114,Азярыцка-Слабадскі сельскі Савет,,,,,
relation,7566115,Азярыцка-Слабадскі сельскі Савет,,,,,
relation,7566115,Азярыцка-Слабадскі сельскі Савет,,,,,
relation,7566115,Азярыцка-Слабадскі сельскі Савет,,,,,
relation,7566115,Азярыцка-Слабадскі сельскі Савет,,,,,
relation,7566115,Азярыцка-Слабадскі сельскі Савет,,,,,
relation,7566116,Азярыцка-Слабадскі сельскі Савет,,,,,
relation,7566116,Азярыцка-Слабадскі сельскі Савет,,,,,
relation,7566116,Азярыцка-Слабадскі сельскі Савет,,,,,
relation,7566117,Азярыцка-Слабадскі сельскі Савет,,,,,
relation,7566117,Азярыцка-Слабадскі сельскі Савет,,,,,
