osm_type,osm_id,name,name:be,name:ru
node,571724333,АЛМИ,АЛМІ,АЛМИ
node,10048827781,"База отдыха ""Плещеницы""","База адпачынку ""Плешчаніцы""","База отдыха ""Плещеницы"""
node,5858968868,ГЛХУ «Логойский лесхоз»,ДЛГУ «Лагойскі лясгас»,ГЛХУ «Логойский лесхоз»
node,4551217992,Горецкий районный исполнительный комитет,Горацкі раённы выканаўчы камітэт,Горецкий районный исполнительный комитет
node,2776756699,Девятовка,Дзевятоўка,Девятовка
node,2769346976,Железнодорожный район,Чыгуначны раён,Железнодорожный район
node,2769346978,Железнодорожный район,Чыгуначны раён,Железнодорожный район
node,2769346979,Заводской район,Заводскі раён,Заводской район
node,2361869674,Зареченский фельдшерско-акушерский пункт,Зарэчанскі фельчарска-акушэрскі пункт,Зареченский фельдшерско-акушерский пункт
node,7476777774,Кировский районный исполнительный комитет,Кіраўскі раённы выканаўчы камітэт,Кировский районный исполнительный комитет
node,7476753991,Копыльский районный исполнительный комитет,Капыльскі раённы выканаўчы камітэт,Копыльский районный исполнительный комитет
node,243010588,Костевичи,Косцевічы,Костевичи
node,2273486138,Ленинский район,Ленінскі раён,Ленинский район
node,2769346980,Ленинский район,Ленінскі раён,Ленинский район
node,2769346981,Ленинский район,Ленінскі раён,Ленинский район
node,2769346982,Ленинский район,Ленінскі раён,Ленинский район
node,2769346983,Ленинский район,Ленінскі раён,Ленинский район
node,7471361233,Логойская центральная районная больница,Лагойская цэнтральная раённая бальніца,Логойская центральная районная больница
node,7476463134,Логойский районный исполнительный комитет,Лагойскі раённы выканаўчы камітэт,Логойский районный исполнительный комитет
node,9413331060,Молодечненский районный исполнительный комитет,Маладзечанскі раённы выканаўчы камітэт,Молодечненский районный исполнительный комитет
node,2769346986,Московский район,Маскоўскі раён,Московский район
node,2769346987,Новобелицкий район,Навабеліцкі раён,Новобелицкий район
node,2273486140,Октябрьский район,Кастрычніцкі раён,Октябрьский район
node,2769346988,Октябрьский район,Кастрычніцкі раён,Октябрьский район
node,2769346989,Октябрьский район,Кастрычніцкі раён,Октябрьский район
node,2769346990,Октябрьский район,Кастрычніцкі раён,Октябрьский район
node,9072878609,Отдел ЗАГС Логойского райисполкома,Аддзел ЗАГС Лагойскага райвыканкама,Отдел ЗАГС Логойского райисполкома
node,2769346991,Партизанский район,Партызанскі раён,Партизанский район
node,2769346992,Первомайский район,Першамайскі раён,Первомайский район
node,2769346994,Первомайский район,Першамайскі раён,Первомайский район
node,2769346995,Первомайский район,Першамайскі раён,Первомайский район
node,243031136,Песчанка,Пясчанка,Песчанка
node,7471470263,Плещеницкая 2-я районная больница,Плешчаніцкая 2-я раённая бальніца,Плещеницкая 2-я районная больница
node,472789110,Поместье,Памесце,Поместье
node,7476752791,Поставский районный исполнительный комитет,Пастаўскі раённы выканаўчы камітэт,Поставский районный исполнительный комитет
node,243032761,Пчельник,Пчэльнік,Пчельник
node,10048793926,"Республиканский горнолыжный центр ""Силичи""","Рэспубліканскі гарналыжны цэнтр ""Сілічы""","Республиканский горнолыжный центр ""Силичи"""
node,7476500104,Славгородский районный исполнительный комитет,Слаўгарадскі раённы выканаўчы камітэт,Славгородский районный исполнительный комитет
node,2769346996,Советский район,Савецкі раён,Советский район
node,2769346997,Советский район,Савецкі раён,Советский район
node,6342594736,Суд Логойского района,Суд Лагойскага раёна,Суд Логойского района
node,9105392710,ФОЦ «Логойск»,ФАЦ «Лагойск»,ФОЦ «Логойск»
node,2769346998,Фрунзенский район,Фрунзенскі раён,Фрунзенский район
node,8974616890,ЦУМ «Минск»,ЦУМ «Мінск»,ЦУМ «Минск»
node,2769347000,Центральный район,Цэнтральны раён,Центральный район
node,7476868858,Чашникский районный исполнительный комитет,Чашніцкі раённы выканаўчы камітэт,Чашникский районный исполнительный комитет
