osm_type,osm_id,name,name:be,name:ru
way,1150239076,Участок 101,,
way,1150803167,Участок 102,,
way,1150232428,Участок 103,,
way,1150230296,Участок 105,,
way,1150229129,Участок 107,,
way,1150228605,Участок 109,,
way,1150227770,Участок 111,,
way,1150223795,Участок 121,,
way,1150222552,Участок 123,,
way,1150221682,Участок 125,,
way,1150221352,Участок 127,,
way,1150220964,Участок 129,,
way,1150220674,Участок 131,,
way,1150238427,Участок 58,,
way,1150238208,Участок 60,,
way,1150238052,Участок 62,,
way,1150236950,Участок 64,,
way,1150234504,Участок 66,,
way,1150236120,Участок 68,,
way,1150235067,Участок 70,,
way,1150239662,Участок 72,,
way,1150240086,Участок 74,,
way,1150242354,Участок 76,,
way,1150243542,Участок 78,,
way,1150243903,Участок 80,,
way,1150244633,Участок 93,,
way,1150243111,Участок 95,,
way,1150241558,Участок 97,,
way,1150240548,Участок 99,,
