osm_type,osm_id,name,name:be,name:ru
way,1303826573,Альфа-89,,
way,1314780683,Бетон-2008,,
way,1314835770,Верасок-2,,
way,1173651854,Витамин ЦУМа,,
way,1176571934,Водник,,
way,1303491409,Восход-92,,
way,1303826737,Вянок,,
way,358010478,Динамо,,
way,544374167,Досуг Збунин,,
way,1173651852,Друзья природы-91,,
way,1173651855,Дубок Плюс,,
way,1386586906,Дубок-1992,,
way,1181445684,Жаворонок-2008,,
way,1303493750,Здоровье-5,,
way,1303430969,Зеленые огни,,
way,180724943,Зрок-2,,
way,1314835769,Зрок-2,,
way,1154983498,Зрок-2009,,
way,1173651842,Ивушка-10,,
way,678454502,Квант-1,,
way,1303627110,Кветка,,
way,1173651853,Лесная поляна БПС,,
way,1173651856,Лесное-Теплицтехмонтаж,,
way,1070668877,Лесок-1,,
way,1386586910,Лянок,,
way,1154983490,Лянок-1,,
way,1303826572,Магистраль-2,,
way,321458881,Магия Пинского района,,
way,1173651841,Меркурий-10,,
way,415872936,Минута,,
way,1176571933,Молодая гвардия 91,,
way,1156339071,Монтажник,,
way,1313153240,Мэта,,
way,529684230,Ранет-94,,
way,559206593,Рассвет,,
way,1156339056,Рябинушка,,
way,1179795421,СТ «Педагог»,,
way,1151325875,СТ Асвета,,
way,1264625201,СТ Верховина,,
way,312612352,СТ Вишняки,,
way,1385273182,СТ Дружба-ДРСУ-195,,
way,1151285264,СТ Дружба-Угодино,,
way,1385273181,СТ Зелёный Луг-2009,,
way,1149581628,СТ Купалинка,,
way,25097456,СТ Малое Кашо,,
way,527230626,СТ Мелиоратор,,
way,1385273180,СТ Мелиоратор,,
way,536036757,СТ Франополь,,
way,538061561,СТ Франополь,,
way,1178788958,СТ Франополь,,
way,1135758897,СТ«Колос»,,
way,342285012,"Садовое товарищество ""Сосновка""",,
way,1080439691,Садовое товарищество Филатово,,
way,421485267,Суничка 2,,
way,1155823193,Сябры,,
way,1176571935,Транспортник,,
way,1286515990,Участки личных подсобных хозяйств,,
way,1146320488,Фермерская гаспадарка,,
way,1292384353,Фермерская гаспадарка,,
way,1234858228,Частный садовый участок,,
way,1181445685,Электрик-92,,
