osm_type,osm_id,name,name:be,name:ru
way,1312691383,"СТ ""Белая сирень""",,"СТ ""Белая сирень"""
way,1237618561,"СТ ""Вега-Заскорки 1""",,"СТ ""Вега-Заскорки 1"""
way,1324436876,"СТ ""Взгорье-1""",,"СТ ""Взгорье-1"""
way,1324436873,"СТ ""Взгорье-2""",,"СТ ""Взгорье-2"""
way,1237618536,"СТ ""Заскорки-1""",,"СТ ""Заскорки-1"""
way,383263016,"СТ ""Именин""",,"СТ ""Именин"""
way,1237618559,"СТ ""Искорка""",,"СТ ""Искорка"""
way,220746297,"СТ ""Лужесно""",,"СТ ""Лужесно"""
way,1335123324,"СТ ""Лужесно-2""",,"СТ ""Лужесно-2"""
way,1424123683,"СТ ""Металлист""",,"СТ ""Металлист"""
way,1324436874,"СТ ""Природа""",,"СТ ""Природа"""
way,590974953,СТ «Проект-1»,,СТ «Проект-1»
way,1429277093,СТ Альфа-1994,,СТ Альфа-1994
way,1329577958,СТ КРАПИВНИКИ,,СТ КРАПИВНИКИ
way,1436248243,"СТ""Борец""",,"СТ""Борец"""
way,401364847,"СТ""Борец-1""",,"СТ""Борец-1"""
way,1436248256,"СТ""Борец-1""",,"СТ""Борец-1"""
way,1436248232,"СТ""Борец-2""",,"СТ""Борец-2"""
way,1436248253,"СТ""Борец-3""",,"СТ""Борец-3"""
way,1379044488,"СТ""Весна""",,"СТ""Весна"""
way,387787095,"СТ""Веснянка-Базис""",,"СТ""Веснянка-Базис"""
way,1273980750,"СТ""Веснянка-Базис""",,"СТ""Веснянка-Базис"""
way,1379044459,"СТ""Дачник""",,"СТ""Дачник"""
way,1419574511,"СТ""Журавинка-Кустино""",,"СТ""Журавинка-Кустино"""
way,1419574518,"СТ""Журавинка-Кустино""",,"СТ""Журавинка-Кустино"""
way,407626756,"СТ""Журбица""",,"СТ""Журбица"""
way,1424123681,"СТ""Звёздочка""",,"СТ""Звёздочка"""
way,1379072296,"СТ""Зеленая поляна-2""",,"СТ""Зеленая поляна-2"""
way,1379079082,"СТ""Ипуть-1""",,"СТ""Ипуть-1"""
way,1379079083,"СТ""Ипуть-2""",,"СТ""Ипуть-2"""
way,1379079078,"СТ""Ипуть-3""",,"СТ""Ипуть-3"""
way,1379125256,"СТ""Ипуть-5""",,"СТ""Ипуть-5"""
way,367644813,"СТ""Кленки""",,"СТ""Кленки"""
way,1379072302,"СТ""Кленки-2""",,"СТ""Кленки-2"""
way,1379072300,"СТ""Колос-1""",,"СТ""Колос-1"""
way,1424092236,"СТ""Ладога""",,"СТ""Ладога"""
way,1393996219,"СТ""Лесная дача""",,"СТ""Лесная дача"""
way,1393994854,"СТ""Лесная сказка""",,"СТ""Лесная сказка"""
way,1273980746,"СТ""Лесное""",,"СТ""Лесное"""
way,1424083823,"СТ""Лесное""",,"СТ""Лесное"""
way,1424083824,"СТ""Лесное""",,"СТ""Лесное"""
way,1424083825,"СТ""Лесное""",,"СТ""Лесное"""
way,1424083826,"СТ""Лесное""",,"СТ""Лесное"""
way,1424083835,"СТ""Лесное""",,"СТ""Лесное"""
way,1424083836,"СТ""Лесное""",,"СТ""Лесное"""
way,1379044483,"СТ""Локомотив-1""",,"СТ""Локомотив-1"""
way,1424123680,"СТ""Медик""",,"СТ""Медик"""
way,1424123684,"СТ""Мечта""",,"СТ""Мечта"""
way,1424083804,"СТ""Надежда""",,"СТ""Надежда"""
way,1424083805,"СТ""Надежда""",,"СТ""Надежда"""
way,1419574528,"СТ""Новогрудский связист""",,"СТ""Новогрудский связист"""
