osm_type,osm_id,name,name:be,name:ru
node,4326880402,"""Беларусбанк""",,
node,5318972024,"""Беларусбанк""",,
node,4693337193,"""Беларусьбанк"", Банкомат, Инфокиоск",,
node,5635310295,Idea банк,,
node,4350170240,"АСБ ""Беларусбанк""",,
way,122782562,"АСБ ""Беларусбанк""",,
way,171450778,"АСБ ""Беларусбанк"" филиал № 615",,
node,4264417310,АСБ Беларусбанк №71,,
node,6269404288,Агропрмбанк,,
node,6827857486,Аддзяленне 713/700 Беларусбанк,,
node,4331221032,БПС- Сбербанк,,
node,4200619990,БПС-сбербанк,,
node,4226906094,БПС-сбербанк,,
node,4374649212,Банк ВТБ (Беларусь),,
node,445385483,Банк Развития,,
node,4263185622,Банк Решение №01/03,,
node,4592813245,Банк Торговый капитал,,
node,4586873594,БанкРазвития,,
way,280436336,Белaрусбанк,,
node,4263185623,"БелВЭБ РКЦ ""Припять""",,
node,4803601460,БелГазПромБанк,,
node,4224484463,БелГазпромБанк ЦБУ №703,,
node,4525807419,Белагропром банк,,
node,4304851991,Беларусбанк ,,
node,7685559867,Беларусбанк 100/161,,
node,4951148910,Беларусбанк 106/87,,
way,694769517,Беларусбанк 113/1,,
node,6576313586,Беларусбанк 115/141,,
node,4883765729,Беларусбанк 421/178,,
node,5012544687,Беларусбанк Отделение №208/123,,
node,8927329059,Беларусбанк Отделение №417/4129,,
way,155255768,Беларусбанк ЦБУ №210,,
node,1095201325,Беларусбанк отд. №632/34,,
way,556081085,Беларусбанк отд.500/288,,
node,5802358512,Беларусбанк отд.№415/1,,
way,25392424,Беларусбанк отд.№527/199,,
node,4997212650,Беларусбанк № 426/135,,
node,306062003,Беларусбанк №100/177,,
node,5861275849,Беларусбанк №106/91,,
node,4721630593,Беларусбанк №210/93,,
node,4730195330,Беларусбанк №210/94,,
node,4610501153,Беларусбанк №210/97,,
node,6028042917,Беларусбанк №401/97,,
node,6145698818,Беларусбанк №419/42,,
node,907439237,Беларусбанк №510/173,,
node,1118779257,Беларусбанк №514/271,,
node,5607613922,Беларусбанк №605/76,,
node,5984825387,Беларусбанк №612/3,,
node,5158365222,"Беларусбанк, 703/84",,
node,6742351078,Беларусбанк-банкомат,,
node,3722674908,Беларусбанк. Обменный пункт №413/1,,
node,9005224917,Беларусбанк. Отделение №320/3141,,
node,1039972056,Беларусбанк. Отделение №413/1,,
node,3390762649,Беларусбанк. Отделение №413/48,,
node,1429798811,Беларусбанк. Отделение №413/50,,
node,1131427305,Беларусбанк. Отделение №413/52,,
node,1369285660,Беларусбанк. Отделение №413/54,,
node,3390762651,Беларусбанк. Отделение №413/7,,
node,3722674909,Беларусбанк. Филиал №413. Операционная служба,,
node,4218018246,БеларусьБанк,,
node,4111433491,Белвнешэконом банк,,
node,4263185626,Белгазпромбанк ЦБУ №102,,
node,4031973662,Белинвестбанк (закрыт),,
way,171552380,Белинвестбанк ЦБУ №905,,
node,2582408195,Белпромстройбанк,,
node,6117166985,Бпс-банк,,
node,4287505591,Бта банк,,
node,4238993043,ВТБ 24,,
node,4033210265,ВТБ Банк,,
node,4263185618,ВТБ-Беларусь,,
node,4274870632,ВТБ-банк ДО №505,,
node,4296766757,Вамденьги,,
node,5978286528,Галоўнае ўпраўленне Нацыянальнага банка Рэспублікі Беларусь па Магілёўскай вобласці,,
node,8364562940,Главное управление Национального банка Республики Беларусь по Гомельской области,,
way,29125815,"Гродненское областное управление АСБ ""Беларусбанк""",,
node,4552761198,ЕвроторгИнвестБанк ЦБУ 708,,
node,4284482548,МТБанк - ЦБУ 5,,
node,7716745325,"МТБанк, ОП №34",,
node,7716745323,"МТБанк, ОП №47",,
node,7716745294,"МТБанк, РКЦ №34",,
node,7716745355,"МТБанк, РКЦ №9",,
node,7716745328,"МТБанк, УРМ-233",,
node,7716745330,"МТБанк, УРМ-47",,
node,4284450108,"МТБанк, ЦБУ №4 ""Милавица""",,
node,3887404707,МТбанк,,
node,5024614027,Москва-Минск ОК №315,,
way,25388701,Нацбанк,,
node,6420969701,"ОАО ""БПС-Сбербанк"" Региональная дирекция №600",,
way,25390313,"ОАО ""Белинвестбанк""",,
node,4241813292,"ОАО АСБ ""Беларусбанк"" отделение №615/52",,
node,4606934709,ОАО АСБ Беларусбанк,,
node,3640437909,"ОТДЕЛЕНИЕ №614/372 ОАО ""АСБ БЕЛАРУСБАНК""",,
node,4824475273,"Отделение ""Беларусбанк""",,
way,604237111,Отделение 614/60,,
node,3867253683,Отделение № 700/1 АСБ Беларусбанк,,
node,3867195618,Отделение № 700/70 АСБ Беларусбанк,,
node,5726725133,"Отделение №109/32 ОАО ""Беларусбанк""",,
node,4572034962,Отделение №122/81,,
node,3070735548,Отделение №323/206,,
node,6108477584,Отделение №323/207,,
node,6108508682,Отделение №323/209,,
node,6108525911,Отделение №323/210,,
node,6108541663,Отделение №323/211,,
node,6108635914,Отделение №323/212,,
node,6108670356,Отделение №323/214,,
node,6108685244,Отделение №323/216,,
node,6108691207,Отделение №323/217,,
node,6108746829,Отделение №323/222,,
node,5001108955,Отделение №408/78,,
node,281722591,Отделение №529/285,,
node,3852419464,Отделение №605/74,,
node,5310700856,ПриватБанк,,
node,3755798308,ПриорБанк,,
node,4302880495,ПриорБанк,,
node,5258018625,РКЦ √°9 Идея банк,,
node,6248971785,РРБ,,
node,8572050927,РРБ,,
node,5166252576,Рассчетно-кассовый центр Мозырского ЖКХ,,
node,4966759732,"ТЦ ""Виктория""",,
node,8237015560,УРМ ЦБУ №604,,
way,545301642,ФрансаБанк,,
node,6610939483,Франсабанк ЦБУ №3,,
node,4731178521,ЦБУ Абсолютбанк,,
node,4732463524,ЦБУ № 410,,
node,2909676554,"ЦБУ №505 ОАО ""Белгазпромбанк""",,
way,94242013,ЦБУ №632 ОАО Беларусбанк,,
node,4162575089,ЦБУ №707 Белгазпромбанк,,
node,7238184385,Эксперт Кредит,,
node,7301358685,Эксперт Кредит,,
node,8375073977,ЮниКредит Банк,,
node,3613563764,"банкомат ""БПС - банк""",,
node,4366159296,беларусьбанк,,
way,173377838,отделение ОАО Беларусбанк,,
way,213436180,филиал АСБ Беларусбанк,,
