osm_type,osm_id,name,name:be,name:ru
node,1143868505,Deck-сервис,БПС-Сбербанк,БПС-Сбербанк
node,5516784521,АСБ Беларусбанк,"Аддзяленне №106/98 ААТ ""АСБ БЕЛАРУСБАНК""","Отделение №106/98 ОАО ""АСБ БЕЛАРУСБАНК"""
way,265900056,Альфабанк,Прыёрбанк,Приорбанк
node,3673764578,БПС-Банк,БПС-банк,БПС-банк
node,4063762139,Банк БелВЭБ,Банк БелВэб,Банк БелВэб
node,8077649593,Банк БелВЭБ,Банк БелВэб,Банк БелВэб
node,2744093303,Банк БелВЭБ,БелВЭБ,БелВЭБ
node,3194797854,Банк БелВЭБ,БелВЭБ,БелВЭБ
node,3280589616,Банк БелВЭБ,БелВЭБ,БелВЭБ
node,8012247386,Банк БелВЭБ,БелВЭБ,БелВЭБ
node,8370979268,Банк БелВЭБ,БелВЭБ,БелВЭБ
node,255275872,Банк БелВЭБ,БелВЭБ,БелВэб
node,1777745930,Банк БелВЭБ,БелВЭБ,БелВэб
node,4321245703,Банк БелВЭБ,БелВЭБ,БелВэб
node,7716604488,Банк БелВЭБ,БелВЭБ,БелВэб
node,8077649579,Банк БелВЭБ,БелВЭБ,БелВэб
way,480029783,Банк БелВЭБ,БелВЭБ,БелВэб
node,2801193341,Банк БелВЭБ,"БелВЭБ, ЦРБ №680/1","БелВЭБ, ЦРБ №680/1"
node,8077649575,Банк БелВЭБ,БелВэб,БелВэб
way,156361020,Банк БелВЭБ,БелВэб,БелВэб
node,1462080814,Банк Дабрабыт,Банк Масква-Мінск,Банк Москва-Минск
node,599708399,Банк РРБ,РРБ-Банк,РРБ-Банк
node,881786105,Банк РРБ,РРБ-Банк,РРБ-Банк
node,1359822742,Банк РРБ,РРБ-Банк,РРБ-Банк
node,6491334083,Банк РРБ,РРБ-Банк,РРБ-Банк
node,7883707905,Банк РРБ,РРБ-Банк,РРБ-Банк
way,147254983,Белагропромбанк,"""Белаграпрамбанк"" РКЦ №6","""Белагропромбанк"" РКЦ №6"
way,426563011,Белагропромбанк,ААТ Белаграпрамбанк,ОАО Белагропромбанк
way,69295461,Белагропромбанк,Белаграпрамбанк,БелАгроПромБанк
node,3916568724,Белагропромбанк,Белаграпрамбанк,Белаграпрамбанк
node,7810048399,Белагропромбанк,Белаграпрамбанк,Белаграпрамбанк
way,76399418,Белагропромбанк,Белаграпрамбанк,Белаграпрамбанк
way,239927685,Белагропромбанк,Белаграпрамбанк,Белаграпрамбанк
way,297726216,Белагропромбанк,Белаграпрамбанк,Белаграпрамбанк
way,203725262,Белагропромбанк,Белаграпрамбанк,Белагропром
way,206086078,Белагропромбанк,Белаграпрамбанк,Белагропром
node,3390611513,Белагропромбанк,Белаграпрамбанк,Белагропромбанк. ОП №8
node,9076632517,Белагропромбанк,Белаграпрамбанк,Белинвестбанк
way,205433302,Белагропромбанк,Белаграпрамбанк,"ОАО ""Белагропромбанк"" отделение в г. Кричев"
node,4884762022,Белагропромбанк,Белаграпрамбанк,РКЦ БЕЛАГРОПРОМБАНК
way,158207550,Белагропромбанк,Белаграпрамбанк,"РКЦ №5 ""Белагропромбанк"""
way,239471837,Белагропромбанк,Белаграпрамбанк ЦБП №123,Белагропромбанк ЦБУ №123
way,155255765,Белагропромбанк,Белагропромбанк РКЦ №28,Белагропромбанк РКЦ №28
way,61695633,Белагропромбанк,"Беларусбанк, Белаграпрамбанк","Беларусбанк, Белагропромбанк"
node,1493608388,Беларусбанк,Беларусбанк аддзяленне № 510/416,Беларусбанк отделение №510/416
node,350190555,Беларусбанк № 400/65,Беларусбанк,Беларусбанк
node,305680915,Беларусбанк №510/377,Беларусбанк,Беларусбанк
node,1499856825,Беларусбанк №514/404,Беларусбанк,Беларусбанк
way,561816573,Дабрабыт,Банк «Масква-Мінск»,Банк «Москва-Минск»
node,320409613,Дабрабыт,Банк Дабрабыт,Банк Дабрабыт
node,991186885,Дабрабыт,Банк Дабрабыт,Банк Дабрабыт
node,1498684278,Дабрабыт,Банк Дабрабыт,Банк Дабрабыт
node,2600538100,Дабрабыт,Банк Дабрабыт,Банк Дабрабыт
node,2793155969,Дабрабыт,Банк Дабрабыт,Банк Дабрабыт
node,4274111089,Дабрабыт,Банк Дабрабыт,Банк Дабрабыт
node,5306782092,Дабрабыт,Банк Дабрабыт,Банк Дабрабыт
node,6364567623,Дабрабыт,Банк Дабрабыт,Банк Дабрабыт
node,6690594486,Дабрабыт,Банк Дабрабыт,Банк Дабрабыт
node,9113980539,Дабрабыт,Банк Дабрабыт,Банк Дабрабыт
node,4386695690,Дабрабыт,Банк Дабрабыт,Банк Москва-Минск
way,58064500,Дабрабыт,Банк Дабрабыт,Банк Москва-Минск
node,977746139,Дабрабыт,Банк Масква-Мінск,Банк Москва-Минск
node,1109067033,Дабрабыт,Банк Масква-Мінск,Банк Москва-Минск
node,3525076045,Дабрабыт,Масква-Мінск,Москва-Минск
node,6117170985,Идея Банк,Ідэя Банк,ИдеаБанк
node,3303585680,Идея Банк,Ідэя Банк,Идея Банк ЦОБ №1
node,1039434425,ИдеяБанк,Белаграпрамбанк,Белагропромбанк
node,4284540703,МТБанк,МТБанк - РКЦ Фаренгейт,МТБанк - РКЦ Фаренгейт
node,1421260608,Отделение №514/329,Беларусбанк,Беларусбанк
node,4511677989,Приорбанк,Прыёрбанк,Отделение ОАО «Приорбанк»
node,2517442617,Приорбанк,Прыёрбанк,Приорбанк ЦБУ 100/2
