osm_type,osm_id,name,name:be,name:ru
node,1442711834,"""Алые паруса""",,
node,4102079291,"""Гурман""",,
node,3762256761,"""На Нёманской""",,
node,4980544922,"""Провинция""",,
node,5241780903,"""бахус""",,
node,1144408264,101 этаж,,
node,7291407985,12 кружек,,
node,306062034,5 Капель,,
node,1300595403,5Д,,
node,1366372458,BeerЛога,,
node,5198315106,Cinema Сity,,
node,8944151475,Hot coffee house стриптиз клуб Минск,,
node,4314417889,Korova Гриль,,
node,6807301815,Lidbeer Bar Светлы,,
node,7071833585,PapaCraft разливное пиво,,
node,3371533218,The Хмель,,
way,418361242,Аливария,,
node,3030242501,Альфа-бар,,
node,8032528736,Американка,,
node,306062539,Арионис,,
node,5930101085,Артемида,,
node,6338123585,Аська,,
node,2455761985,АэроClub,,
node,8753141617,Б12,,
node,7247725355,Банки-Бутылки,,
node,6143219606,"Бар ""2 этаж""",,
node,1012822956,"Бар ""Башня""",,
node,835927013,"Бар ""Встреча""",,
node,919499766,"Бар ""Зодиак""",,
way,66846887,"Бар ""Колесо""",,
node,5510332123,"Бар ""Максим""",,
node,4121846693,"Бар ""Метро""",,
node,6449626185,"Бар ""Мята""",,
way,374828569,"Бар ""Не горюй""",,
node,3419167483,"Бар ""Туманы""",,
way,231855060,"Бар ""Шынок""",,
node,1561249552,Бар 44,,
node,7355131594,Бар Cats Коты,,
way,204122734,Бар «Лагуна»,,
node,4200563390,Бар «Олимп»,,
node,7382719192,Бар ДК,,
node,8583267047,Бар ДаВинчи,,
node,7684616787,Бар Икс,,
node,564891386,Бар Каменный,,
node,4908903050,Бар Монро,,
node,3613426922,Бар Речицкий,,
node,7740364185,Бар Фламинго,,
node,4676890029,Бар ХТШ-Т,,
node,5652261321,Бар магазин Пивной угол,,
node,8855210254,Бар на Телеграфной,,
way,348737171,"Бар""Брайтон""(плакучая ива)",,
node,1900605331,"Бар-ресторан ""Лагуна""",,
way,326135785,Баркас,,
node,7788328285,Барон,,
node,9227264273,Бедный родственник,,
node,9918475498,Берлога,,
node,6067521385,БильYARD,,
node,4127009689,Бильярд Классик,,
node,1590396231,Бильярдный бар,,
node,4559484089,"Бильярдный клуб ""Пирамида""",,
node,8414146517,"Бильярдный клуб „Арамит""",,
node,1061780467,Бриллиант,,
node,8855210256,Бруклин,,
node,6419113977,Вершы,,
node,4840037190,Вест,,
node,6148313102,Вишнёвый секрет,,
node,1947304589,Влад,,
node,5775313556,Все как он любит,,
node,5730243544,Вінніца,,
way,189687236,"Гастро-Бар ""СТОЛЛЕ""",,
node,4119830490,Герион,,
way,324063168,Гриль,,
node,4521168508,Диско бар Sherry,,
node,4288413827,"Диско-бар ""Молодежный""",,
node,4716058802,"Диско-бар ""Орфей""",,
node,9862409720,Домра,,
node,9658261298,Дуть,,
way,431222744,Дюнер,,
node,1168827898,Енот,,
node,7513704652,Жажда Тэпрум,,
node,5697300727,Жёванный Крот,,
node,2600525907,Закон Бутерброда,,
node,9005215913,"Закусочная ""Мечта""",,
way,823076122,Иван Ёлкин,,
node,6400521351,Изабелла,,
node,8991870017,Исла-Бонита,,
node,8220579660,КОЗА,,
node,4287432607,Кальян-бар Ammouri,,
node,9610448765,Кальян-бар Ленивец,,
node,4514948189,Кальянная Hookahdeli,,
node,1123466965,Кальянная «Дуть»,,
node,840568380,Караоке-бар,,
node,4345462309,Караоке-клуб «Зелёный попугай»,,
node,1204009568,"Кафе ""Bellisimo""",,
way,281552164,"Кафе ""Галя, гуляй""",,
node,2038238736,"Кафе ""Першайский""",,
way,168579711,"Кафе ""Старый леприкон""",,
node,3916568719,Кафе-Бар,,
way,582527825,Кафе-бар,,
node,4290865498,"Кафе-драйв ""EM24""",,
node,2609341181,Квартирник,,
node,7600331008,Квас,,
node,9847766224,Кимборовка,,
way,39636593,Кино,,
node,5190800428,Клуб Дрозды,,
