osm_type,osm_id,name,name:be,name:ru
node,4382010491,"""Корица""",,"""Корица"""
node,1282000577,"""Криничка""",,"""Криничка"""
node,6311414385,Адмирал,,Адмирал
node,4295680080,Академия,,Академия
node,3024042303,Апельсин,,Апельсин
way,157045229,Апельсин,,Апельсин
node,5198799287,БарДо,,БарДо
node,1511473519,Белые росы,,Белые росы
way,98016099,Белые росы,,Белые росы
node,4578281318,Бир бар,,Бир бар
node,4603595396,Биркеп,,Биркеп
node,4365875089,Блинная,,Блинная
node,4375191791,Бриз,,Бриз
node,1968229569,Герои,,Герои
node,1255373978,Графит,,Графит
node,4172508189,Гриль-бар,,Гриль-бар
node,6206046085,Гриль-бар,,Гриль-бар
node,4811371222,Династия,,Династия
node,1327602869,Для тебя,,Для тебя
node,4376128202,Дольче Вита!,,Дольче Вита!
node,1806660501,Дядя-Ваня,,Дядя-Ваня
node,5030079623,Золотое руно,,Золотое руно
node,4844145222,Кальянная Лаборатория,,Кальянная Лаборатория
node,5002073723,Караван,,Караван
node,4373610889,Караоке-бар «Поющий центр»,,Караоке-бар «Поющий центр»
node,1264746351,Карусель,,Карусель
way,261889337,Катрин,,Катрин
node,4399713095,Кафе Лета,,Кафе Лета
node,8285231948,Кафе-бар Мир,,Кафе-бар Мир
relation,5886395,Кинобар,,Кинобар
node,5034069620,Классик,,Классик
node,5480954021,Клумба,,Клумба
node,974994579,Колибри,,Колибри
node,5522944587,Корсар,,Корсар
node,4422134891,Курилка,,Курилка
node,4005676529,Лондон Бар,,Лондон Бар
node,3148781194,Мать честная,,Мать честная
node,6477479099,Маяковский,,Маяковский
node,8461705012,Место,,Место
way,440722078,Мираж,,Мираж
node,1246224732,Монтана,,Монтана
node,4923707921,На пляже,,На пляже
node,1189415986,Найс-бар Друзья,,Найс-бар Друзья
way,239164567,Нефть,,Нефть
node,443698597,Патриот,,Патриот
way,423642580,Пивная бочка,,Пивная бочка
node,3016106395,Пиранья,,Пиранья
node,7288565585,Пиццы и зрелищ,,Пиццы и зрелищ
node,4673090890,Полюс,,Полюс
node,3164336974,Придорожный,,Придорожный
node,5198329284,Пушкин,,Пушкин
node,4668810290,Разливное пиво,,Разливное пиво
node,5358560628,Разливное пиво,,Разливное пиво
node,5757659121,Разливное пиво,,Разливное пиво
node,1669952412,Ранчо,,Ранчо
node,305679676,Рачок,,Рачок
node,2541365344,Рюмочная,,Рюмочная
node,5594293935,Рюмочная,,Рюмочная
node,7556442548,Рюмочная,,Рюмочная
node,7104619560,Рюмочная ПТАШКА,,Рюмочная ПТАШКА
way,518900385,САС,,САС
node,4287473389,Скорпион,,Скорпион
node,4399713094,Скорпион,,Скорпион
node,4379975189,"Спорт-бар ""Олимпик""",,"Спорт-бар ""Олимпик"""
node,4375193292,Таверна,,Таверна
node,3380916832,Талер,,Талер
way,295326502,Тополёк,,Тополёк
node,306062150,Трактир,,Трактир
way,365067260,Транзит,,Транзит
node,7679635587,Фазенда,,Фазенда
node,2585562848,Филипок,,Филипок
node,2969538208,Филипок,,Филипок
node,4807411821,Хмель,,Хмель
node,4711808457,Хорошее Заведение,,Хорошее Заведение
node,4422216389,Хороший год,,Хороший год
node,4731213021,Чемпи,,Чемпи
node,6149923359,Чердак,,Чердак
node,9685997411,Чердак,,Чердак
way,289715365,Шанс,,Шанс
node,997647174,Эдем,,Эдем
node,4529947593,Этаж,,Этаж
