osm_type,osm_id,name,name:be,name:ru
node,6058415792,""" Сервис""",,
node,7786503888,"""Акватория""",,
node,539236655,"""Апшерон""",,
node,1772934903,"""Беларуская хата""",,
node,6472405085,"""Донер Рум"" Шаурма",,
node,5103376323,"""Смачна кава"" Coffee point",,
way,150745338,"""Спутник""",,
node,3102229849,"""Сфера"" боулинг",,
node,538049753,"""У фонтана""",,
way,542153016,"""айсберг""",,
node,3302432437,10-я рота,,
node,2314589039,1000 и одна ночь,,
node,3006940076,101ый этаж,,
node,6257645385,1801 Кофе,,
node,4129499490,3 минуты,,
way,108720591,3 минуты,,
node,5280463511,33 пингвина,,
node,6690598876,33 пингвина,,
node,6690598878,33 пингвина,,
node,6690598879,33 пингвина,,
node,6690598880,33 пингвина,,
node,6690598882,33 пингвина,,
node,6690633200,33 пингвина,,
way,122247877,3D Шаурма,,
node,7356093985,3Б-Бургер,,
node,9795243526,7 квадратов,,
node,3404989773,7 комнат,,
way,136628796,9-й берег,,
node,8229123177,Cafe Лайм,,
node,970992486,Cтоловая,,
node,3789006998,Kinza ресторан,,
node,6447413586,Little мопс,,
node,6000980694,PRAGA кафе,,
node,4216190789,PaPi (Pasta & Pizza) Кафе-Пиццерия,,
node,8599300953,V РАМКАХ,,
node,3841079707,XIX Век,,
node,4227093489,coffee&кава,,
node,4972743267,f.s.cafe (2 этаж),,
node,9728621743,«Teacava (Цікава)»,,
node,9722150217,«Дозаправка»,,
way,499351057,«Т.Чинофф»,,
way,605927059,Ё-моё,,
node,4329105891,Ёлки-палки,,
node,2282278884,Автограф,,
node,3950033361,Автограф,,
way,281800401,Автостоп,,
way,175619754,Албена,,
way,157265697,Алекс,,
way,202316294,Александр,,
node,4752057321,Али-Баба,,
node,2469061825,Алиса,,
node,4602620293,Алло! Pizza - экспресс доставка,,
node,2613424918,Алтай,,
way,509462162,Альфакир,,
way,171247816,Ам Пир,,
node,4504869943,Ам-ням,,
way,504193324,Амато Кофе,,
node,4835526633,Амбасадоре,,
node,7671057186,Аминиэль,,
node,2012190995,Амфибия,,
way,205882160,Андала,,
way,304758755,"Антикафе ""Три кота""",,
node,7036042146,Антикафе Небо(тайм кафе),,
node,4552493832,Антикинотеатр №1,,
node,769129428,Апшерон,,
node,7658934591,Арна,,
node,4964569002,"Арт-кофейня ""Белый чемодан""",,
node,3948435562,Артишок,,
node,5687626011,Астория-Комплекс,,
node,5209054522,Ачма,,
node,6109608665,Аякс,,
node,5304605323,БОДРЫЙ,,
node,6363343085,Бабаш,,
node,4377280713,Бакардия,,
node,3150738844,Бакинский бульвар,,
node,5799882723,Балаш,,
node,3347204093,Балук,,
node,4518905089,Балук,,
node,5305052921,Балук,,
node,9022642221,Балук,,
node,4274712897,Банкетный зал «LA Villa (Ла Вилла)»,,
node,6348879756,Баноффи,,
node,1845144017,Бар Россо,,
way,538823946,Бар н.п. Клястицы,,
node,1182862346,Бар ресторана «Радуга»,,
node,6181947463,Барашка,,
node,4223653163,Барчетта,,
node,2574013831,Бейкери дю Солей,,
way,133978542,Беларуская хата-2,,
node,3799119668,Беллини,,
way,339098946,Белоруская хата,,
node,5277439493,Белорусское бистро,,
way,307693421,Бельмонты,,
node,794434532,"Библиотека: интернет-кафе,Wi-Fi",,
node,4973587260,Бизнес Паб,,
node,2106326005,Бисквит,,
node,3223181195,Бисквит,,
node,3945637693,Бисквит,,
way,415074930,Бистро Дрозды-Клуб,,
node,6929916567,Бистро Круассан,,
node,6298133661,БлинКом,,
node,4260473190,Блиндажъ,,
node,5240802930,Блинный дворик,,
node,1652609631,Блюз,,
node,5310357432,Больше кофе,,
node,2189324533,Большой Буфет,,
node,3265235520,Бона Сфорца,,
node,3658178373,Бонджорно,,
way,247007669,Борчалы,,
node,7155106787,Борщ,,
node,6681536786,Боярская изба,,
node,2486147208,Брас,,
node,3661735081,Брейк тайм Кафе,,
node,7846255885,Бро Бейкери,,
node,4525911290,Бро-Бро,,
node,5351545126,Бробар,,
way,375648556,Бронгал,,
node,1380182221,Булочная,,
node,7368813686,Буно,,
node,7945853385,Бургер Бро,,
node,4326223507,Бургер пицца,,
node,5666926121,Бургер пицца,,
node,7780688685,"Бургер, пицца, суши",,
way,253331086,Бутербродная,,
node,7700127785,"Бутербродная ""Кветка"" (с лодочками)",,
node,6576028533,"Буфет ""Жодино-Южное""",,
node,5138690523,"Буфет ""София""",,
node,4263539589,Буфет Кофе Фудлифт,,
node,4712227577,Буфет НББНТУ,,
node,4267839289,Буфет Савушкин,,
node,4239182090,Буфет ФГиГ БГУ,,
node,5765865413,Буфет термического цеха,,
node,736095210,Ва-Банк,,
node,1539183429,Ваига,,
node,4316983297,Валенка,,
node,5203598123,Валенка,,
way,234261291,Ванька-Встанька,,
node,9583869617,Варка кофе,,
node,305682942,Ватан,,
node,7431332885,Вег Хармони,,
node,6328440585,Вегги бар,,
node,8658015282,Везувий,,
node,1602252840,Великолепный экспресс,,
node,1497145334,ВерасОк,,
node,5881271704,Весёлый попутчик,,
node,5279964823,Вечернее,,
node,3126163595,Взлёт,,
node,1488737645,Визави,,
node,9738393359,Вкусный дом,,
node,5415944323,Вкуснямба,,
node,4204972445,Вместе,,
node,8891738873,Вожык гуляка,,
node,8693155517,Все свои,,
node,7119380989,Всё готово!,,
way,99505248,Въетнамское кафе,,
way,367594733,Вітаем Вас,,
node,7320077736,Гагарин,,
node,5300871023,Галерея кофе,,
node,5756640522,Гамриэлия,,
way,403624531,Ганарлiвы парсюк,,
way,1072386545,Ганцевичанка,,
node,5196592526,Гастробар «ButterBro»,,
