osm_type,osm_id,name,name:be,name:ru
way,125685612,7 Ветров,7 вятроў,
node,7151966828,Sправа,Справа,
node,4588033541,Банкетный зал,Банкетная зала,
node,5250004132,Банкетный зал,Банкетная зала,
way,285569658,Банкетный зал,Банкетная зала,
way,101440605,Былина,Быліна,
node,6033671607,Волки grill,Волкі grill,
node,3661313693,Встретимся на Немиге,Сустрэнемся на Нямізе,
node,3948674486,ГрильФуд Драйв,Агеньчык,
node,1366689206,Дом папочки,Дом татачкі,
way,338467955,Дом сторожа,Дом вартаўніка,
node,6346519785,Доминика,Дамініка,
node,7155142100,Жасмин,Язмін,
node,6710740668,Желтый лось,Жоўты лось,
way,291591414,Заплетень,Запляцень,
node,2629117605,Земляки,Зямлякі,
node,3647143987,Зерно,Зерне,
node,3944633030,Зерно,Зерне,
node,9149968317,Зерно,Зерне,
node,9663247217,Зерно,Зерне,
node,5783455808,Золотой Лев №1,Залаты Леў №1,
node,2624530256,Кафе «Моя дорогая»,Кавярня “Мая дарагая”,
way,61374205,Кафе «Цитадель»,Кафэ «Цытадэль»,
node,1674555967,Кафе БелСтройЦентр,Кавярня БелБудЦэнтр,
way,289715437,Кафе Молодёжное,Моладзевае,
node,8319073581,Кафе-бистро «Беларускі куток»,Беларускі куток,
node,672057868,Кофейное дерево,Кававае дрэва,
node,4972048923,"Кофейня ""Gray House""","Кавярня ""Gray House""",
node,5373738421,"Кофейня ""Донат поинт""","Кавярня ""Данат поінт""",
node,6410364385,"Кофейня ""ИнКофеИн""","Кавярня "" Інкаваін""",
node,6709519189,Кофейня Buno,Кавярня Buno,
node,1528858802,Крыша поехала,Дах паехаў,
node,4548717768,Куркума на Пушкинской,Куркума на Пушкінскай,
node,4227381890,Линия вкуса,Лінія смаку,
node,6561398286,Лихтарик 1876,Ліхтарык 1876,
node,2593639310,Людям нравится,Людзям падабаецца,
node,3205814437,Милан,Мілан,
node,2554355481,Мини Кафе,Міні Кафэ,
node,8723747587,"Ночь, улица, фонарь...","Ноч, вуліца, ліхтар...",
node,1093528829,Обжора,Абжора,
node,5263626621,Осминожка,Васьміножка,
node,3916843610,Парадиз Сити,Парадыз Сіці,
node,3097159554,Пельменная,Пяльменная,
way,206244914,Пельменная,Пяльменная,
way,308107201,Пицца,Піцца,
node,3284349113,Пицца Лисицца,Піцца Лісіцца,
node,4741811022,Пицца Лисицца,Піцца Лісіцца,
node,3413150366,Проспект,Праспэкт,
way,550942188,Проспект,Праспэкт,
way,520619765,Ресторан у Дорогостайского,Страўня ў Дарагастайскага,
node,8665711250,Рим,Рым,
node,3207033863,Сицилия,Сіцылія,
node,1201957923,Славяночка,Славяначка,
way,449067100,"Столовая ""Ежа""","Сталоўка ""Ежа""",
node,1870460921,Столовая 29,Сталовая 29,
node,1870460922,Столовая ДСК,Сталовая ДБК,
node,5878527590,Столовая Дома печати,Сталовая Дома друку,
node,1182909837,Столовая №1,Сталоўка №1,
node,1870460814,Столовая №1,Сталоўка №1,
node,2407390959,Столовая №1,Сталоўка №1,
node,8115461189,Столовая №1,Сталоўка №1,
way,239876193,Столовая №1,Сталоўка №1,
node,1870460821,Столовая №175,Сталовая #175,
way,156292176,Сузор`е,Сузор'е,
node,4499136989,Суши Шеф Артс,Сушы Шэф Артс,
node,6356054985,Тимохин двор,Цімохін двор,
node,8665711249,Тихое,Ціхае,
node,276694057,Топ-Гир,Топ-Гір,
node,4106712104,Туркиш kebab,Турэцкі кебаб,
node,4511766692,У Борисыча,У Барысыча,
node,5719424845,У дороги,Пры гасцінцы,
node,4502322881,Хемшин,Кавярня «Вада»,
node,4595862089,Хинкальная №1,Хінкальная №1,
node,4323826790,Чай Кофе Потанцуем,Гарбата Кава Патанчым,
node,5700047222,Чебуречная,Чабурэчная,
node,6841613155,Чебуречная,Чабурэчная,
node,2415182654,Чехов,Чэхаў,
node,6964467423,Шаурма,Шаўрма,
node,6767485285,Школьная столовая,Школьная сталовая,
node,5171860721,Шоколадная ложка,Шакаладная лыжка,
node,6515034385,Шоколадная ложка,Шакаладная лыжка,
node,3829461112,Шоколадница,Шакаладніца,
node,4529062391,Шоколадница,Шакаладніца,
node,8665711248,ЭкСПРЕССО,ЭкСПРЭСА,
node,1012815881,Эллис,Эліс,
node,4713023289,кофейня UTRO,кавярня UTRO,
way,240924283,летнее кафе «Адпачынак»,летняя кавярня,
