osm_type,osm_id,name,name:be,name:ru
node,305678612,АлиБаБа,Майстар Біс,Мастер Бис
node,1688252877,Анастасия,Анастасія Слуцкая,Анастасия Слуцкая
node,3613498881,Атланта,Фаварыт,Фаворит
way,582287255,Гостинец,Гасцінец,Kaffe
node,642311917,ЗаКуток,Хутарок,Хутарок
node,4574938189,Кафе,Кавярня,Кофе
node,4758419592,Кафе,Кавярня,Кофе
node,5159289821,Кафе,Кавярня,Кофе
node,5711471951,Кафе,Кавярня,Кофе
node,6696809685,Кафе,Кавярня,Кофе
way,102316529,Кафе,Кавярня,Кофе
node,4035174979,Кофейня,Кавярня,Кофе На Вынос
node,4991155421,Кофейня,Кавярня,Кофе На Вынос
node,5346578740,Кофейня,Кавярня,Кофе На Вынос
node,5758055137,Кофейня,Кавярня,Кофе На Вынос
node,6419006370,Кофейня,Кавярня,Кофе На Вынос
node,6872624535,Кофейня,Кавярня,Кофе На Вынос
node,5571663324,Кофейня,Кавярня,"Кофейня ""Терапия. Кофе и цветы"""
node,5594293936,Кофейня,Кавярня,"Кофейня ""Терапия. Кофе и цветы"""
node,7207559085,Кофейня,Кавярня,"Кофейня ""Терапия. Кофе и цветы"""
way,228376142,Летнее кафе,Летняя кавярня,Летняя кафе
way,562485186,Летнее кафе,Летняя кавярня,Летняя кафе
node,4225163109,Летнее кафе,Летняя кавярня,Летняя палатка
node,1561252427,Магазин,Магазін,Бистро
node,4448460308,Осьминог,Каўчэг,Ковчег
node,1697658247,Родный Кут,Родны Кут,Родны Кут
node,305675019,Ротани,Малінаўка,Малиновка
node,2025383840,Сандали,Сандалі,Санторини
way,101393004,Столовая,Сталовая,Столовая Гомельского Радиозавода
node,4416352695,Шафран (индийское кафе),Шафран,Шафран
node,3207897043,Экватор,Экватар,Олимп
node,4745000928,кофейня,Кавярня YOU COFFEE,Кофейня YOU COFFEE
