osm_type,osm_id,name,name:be,name:ru
way,112928715,Городской Дворец культуры,Гарадскі палац культуры,
node,5851098985,Грунтовня,Грунтоўня,
node,5851101922,Грунтовня,Грунтоўня,
way,200662397,"ДК ""Юность""","ДК ""Юнацтва""",
way,204549820,"Дворец Культуры ""Восточный""",Палац культуры “Усходні”,
way,38075254,Дворец детей и молодежи,Цэнтр пазашкольнай работы,
relation,301544,Дворец культуры ОАО «Нафтан»,"Палац культуры ААТ ""Нафтан""",
way,25327542,Дворец культуры ветеранов,Палац культуры ветэранаў,
node,1159763566,Детская художественная школа № 1 им. В.К. Цвирко,Дзіцячая мастацкая школа мастацтваў № 1 імя В. К. Цвіркі,
way,133977174,Дом культуры городской,Гарадскі дом культуры,
way,270363221,Залесский киноконцертный центр,Залескі кінаканцэртны цэнтр,
node,7057962118,"Культурное пространство ""Первый шаг""","Культурная прастора ""Першы крок""",
node,5305407189,На крыше,На даху,
way,376980390,Осинторфский сельский Дом культуры,Асінторфскі сельскі Дом культуры,
way,238971915,Районный Центр культуры,Раённы Цэнтр культуры,
node,2061662497,Районный дом культуры,Раённы дом культуры,
way,76399408,Районный дом культуры,Раённы дом культуры,
way,101926395,Районный дом культуры,Раённы дом культуры,
way,158202959,Районный дом культуры,Раённы дом культуры,
way,203320052,Районный дом культуры,Раённы дом культуры,
way,212230019,Районный дом культуры,Раённы дом культуры,
way,275688078,Районный дом культуры,Раённы дом культуры,
way,301796103,Районный дом культуры,Раённы дом культуры,
way,35980666,СДЮШОР №11 по шахматам и шашкам,СДЮШАР №11 па шахматах і шашках,
node,6776261886,Слобудский Дом культуры,Слабуцкі Дом культуры,
node,5798875353,Студия звукозаписи “Селах”,Студыя гуказапісу “Селах”,
node,3803845553,Тиховольский сельский филиал-клуб,Ціхавольскі сельскі філіял-клуб,
way,41099076,ЦЕНТР КУЛЬТУРЫ г.Новополоцка,Цэнтр культуры г.Наваполацка,
way,37636517,Центр детей и молодёжи при костёле,Цэнтр дзяцей і моладзі пры касцёле,
