osm_type,osm_id,name,name:be,name:ru
node,4616950389,18го,,18го
way,242407661,40 лет Октября,,40 лет Октября
node,5637057322,Алиса в Стране Чудес,,Алиса в Стране Чудес
node,4693197396,Вертелишковский центр культуры,,Вертелишковский центр культуры
node,4933375823,Вировлянский сельский Дом культуры,,Вировлянский сельский Дом культуры
way,627614977,Гацуковский сельский дом культуры,,Гацуковский сельский дом культуры
way,240754385,Городской дом Культуры,,Городской дом Культуры
node,4365993203,ДК Автогидроусилитель,,ДК Автогидроусилитель
way,492602865,ДК Железнодорожников,,ДК Железнодорожников
way,199804280,Дворец культуры академии,,Дворец культуры академии
node,4373094504,"Детский хоккей и фигурное катание ""Пчёлки""",,"Детский хоккей и фигурное катание ""Пчёлки"""
node,5984840308,"Детско-юношеский клуб ""Веснянка""",,"Детско-юношеский клуб ""Веснянка"""
way,239478830,Дом Быта,,Дом Быта
node,4656358592,Дом Детского Творчества,,Дом Детского Творчества
way,139349110,Дом Культуры,,Дом Культуры
way,210188103,Дом Культуры,,Дом Культуры
way,210190669,Дом Культуры,,Дом Культуры
way,236680711,Дом Культуры,,Дом Культуры
way,240460876,Дом Культуры,,Дом Культуры
way,243964243,Дом Культуры,,Дом Культуры
way,551712697,Дом Культуры,,Дом Культуры
way,695305264,Дом Культуры,,Дом Культуры
way,1056887340,Дом Культуры,,Дом Культуры
node,5062491447,Дом культуры,,Дом культуры
node,5739050949,Дом культуры,,Дом культуры
relation,3698389,Дом культуры,,Дом культуры
way,100612592,Дом культуры,,Дом культуры
way,165506503,Дом культуры,,Дом культуры
way,216924548,Дом культуры,,Дом культуры
way,226973781,Дом культуры,,Дом культуры
way,245281026,Дом культуры,,Дом культуры
way,245356751,Дом культуры,,Дом культуры
way,327081645,Дом культуры,,Дом культуры
way,380106531,Дом культуры,,Дом культуры
way,500088265,Дом культуры,,Дом культуры
way,605906167,Дом культуры,,Дом культуры
way,159975620,Дом молодежи и творчества,,Дом молодежи и творчества
node,4559484189,Дом ремесел,,Дом ремесел
way,170147347,Дом социальных услуг и культурного досуга,,Дом социальных услуг и культурного досуга
node,4527881295,Зароновский сельский дом культуры,,Зароновский сельский дом культуры
way,558988997,Историки-туристический центр,,Историки-туристический центр
node,4221325692,Картинг,,Картинг
node,4383432998,Картинная галерея им. А. Исачёва,,Картинная галерея им. А. Исачёва
node,6598952185,Квест парк,,Квест парк
node,4440990289,"Квесты ""Взаперти""",,"Квесты ""Взаперти"""
node,4302483593,Клуб,,Клуб
node,5041157304,Клуб,,Клуб
way,209726822,Клуб,,Клуб
way,231307452,Клуб,,Клуб
way,233473293,Клуб,,Клуб
way,233485561,Клуб,,Клуб
way,236982053,Клуб,,Клуб
way,239431687,Клуб,,Клуб
way,256958487,Клуб,,Клуб
way,257610086,Клуб,,Клуб
way,260880877,Клуб,,Клуб
way,263925925,Клуб,,Клуб
way,264872928,Клуб,,Клуб
way,266077906,Клуб,,Клуб
way,267037885,Клуб,,Клуб
way,274223062,Клуб,,Клуб
way,274478397,Клуб,,Клуб
way,282047296,Клуб,,Клуб
way,296678402,Клуб,,Клуб
way,298760434,Клуб,,Клуб
way,306669916,Клуб,,Клуб
way,307150462,Клуб,,Клуб
way,315600393,Клуб,,Клуб
way,321607895,Клуб,,Клуб
way,325368124,Клуб,,Клуб
way,344459597,Клуб,,Клуб
way,356334350,Клуб,,Клуб
way,359278216,Клуб,,Клуб
way,363150459,Клуб,,Клуб
way,377254612,Клуб,,Клуб
way,377443169,Клуб,,Клуб
way,382328081,Клуб,,Клуб
way,395957995,Клуб,,Клуб
way,400385755,Клуб,,Клуб
way,434736212,Клуб,,Клуб
way,472268352,Клуб,,Клуб
way,480671295,Клуб,,Клуб
way,486094189,Клуб,,Клуб
way,502457198,Клуб,,Клуб
way,551732545,Клуб,,Клуб
way,757513850,Клуб,,Клуб
way,769432276,Клуб,,Клуб
way,863501052,Клуб,,Клуб
way,896266070,Клуб,,Клуб
way,990152984,Клуб,,Клуб
node,4425395991,"Клуб настольных игр ""Другой Мир""",,"Клуб настольных игр ""Другой Мир"""
way,640291289,Контора,,Контора
node,3677360262,Лесковичский сельский клуб,,Лесковичский сельский клуб
way,941813702,Молодежный центр,,Молодежный центр
way,29125079,"Молодёжный центр ""Гродно""",,"Молодёжный центр ""Гродно"""
way,275688085,"Молодёжный центр ""Коммунальник""",,"Молодёжный центр ""Коммунальник"""
node,4864177721,ОДО СВЕТ ТВ,,ОДО СВЕТ ТВ
node,4796244824,"Образовательный центр ""Академия Развития""",,"Образовательный центр ""Академия Развития"""
way,276388491,Паричский районный центр творчества детей и молодёжи,,Паричский районный центр творчества детей и молодёжи
way,353282587,Почаевский сельский клуб,,Почаевский сельский клуб
way,48184650,РДК,,РДК
way,213800994,РДК,,РДК
way,276277914,РДК,,РДК
way,428104408,РЦК,,РЦК
way,137534607,Районный центр культуры,,Районный центр культуры
way,169899417,Районный центр культуры,,Районный центр культуры
way,203360665,Районный центр культуры,,Районный центр культуры
node,4462052791,"Репетиционная точка ""Хата44""",,"Репетиционная точка ""Хата44"""
way,310635143,СОШ,,СОШ
node,1168828388,СТК,,СТК
way,475155887,Сельский дом Культуры,,Сельский дом Культуры
way,644760610,Сельский дом Культуры,,Сельский дом Культуры
way,644805040,Сельский дом Культуры,,Сельский дом Культуры
way,840465706,Сельский дом Культуры,,Сельский дом Культуры
way,1024642170,Сельский дом Культуры,,Сельский дом Культуры
node,6229935653,Сельский клуб,,Сельский клуб
node,7613118655,Сельский клуб,,Сельский клуб
way,379770685,Сельский клуб,,Сельский клуб
way,552586633,Сельский клуб,,Сельский клуб
way,764643013,Сельский клуб,,Сельский клуб
node,4496308192,Сорочский Дом Культуры,,Сорочский Дом Культуры
node,4650318389,Старолядненский СДК,,Старолядненский СДК
node,4784601022,Страйкбольный клуб Бастион,,Страйкбольный клуб Бастион
node,4554064692,Строительство православного храма,,Строительство православного храма
node,4796146122,Тайцзи-МИНСК,,Тайцзи-МИНСК
way,370563722,Улльский сельский ДК,,Улльский сельский ДК
way,29124895,Цветлит,,Цветлит
node,4563586889,Центр внешкольной работы,,Центр внешкольной работы
node,4464672195,ЭкоЖизнь,,ЭкоЖизнь
way,947008335,Эколого-культурный центр,,Эколого-культурный центр
node,3891345908,Энергосбыт,,Энергосбыт
way,178757401,Яновический дом культуры,,Яновический дом культуры
node,4601938093,дом быта,,дом быта
node,4338710490,дом культуры,,дом культуры
way,208404061,дом культуры,,дом культуры
way,311240261,дом культуры,,дом культуры
node,4603724690,центр творчества,,центр творчества
node,4601989089,центр творчества детей и молодежи,,центр творчества детей и молодежи
