osm_type,osm_id,name,name:be,name:ru
way,785609445,"""Речицамежрайгаз""",,
node,4160549589,United Company АЗК № 2,,
node,4127079083,А-100 самообслуживание,,
node,5776514081,А-100 № 16,,
node,2101317268,А-100 № 25,,
node,4972382000,А-100 № 3,,
way,166482561,А-100 № 34,,
way,340468157,А-100 № 35,,
node,5790369170,А-100 № 36,,
way,542478334,А-100 № 4,,
way,1067720827,А-100 №27,,
node,6807127659,ААЗС №69,,
way,223413357,"АГЗП, автомобильный газозаправочный пункт",,
node,306067254,"АГЗС ""Полоцкгаз""",,
node,4504313011,АГЗС (LPG),,
node,497154145,АГЗС Брестоблгаз,,
node,502280986,АГЗС Брестоблгаз,,
node,887071799,АГЗС Брестоблгаз,,
way,551699872,АГЗС Брестоблгаз,,
node,332308169,АГЗС Литэкс+,,
node,2120851571,АГЗС Минскоблгаз,,
node,6818171267,АГЗС №61,,
node,2324567655,АГЗС №8,,
node,305687062,"АГЗС √°1 УП ""Мингаз""",,
way,378913418,АГЗС-5,,
node,2409293633,АГНКС Мозырь,,
way,794944532,АГНКС Молодечно Газпром трансгаз Беларусь,,
node,1263209578,АГНКС Слоним ОАО Газпром трансгаз Беларусь,,
node,2324623014,"АГНСК ""Минск-2""",,
node,8936344482,"АЗС ""Лукойл""",,
node,3128313584,"АЗС ""Медтехника""",,
node,3985535203,"АЗС ""Мінгаз"" №7",,
way,458327630,"АЗС ""Мінгаз"" №7",,
way,367830870,АЗС Автобусного парка №2,,
way,25392765,АЗС Милком,,
way,378344752,АЗС № 12,,
node,306065662,АЗС № 14,,
node,9414783413,АЗС № 35 Белоруснефть,,
node,2859387963,АЗС № 77,,
node,5118979828,АЗС №1,,
way,214597444,АЗС №12 Славнефть,,
node,1890132465,АЗС №16,,
node,6816061290,АЗС №18,,
node,1506563299,АЗС №19,,
node,6166776585,АЗС №36,,
way,698316738,АЗС №38,,
node,305686307,АЗС №40,,
node,9414878081,АЗС №49 Белоруснефть,,
node,3005740407,АЗС №5 Белоруснефть,,
node,6802687900,АЗС №53,,
node,5838867885,АЗС №56,,
node,639577005,АЗС №7 Белоруснефть,,
node,1811855844,АЗС №74 Белоруснефть,,
node,2991992835,АЗС №81,,
node,1547109309,АЗС №86,,
way,176919904,АЗС №9 А-100,,
node,5292311671,БЗП Пинск,,
node,3189609239,БелТрансОил,,
way,751465036,Беларуснефть ААЗС № 70,,
way,460794178,Беларуснефть № 43,,
node,2623137371,Белнефтехим АЗС №31,,
way,286680908,Белоруснефть,,
