osm_type,osm_id,name,name:be,name:ru
node,4955649325,А-100 № 33,,А-100
node,996841220,АГНКС Минск-5,,АГНСК Минск-5
node,306066547,АЗС №23,,Белоруснефть №23
way,66580504,Белоруснефть № 17,,Белоруснефть
node,4535596530,Белоруснефть № 75,,Белоруснефть № 75
node,5044432222,Белоруснефть № 85,,АЗС БЕЛАРУСНЕФТЬ
node,3911286258,Белоруснефть №29,,Белоруснефть № 29
way,312832620,Белоруснефть №29,,Белоруснефть № 29
node,896710175,Белоруснефть №36,,Белоруснефть № 36
node,1820913839,Белоруснефть №75,,АЗС 75 Белоруснефть
node,2422216627,Белоруснефть №84,,АГЗС Белоруснефть №84
node,306068099,Газпром,,Газпромнефть
way,759212444,Газпромнефть,,Газпромнефть №29
node,4602794051,Газпромнефть № 58,,Газпромнефть
node,3682120741,Лукойл № 16,,Лукойл
node,3289925980,Лукойл № 19,,Лукойл
node,306069029,Лукойл № 22,,Лукойл
node,1238192058,Лукойл № 24,,Лукойл
way,25323073,Лукойл № 62,,Лукойл
way,25387073,Лукойл № 68,,Лукойл
way,502150934,Лукойл № 76,,Лукойл
way,274780844,Лукойл № 79,,Лукойл №79
way,340379889,Лукойл №60,,Лукойл № 60
node,5532129637,Лукойл №86,,Лукойл № 86
way,112052899,МНПЗ,,"""Модуль АЗС"""
way,629169678,Роснефть АЗС 1,,Роснефть
way,48215537,Роснефть АЗС 11,,Роснефть
way,1083140951,Роснефть АЗС 14,,Роснефть
way,222153260,Роснефть АЗС 16,,Роснефть
way,214975782,Роснефть АЗС 2,,Роснефть
way,214975780,Роснефть АЗС 3,,Роснефть
way,57728772,Роснефть АЗС 5,,Роснефть
way,275861436,Роснефть АЗС 8,,Роснефть
way,69712896,Роснефть № 21,,Роснефть
node,6914589180,Татнефть № 18,,Татнефть №18
