osm_type,osm_id,name,name:be,name:ru
node,4417997891,12 стульев,,12 стульев
node,5619607710,Астория,,Астория
node,4716658495,Аттол,,Аттол
node,4754055621,Бакст,,Бакст
node,3806620129,Белладжио,,Белладжио
node,305682841,Бергамо,,Бергамо
node,2766728046,Вишневый сад,,Вишневый сад
node,4035229383,Восточный Экспресс,,Восточный Экспресс
node,7729053204,Граф Пусловский,,Граф Пусловский
node,835374078,Дом,,Дом
way,231191436,Домашний круг,,Домашний круг
way,428985732,Жюль Верн,,Жюль Верн
node,4367712995,Империя,,Империя
node,4876353121,Кавчег,,Кавчег
node,1561807491,Каракатица,,Каракатица
node,1259318778,"Кафе ""Гриль Хауз""",,"Кафе ""Гриль Хауз"""
way,995007717,Кедровый бор,,Кедровый бор
node,4509106491,Комбинат школьного питания,,Комбинат школьного питания
node,1176760135,Лайнер,,Лайнер
way,236885141,Ласточка,,Ласточка
node,5506570971,Ли,,Ли
node,1560997007,Лунный Свет,,Лунный Свет
node,5814476753,Львина Хата,,Львина Хата
node,4810072721,Магеллан,,Магеллан
node,3931649484,Мариванна,,Мариванна
node,4391505090,Мафия,,Мафия
node,2667597194,Мега,,Мега
node,2621405289,Мираж,,Мираж
node,4975037821,Модерато,,Модерато
node,9015443132,Муравьёв,,Муравьёв
node,5662735221,На Замковой,,На Замковой
node,305680315,Пан Хмелю,,Пан Хмелю
way,98180516,Партизанский бор,,Партизанский бор
node,6907095365,Пешков,,Пешков
node,8945446408,Пицца Смайл,,Пицца Смайл
node,471764397,Портофино,,Портофино
node,5300227521,Прага,,Прага
node,4167946035,Прайм-тайм,,Прайм-тайм
node,2544997678,Прованс,,Прованс
node,4874197280,Прованс,,Прованс
node,5167313822,Прованс,,Прованс
way,172988250,Прованс,,Прованс
node,305680192,Пьер Смирнофф,,Пьер Смирнофф
node,3030145690,Рандеву,,Рандеву
node,4560634614,Рандеву,,Рандеву
node,8945446407,Ребро,,Ребро
node,4370642855,Ресторан «Динамо»,,Ресторан «Динамо»
node,4465295990,Ресторан Раница,,Ресторан Раница
node,305684800,Сафари,,Сафари
node,565676858,Столовая ГГУ,,Столовая ГГУ
node,4478482090,Суши Весла,,Суши Весла
node,4479080798,Суши Весла,,Суши Весла
node,4479083889,Суши Весла,,Суши Весла
node,6314846054,Таверна,,Таверна
way,91657538,Ташкент,,Ташкент
node,641292478,Терраса,,Терраса
node,4753952721,Трактир на Ковельской,,Трактир на Ковельской
node,1820607793,У Ганны,,У Ганны
node,5680239421,У Софрона,,У Софрона
node,1618064756,У Фонтана,,У Фонтана
node,5302564740,Форно,,Форно
node,305686240,Шоколад,,Шоколад
node,4213731589,Эдем,,Эдем
node,441906837,Эридан,,Эридан
node,4552116290,ресторан Дионис,,ресторан Дионис
