osm_type,osm_id,name,name:be,name:ru
node,4200199596,"""Элегия""",,"""Элегия"""
node,6820416174,Башмак,,Башмак
node,3281833126,Дядя Стёпа,,Дядя Стёпа
node,4461353832,Каблучок,,Каблучок
node,4035682321,Мастер плюс,,Мастер плюс
node,4604230178,Обувная мастерская,,Обувная мастерская
node,5001736121,Обувная мастерская,,Обувная мастерская
node,5226590925,Обувная мастерская,,Обувная мастерская
node,3858686588,Ремонт обуви «Люкс»,,Ремонт обуви «Люкс»
node,4745074021,Ремонт обуви и кожгалантереи,,Ремонт обуви и кожгалантереи
node,2712475181,Ремонт обуви и одежды,,Ремонт обуви и одежды
node,4561341290,Ремонт обуви и одежды,,Ремонт обуви и одежды
node,4870201975,Ремонт обуви и одежды,,Ремонт обуви и одежды
node,5163510422,Ремонт обуви и одежды,,Ремонт обуви и одежды
node,2358092678,Танкетка,,Танкетка
node,4334131620,Элегант,,Элегант
