osm_type,osm_id,name,name:be,name:ru
way,147256920,"""Культовары""","""Культавары""",
node,1684216538,1С Бухгалтерия,Бухгалтэрыя 1С,
node,5144892051,Автобусные билетные кассы,Аўтобусныя білетныя касы,
node,1114726273,Автосеть,Аўтасетка,
node,4825450354,Автосеть,Аўтасетка,
node,4827891921,Автосеть,Аўтасетка,
node,5446680742,Автосеть,Аўтасетка,
node,6909211578,Автосеть,Аўтасетка,
node,6909237190,Автосеть,Аўтасетка,
node,6909292681,Автосеть,Аўтасетка,
node,6909320151,Автосеть,Аўтасетка,
node,8879216940,Автосеть,Аўтасетка,
node,9028206649,Автосеть,Аўтасетка,
node,9144168201,Автосеть,Аўтасетка,
node,9526467629,Автосеть,Аўтасетка,
node,9526608769,Автосеть,Аўтасетка,
node,9526613870,Автосеть,Аўтасетка,
node,9526643673,Автосеть,Аўтасетка,
node,9526854639,Автосеть,Аўтасетка,
node,9526884606,Автосеть,Аўтасетка,
way,123795112,Автосеть,Аўтасетка,
way,375230721,Автосеть,Аўтасетка,
way,449050221,Автосеть,Аўтасетка,
node,5088313780,Адзенне,Вопратка,
node,5208067845,Аквамарин,Аквамарын,
node,1525224189,Активная зона,Актыўная зона,
node,4339921055,Активная зона,Актыўная зона,
way,71296661,Алекор Магазин №26 Лаки-Краски,Алекор Крама №26 Лакі-Фарбы,
node,4034240709,Багетная студия,Кошык бульбаша,
node,4035174980,Багетная студия,Кошык бульбаша,
node,1304240394,Багира,Багіра,
way,961636223,Башмачок,Чаравічак,
node,5526117226,Белоруснефть № 61,Беларуснафта № 61,
node,4286413895,Белсоюздрук,Белсаюздрук,
way,299122149,Билетная касса,Квітковая каса,
node,6823856024,Билетный киоск №69,Квітковы кіёск № 69,
node,5794965753,Билетный терминал Bycard,Квітковы тэрмінал Bycard,
node,457127877,Блесна,Блясна,
node,2534739800,Блесна,Блясна,
node,1676765898,"Букмекерская контора ""Плюс-минус""",Букмекерская кантора «Плюс-мінус»,
node,306063971,Бульбочка,Бульбачка,
node,2365942998,Велосити,Веласіці,
node,6251931087,Веселая затея,Вясёлая задума,
node,4770831621,Вино&Тут,Віно і тытунь,
node,2814939042,ВитарТур,Вітар Тур,
node,3948435577,Всё для шитья и рукоделия,Усё для шыцця і рукадзелля,
node,1405150634,Горячие туры,Гарачыя туры,
node,3203331495,Гузик,Гузік,
node,1355206536,Двери Юркас,Дзверы Юркас,
node,2361060211,Двинский бровар,Дзвінскі бровар,
node,7393405330,Для Уюта,Для ўтульнасці,
node,1355206543,Дубрава №2,Дуброва №2,
node,4405791318,ЕВРОломбард,ЭЎРАламбард,
node,5459527754,ЕВРОломбард,ЭЎРАламбард,
node,5459535850,ЕВРОломбард,ЭЎРАламбард,
node,5459543694,ЕВРОломбард,ЭЎРАламбард,
node,5459554728,ЕВРОломбард,ЭЎРАламбард,
node,5459566079,ЕВРОломбард,ЭЎРАламбард,
node,9351266297,ЕВРОломбард,ЭЎРАламбард,
node,6297559366,Жасмин,Язмін,
node,4994525521,Зелёная аптека №19,Зялёная крама №19,
node,6727616540,Зерно,Зерне,
node,1312612093,Знание,Веды,
node,7682490931,Золотая нива,Залатая ніва,
node,4355035789,Ирина-сервис,Ирына-сервіс,
way,30729728,Камни,Рытуальныя паслугі,
node,6130112593,Кассы цирка,Касы цырку,
node,1454675322,Классические вина,Класічныя віна,
node,4691951893,Книжная Шафа,Кніжная шафа,
node,1440220235,Книжный магазин,Кнігарня,
node,3596080921,Книжный магазин,Кнігарня,
way,372848680,Книжный магазин,Кнігарня,
node,1794999181,Книжный магазин и канцтовары,Кнігарня і канцтавары,
node,1126046478,Компания Астравит,Кампанія Астравіт,
node,1135064243,Конфеты,Цукеркі,
node,3919984250,Конфеты,Цукеркі,
node,1355206576,Концертная касса,Канцэртная каса,
node,5760260121,Концертная касса,Канцэртная каса,
node,3961963211,Культтовары,Культтавары,
way,238986093,Культтовары,Культтавары,
node,2312634820,Лаки-Краски,Лакі-Фарбы,
node,5199924022,Ларьки,Шапікі,
