osm_type,osm_id,name,name:be,name:ru
node,4367374090,"""Интерком""",,"""Интерком"""
node,4716999902,"""Одежда из Европы""",,"""Одежда из Европы"""
node,4612244289,"""Ритуальные услуги""",,"""Ритуальные услуги"""
way,579829066,100 и 1 мелочь,,100 и 1 мелочь
node,9370432589,101 Ванна,,101 Ванна
node,3147928017,21 век,,21 век
node,7645673972,21 век,,21 век
node,9055993748,21 век,,21 век
node,3738675559,4Д-Системы,,4Д-Системы
node,4580279097,7 ампер,,7 ампер
node,4982178121,Nissan в Гомеле Автонова Моторс,,Nissan в Гомеле Автонова Моторс
node,4945253721,TTN.by пункт самовывоза,,TTN.by пункт самовывоза
node,3258007734,WDL оптика,,WDL оптика
node,5032384321,WDL оптика,,WDL оптика
node,4541327792,«Удача»,,«Удача»
node,4200505915,"АИР-2007, изготовление рекламы",,"АИР-2007, изготовление рекламы"
node,5666039679,АРТ Территория,,АРТ Территория
node,3649021815,АРТ территория,,АРТ территория
node,7147071429,АРТ-территория,,АРТ-территория
node,4101548389,Абажур,,Абажур
node,4884761922,Абажур,,Абажур
node,3207884693,Абрикос,,Абрикос
node,3639322684,Авиакасса,,Авиакасса
node,4719264289,Авиценна,,Авиценна
node,2422428288,Автокраски,,Автокраски
node,5017676034,Автокраски,,Автокраски
node,7519466802,Автокраски,,Автокраски
node,3727841372,Автомобили из США,,Автомобили из США
node,5859501885,Автохаус АвтоПарк,,Автохаус АвтоПарк
node,4426325490,Агентство Доступных Направлений,,Агентство Доступных Направлений
node,306064911,Агрокомбинат,,Агрокомбинат
node,4368257504,Агромир,,Агромир
node,9229744542,Адам и Ева,,Адам и Ева
node,9229744543,Адам и Ева,,Адам и Ева
node,9172439021,АйЭмАй,,АйЭмАй
node,3207895532,Аква-Минск,,Аква-Минск
node,7211590154,АкрилКолор,,АкрилКолор
node,1181317299,Акула,,Акула
node,4469615389,АлексТопТур,,АлексТопТур
node,4124581493,Альбатрос,,Альбатрос
way,203437275,Альбатрос,,Альбатрос
node,2614505257,Альта-Тур,,Альта-Тур
node,4408731597,Альта-тур,,Альта-тур
node,306068184,Альтагамма,,Альтагамма
node,1203558736,Альтагамма,,Альтагамма
node,3655503481,Альтагамма,,Альтагамма
node,4217510303,Альтагамма,,Альтагамма
node,4357682390,Альтагамма,,Альтагамма
node,4732443938,Альтагамма,,Альтагамма
node,5364475821,Альтагамма,,Альтагамма
node,5364482721,Альтагамма,,Альтагамма
node,5364494921,Альтагамма,,Альтагамма
node,5364513822,Альтагамма,,Альтагамма
node,6499445576,Альтагамма,,Альтагамма
node,6570297496,Альтагамма,,Альтагамма
node,9729393869,Альтагамма,,Альтагамма
node,4362811591,Альтера,,Альтера
way,648828203,Альфа,,Альфа
node,5128186766,Альянс,,Альянс
node,5456677022,Альянс,,Альянс
node,4954530698,Аляска,,Аляска
node,3820840618,Алёнка,,Алёнка
node,4109720063,Алёнка,,Алёнка
node,4476271590,Амалфея,,Амалфея
node,1120327634,Аматиста,,Аматиста
node,4447158889,Аматиста,,Аматиста
node,4581934090,Аматиста,,Аматиста
node,5572843321,Аматиста,,Аматиста
node,6061079354,Аматиста,,Аматиста
node,6426704685,Аматиста,,Аматиста
node,6846859604,Аматиста,,Аматиста
node,8088074670,Аматиста,,Аматиста
node,2509639215,Андеграунд,,Андеграунд
node,4796696422,Андеграунд,,Андеграунд
way,608653771,Анжелика,,Анжелика
node,2193736785,Апельсин,,Апельсин
node,4506771290,Апельсин,,Апельсин
node,2579388550,АприориТур,,АприориТур
node,306063372,Аренда офисов,,Аренда офисов
node,3593953967,Арсенал,,Арсенал
node,4508276294,Арт территория,,Арт территория
node,5308266839,Арт территория,,Арт территория
node,5318490164,Арт-Территория,,Арт-Территория
node,1539202894,Арт-территория,,Арт-территория
node,7635217736,Арт-территория,,Арт-территория
node,7635220329,Арт-территория,,Арт-территория
node,7635224257,Арт-территория,,Арт-территория
node,7635260153,Арт-территория,,Арт-территория
node,4982589827,Арткамин,,Арткамин
node,2942006354,Артпласт,,Артпласт
node,1576652906,Ас-принт,,Ас-принт
node,3100851548,Ателье «Люта»,,Ателье «Люта»
node,5117541193,Аэлита,,Аэлита
node,728967119,Аякс-оптик,,Аякс-оптик
node,1477785738,Аякс-оптик,,Аякс-оптик
node,2857769776,БМВ ремонт,,БМВ ремонт
node,2582385381,Бабушкина Крынка,,Бабушкина Крынка
node,4383890001,Багетная мастерская Контур,,Багетная мастерская Контур
node,4339367189,Бакалея,,Бакалея
node,4512354992,Бакалея,,Бакалея
node,2906731064,Барракуда,,Барракуда
node,4367920193,Барракуда,,Барракуда
node,3639322673,БелБланк,,БелБланк
node,5163468923,БелБланк,,БелБланк
node,6516429791,БелБланк,,БелБланк
node,7153972286,БелБланк,,БелБланк
node,2613533094,БелГласс,,БелГласс
node,2579388551,БелМедиаПринт,,БелМедиаПринт
node,1487180872,БелОптика,,БелОптика
node,5469648367,БелОптика,,БелОптика
node,8903654214,БелЧип,,БелЧип
node,6777109779,Белагро,,Белагро
node,2085948560,Беллакт,,Беллакт
node,9862409882,Белмедтехника,,Белмедтехника
node,8652144082,Белоптика,,Белоптика
node,9446676086,Белоптика,,Белоптика
node,9446836973,Белоптика,,Белоптика
node,7856011479,Белоптика Кидс,,Белоптика Кидс
node,4349706199,Белорусские лотереи,,Белорусские лотереи
node,6358846937,Белорусское нумизматическое общество,,Белорусское нумизматическое общество
node,2405604483,Белсофт,,Белсофт
node,3716272599,Белшина,,Белшина
