osm_type,osm_id,name,name:be,name:ru
node,6132599105,"""Айвори""",,
node,5852065010,"""Валентин"" маникюр и педикюр",,
node,4581345602,"""На короля""",,
node,6132599103,"""Шайн""",,
node,2502094772,5 звёзд,,
node,3456932553,7 красавиц,,
node,5670489987,E.MI Школа ногтевого дизайна Екатерины Мирошниченко,,
node,4715346313,H&B красота и здоровье,,
node,7645915079,Spa-салон Клеопатра,,
node,3270560661,АНИСИЯ,,
node,3270563101,АРГАВУС,,
node,7481854310,Академи,,
node,6747296458,Академия Красоты,,
node,6391515939,"Академия Мастеров красоты ""Dalidovich""",,
node,6759025816,Алеся Григенча,,
node,6149744185,Антония,,
node,3949696009,Антураж,,
node,3920131888,Арабески,,
relation,5817779,Арабески,,
node,4548254246,Ароша,,
node,7126926395,АртЛок,,
node,8951430417,Афина,,
node,4216988799,Аффабель,,
node,4592630734,Аффабель,,
node,5696635691,Аффабель,,
node,4498645089,Аффинити,,
node,6928148685,БРОВОЧКИ БРЭДФОРД,,
node,6506977417,БЬЮТИ ХОЛЛ,,
node,3839836221,Барбарис,,
node,8019013117,Барберхаб,,
node,8019013196,Барберхаб,,
node,6588797752,Белая орхидея,,
node,6414855085,Белла Ника,,
node,3848614263,Белый лотос,,
node,4945294338,Биgoodи,,
node,5154091934,Богема,,
node,7916552116,Брежнев,,
node,6736483328,Бриллианс,,
node,6139474111,Бронза,,
node,2629180950,Бронзовое солнце,,
node,5454600925,Броу бар 8 Brow-Street,,
node,7634394399,Бьюти рум 461,,
node,7455021085,Бьюти холл,,
node,5425308121,Бьюти-экспресс N1,,
way,388813286,В гостях у солнца,,
node,4282125650,Вeauty Bar,,
node,5326359223,ВИАЛ.СП,,
node,3270506503,ВУ-А-ЛЯ,,
node,3946194451,Валери,,
node,4495119206,Валери,,
node,4368954302,Ваш косметолог,,
node,3270541802,Вианика,,
node,3148007280,Визави,,
node,5370650536,Визаж,,
node,4401469731,ВитаСлава,,
node,9945572037,Виторио,,
node,5119088821,Гаражи Мпз,,
node,5777537978,Гейша,,
node,4605782189,Глория,,
node,4263047855,Глянец,,
node,6761438552,Гримерка,,
node,3270484294,ДЮНА,,
node,3270523191,Да-студия,,
node,3212178947,Даяна,,
node,6727616539,Девчата,,
node,2627099283,Денталекс солярий,,
node,3949274358,Дикая Орхидея,,
node,4511121057,До и После,,
node,4745026039,Дольче Вита,,
node,4646079892,Дом красоты «МУССОН»,,
node,7195489657,Дриада Студио,,
node,577085630,Жак Дессанж,,
node,5658580585,Жанет,,
node,5347756148,Золотая штучка,,
node,3803463234,Золотой локон,,
node,8543265317,Идеаль,,
node,4309159089,Идеальное тело,,
node,5351145426,Изуми,,
node,6102477488,Имидж Центр,,
node,7116474585,"Имидж- студия ""МаФия""",,
node,5734349965,Империя Красоты Lizetta,,
node,9894637310,Индиго,,
node,1107609442,Инсити,,
node,6742312569,Кабинет коррекции фигуры,,
node,7200385086,Кабинет коррекции фигуры,,
node,9430618596,Кабинет подолога,,
node,7810048390,Карэ,,
node,2520715284,Клеопатра,,
node,3270527847,Клеопатра,,
node,5064237672,Клеопатра,,
node,7160391974,Клубника,,
node,7389072385,Колорито,,
node,8097023917,Конфета,,
node,9293078006,Королева Марго,,
node,6681130988,Королевский стиль,,
node,6681595302,Косметические услуги,,
node,4282052495,Косметический салон,,
node,5273019623,Косметология,,
node,5586883621,Краса,,
node,7028880405,Красивые лица,,
node,5280463921,Креатив Фэшн,,
node,3270566382,ЛИЛИТА,,
node,6491333987,Лайна-Люкс,,
node,5442554022,Лак,,
node,6258570659,Лаквин,,
node,3270520187,Леди Гадива,,
node,6757443400,Леди Рай,,
node,3270535880,Ленуська,,
node,6759057184,Леся Новая,,
node,8442384821,Лиатрис,,
node,7216850711,Линия красоты,,
node,6637071154,Лица,,
node,2593650293,Ловец снов,,
node,6297559365,Лорелея,,
node,3203320310,Лэскаль,,
node,8038952645,Любимое место,,
node,6292803786,МУР бьюти,,
node,5806652429,Маверони,,
node,7179776365,Магия красоты,,
node,4281264651,Магия солнца,,
node,5760565424,Малина студия маникюра,,
node,3710997884,Маникюр,,
node,4729281992,Маникюр,,
node,9076994217,Маникюр,,
node,5670489986,Маникюр студия Эмоджи,,
node,7593674088,Маникюрный кабинет,,
node,6765734265,Манхэттен,,
node,4255050369,Маньяна,,
node,3270488965,Мастер-стиль,,
node,5550142121,Мастера ножниц,,
node,2028963970,Махаон,,
node,9436328724,Махаон,,
node,7279361285,Мегрель,,
node,7993180985,Мельник Нэйл студио,,
node,2542023195,Мерилин Монро,,
node,3281830736,Милая,,
node,4775344326,Мильфей,,
node,7126113785,Мильфей,,
node,5348063994,Мир красоты,,
node,3233061769,Миэль,,
node,8287737958,Миэль,,
node,7084612664,Моа,,
node,5414987621,Модельное агенство Bonito,,
node,6182280741,Модная грива,,
node,5273019722,Модный Дворик,,
node,3037562537,Мокко,,
node,7332012285,Мокко,,
node,5564614523,Мон платин,,
node,5492092938,МонШери,,
node,6698957942,Моника,,
node,5749539550,Монэ,,
node,7717170840,Мужской салон Esquire,,
node,1481224271,Мулен Руж,,
node,9094716099,Мята,,
node,5645855884,Мята Шарм,,
node,7519653152,МятаСпа,,
node,7459502385,На Купалы,,
node,5776624453,На Успенской,,
node,8038952644,На Чехова,,
node,5326313448,Наоми,,
node,3036519637,Наращивание волос,,
node,3946196960,НатанДи,,
node,4835526655,Наяда,,
node,4142006397,Нефертити,,
node,3207793703,Ноготки,,
node,3661938881,Ноготки,,
node,6469604985,Нэйл,,
node,5350659630,О2,,
node,8850540217,ОдриСтайл,,
node,7524561215,"Ой, всё!",,
node,7099853287,Оли,,
node,2550425160,Он и Ты,,
node,9894665198,Онли,,
node,5193319933,ПУДРА,,
node,8985668828,"Парикмахерская, маникюр",,
node,5715058487,ПедикюрPRO,,
node,4907854221,Первая леди,,
node,3270527285,Первая леди и лучший мужчина,,
node,7271735585,Первая студия чистки лица,,
node,5592639531,ПерфекТ beauty,,
node,8567787830,Перфекшион Стайл,,
node,5228720188,Пинк студио,,
node,5537966024,Планета СПА,,
node,5618280721,Подиум,,
node,5163468921,Престиж плюс,,
node,7563485024,Прическино,,
node,7459506652,Пространство,,
node,4211002489,Профи Имидж,,
node,6175105911,Пур-пур,,
node,7720604664,Пурр Пурр,,
node,4172714191,Регина,,
node,8972951633,Релакс,,
node,4280259056,Ренессанс,,
node,3268826884,СПА-салон Spa room,,
node,4945320511,СПО 277 Oriflame,,
node,5144875421,Саламис,,
node,5795812854,Салон Кира,,
node,4406628205,Салон красоты,,
node,5347941530,Салон красоты,,
node,6229474531,Салон красоты,,
node,3247298514,"Салон красоты ""Babor""",,
node,9208197617,"Салон красоты ""Betters""",,
node,5989281332,"Салон красоты ""Butterfly""",,
node,8013930187,"Салон красоты ""Королева МАРГО""",,
node,7018098186,Салон красоты «Black Berry»,,
node,8024010941,Салон №5,,
node,9459715293,Салоны красоты Bonnie&Clyde,,
node,5402049040,Свадебный салон Mon Sher,,
node,2622767261,Свадебный салон «Gala»,,
node,3268817361,Свадебный салон Элита,,
node,4420998591,Селфи,,
node,6132599106,Семейная парикмахерская ИП Савостеня Н. В.,,
node,7197202778,Серебро,,
node,1868508317,Смайлград,,
node,5764210158,Соляная пещера,,
node,4583919450,Соляная пещера № 1,,
node,3206002993,"Солярий ""ДримБэй",,
node,3206003014,"Солярий ""Чудо света""",,
node,2591395911,Солярий Мегасан,,
node,1737523849,"Солярий, маникюр, педикюр",,
node,5297344128,Спа салон «Сафира-Люкс»,,
node,4517392815,Спа центр Дрозды-клуб,,
node,4519358781,Спа-центр Виктория,,
node,7634394400,Сплетница,,
node,6433227746,Студия Дарьи Иодель,,
node,8749178051,Студия Елены Белковской,,
node,6759070895,Студия Ирины Кучинской,,
node,8989690505,Студия Красоты Анны Далевской,,
node,1465838161,Студия депиляции,,
node,2599793551,"Студия загара ""Подсолнухи""",,
node,4309159109,Студия загара «Пляж»,,
node,5906206990,Студия коррекции бровей Browbro.by,,
node,6417589354,Студия коррекции фигуры Холи,,
node,4843995756,Студия красоты,,
node,5568599032,Студия красоты,,
node,8702002729,"Студия красоты ""Delight""",,
node,3208646752,"Студия красоты ""Дива""",,
node,7618340603,Студия красоты Hello Beauty,,
node,6830035808,Студия красоты Infiniti,,
node,8540510261,Студия красоты ST,,
node,6979861646,Студия красоты «Жемчужная»,,
node,6466827386,Студия красоты Евы Шпиц,,
node,4567208980,Студия красоты Каприз,,
node,4581345604,Студия красоты Марины Марецкой,,
node,9320869666,Студия маникюра,,
node,9110583292,Студия маникюра BOMON,,
node,6484447619,Студия маникюра Nail Giulia,,
node,8807185117,Студия функциональной эстетики Марии Гагариной,,
node,7574704907,Студия эстетики лица и тела,,
node,5506546632,Сулуэт Арт-центр эстетической коррекции фигуры,,
node,6638944185,ТИНТ Броу Бар,,
node,3622358729,Татуаж.бел,,
node,4169243899,Тезоро,,
node,4670268090,Территория Спа,,
node,5466738521,Технология красоты,,
node,9162673690,Тиана,,
node,6102992085,Тинт броу бар,,
way,247007712,Тиффани,,
node,4631740190,Топ Колорс,,
node,5608865821,Точка красоты,,
node,9503397758,Точка красоты,,
node,6817163886,ТриумфЛаб,,
node,6681501952,Турбосолярий,,
node,1467451726,Удача стиля,,
node,4262438801,Фавола,,
node,3431989674,Фиджи,,
node,5327656821,Фишки,,
node,8969228118,Формула волос,,
node,3270565558,ХРАМ СОЛНЦА,,
node,3270538688,ЦЕНТР КРАСОТЫ,,
node,7179776364,Цаца,,
node,8556448510,Центр Эстетики Fler,,
