osm_type,osm_id,name,name:be,name:ru
node,5327440521,"""Автокинг"" Ремонт рулевых реек и тормозных суппортов",,
node,4159418192,"""Автокинг"" ремонт рулевых реек и суппортов",,
node,5275948121,"""Белрем"" СТО",,
way,364210182,"""ДОБРЫЙ КУЗОВЩИК"", мастерская кузовного ремонта и покраски",,
node,5244958621,"""Профикей""",,
way,379699204,"""Ремонт АКПП"" + ""ЭкоГазСервис""",,
node,4577286189,"""ТРЭК-Транс""",,
node,4185045491,100 авто,,
way,428487568,3D Развал-схождение,,
node,8392394017,3D Развал-схождения,,
node,7408940941,3D развал,,
node,1449399276,"3D развал-схождение, автоэлектрик",,
node,7705138785,4 бокса,,
node,4196849689,5 атмосфер,,
way,835074311,5 колесо,,
node,6818427802,5-ое колесо,,
node,9678947717,500 Ампеер,,
node,5207105283,7 ключей,,
node,7940278818,710 АВТОЦЕНТР,,
way,274778835,BOSH-сервис,,
node,1788474768,Bosch-сервис,,
node,5614700322,DM-автоцентр,,
node,305676060,Mercedes-Benz Энергия ГмбХ,,
node,5964167872,Mirsta-сервис,,
node,6067168440,Perfect Car - АвтоСтайлинг Центр,,
way,1029686293,Profi-Сервис,,
way,306670477,ProСТО,,
way,176540644,TEXX Сервис,,
node,4401045545,TIR сервис,,
way,62092771,autoholod.by Заправка и ремонт кондиционеров,,
node,8157943120,«МаксАвтоКат»,,
way,706827002,АВТО DOM,,
node,612450695,АВТОЗАПЧАСТИ,,
node,7058021385,АВТОМАСТЕРСКАЯ,,
node,1521503963,АВТОМОЙКА ЧСУП ВестлайнСервис,,
node,4386813391,АВТОСПЕКТР,,
way,86759175,АВТОтраст,,
node,4403791091,АЕСервис,,
node,6263548487,АРС ДИЗЕЛЬ,,
node,4108484404,"Авто Коплекс ""Титан"" BoschService",,
node,4330923395,Авто Мото Шиномонтаж Белремконтракт,,
way,548975026,Авто Экспресс Сервис,,
node,4212119791,Авто кондиционеры,,
way,518834172,Авто на Газ,,
node,371505684,Авто-Мастер,,
node,9229829938,Авто-дело,,
node,8078512482,Авто1,,
node,5216898423,Авто1 Сервис,,
node,8220529019,АвтоDрайв,,
way,1080946262,АвтоNext,,
node,5569903337,АвтоВита,,
node,6592211653,АвтоГера,,
node,4936695721,АвтоДоктор,,
node,5250169670,АвтоДоктор,,
node,305677991,АвтоКлиматСервис,,
node,5131257028,АвтоЛюкс,,
way,129393817,АвтоЛюкс-1,,
way,156291057,АвтоМагия,,
node,5628168346,АвтоНьюСаунд,,
node,6807153290,АвтоПоинт,,
way,437155683,АвтоРио,,
way,531118942,АвтоРитм,,
node,4936695722,АвтоСервис1,,
node,4975110737,АвтоСоС,,
node,9239147316,АвтоСуперКомплекс,,
node,9300484317,АвтоЦех,,
node,9244512411,Автоброк,,
node,5438164821,Автовега,,
way,133738954,Автовыхлоп,,
node,5817524741,Автогидросистемы,,
way,904458872,Автодворик,,
node,7713807000,Автодекор.бел,,
node,2065077773,Автодиагностика компьютерная,,
node,4154253493,Автодок,,
way,329243625,Автозабота,,
node,6463284785,Автоискусство,,
node,5478464827,Автоклуб Уручье,,
node,7807171501,Автокосметика,,
node,5900117238,Автолаборатория,,
node,9413527153,Автолидер,,
node,5058362288,Автолорд,,
node,3884456504,Автолюкс,,
way,289263158,Автолюкс,,
node,4588798090,Автомаг,,
node,5940216560,"Автомаркет ""Южный""",,
node,6338579885,Автомаркет Центральный,,
node,6003365385,Автомастерская «Ёлкин-Гараж»,,
way,1076664139,Автомастерские,,
way,254648651,Автомегаполис,,
node,4216172992,Автомобильная электрика,,
node,1797893987,Автонова,,
node,4975110759,Автоньютон,,
way,431530261,Автоплюс,,
way,29126866,Автопокраска,,
node,9238265887,АвтопромСервис,,
way,158012255,Авторазборка Монастырек,,
node,9866416618,Автореан,,
node,8557388853,Автореансервис Ремонт суппортов,,
node,9834448944,Автосварка,,
way,242014287,Автосервим,,
node,6769149686,"Автосервис ""Гараж""",,
node,1055445778,"Автосервис ""Наворот""",,
node,4764611619,"Автосервис ""Ржавый гараж""",,
node,5827018887,Автосервис BOX-3,,
node,4778703768,Автосервис xDrive,,
node,5596538659,Автосервис «PitStop»,,
node,7467276816,Автосервис «НАТА»,,
node,5458756923,Автосервис «Ремонтмашин»,,
way,310204474,Автосервис Автонова,,
node,1552591056,Автосервис Андрей Дрон,,
node,4778703769,Автосервис Белсахель,,
node,5116267722,Автосервис Гараж на час,,
node,4244302805,Автосервис Магнит Беспокрасочное удаление вмятин,,
way,86765803,Автосервис РемонтАС,,
node,6217351549,Автосервис Светлокраус,,
way,388244578,Автосервис Сосновый,,
node,1862698351,Автосервис ЭнерджиМоторс-Груп,,
way,589833682,Автосервис в Дзержинске,,
node,1480357589,Автосервис мистер-Краб,,
way,796299844,Автосервис на Полевой,,
node,5317808426,Автосервис рено,,
node,1480356626,Автосервис у ЖЕРАФА,,
way,102277248,Автосервис у Маевского,,
node,2153309822,Автостекло,,
node,5772780954,Автотерапия,,
node,5867713603,Автотех,,
node,3512189126,Автотехцентр Корвира,,
way,991706305,Автоткани,,
node,4951388821,Автотрансмиссия ПЛЮС,,
way,39136297,Автофан,,
node,5359643125,Автоцентр,,
way,368320624,"Автоцентр ""Фрегат"" F1",,
node,4776946796,Автоцентр Алькор,,
node,5026838393,Автоцентр Олимп Авто ( сервисный центр KIA ),,
node,5073438023,Автоцентр Турбо,,
node,4185646822,Автоцентр Южный,,
node,5026476087,Автошина,,
node,6517072009,Автоэлектрика,,
way,391703273,Автоэмали,,
node,5831554227,АгроДом,,
node,5765847658,Айболит,,
node,8153747317,Аларих,,
node,365580572,"Алекс-авто, СТО",,
node,305683024,АлексАвтоТранс,,
node,1271808360,АлексБор,,
node,6469488588,Альфа-Кузов,,
node,1561489131,Амико,,
node,1068468845,АнДим,,
node,8794176343,Ананас-сервис,,
node,941294668,Андриван,,
node,5523432280,Анслав-сервис,,
node,5991518085,АнтикорЦентр Dinitrol,,
node,1282420075,АртАлексСервис ЧСУП,,
node,4268076294,Асс плюс автосервис,,
node,1204092815,Атлант-М Запад,,
node,6603886236,Атлант-М на Аэродромной,,
node,5505064521,Атриамоторс,,
node,7124601148,БКТ Сервис,,
node,3384206448,Бегимот,,
node,785281767,БелАвтоРем MCB,,
node,5013982312,БелТехОсмотр,,
way,81819029,БелФранСервис,,
way,102657699,Белавтолюкс,,
way,242260600,Белвисавтосервис,,
node,5865404404,Белгостехосмотр,,
way,86761009,Березина-лада,,
node,5646404231,Берёзаавтосервис,,
node,3884456501,"Бокс 1 ""Замена масла""",,
node,3884456502,Бокс 2,,
node,1422924698,"Бокс 6 ""СТО UltraDiag"" Компьютерная диагностика",,
node,1422924708,Бокс 7,,
node,1422924735,Бокс 8,,
node,4004075852,Бора-Авто,,
node,3070509382,Борлен Авто,,
way,27899773,Бош Сервис,,
node,4485176289,Бреставтодизель,,
node,7606334435,Будь на ходу,,
node,1480355610,Бус,,
node,612454293,ВАЗ ГАЗ УАЗ,,
node,4272613692,ВВ Авто,,
node,6491334077,ВЕГААВТОСТАР,,
way,200250226,ВИСиК,,
node,4427912194,ВаДи-Авто,,
node,5304794141,Валентин,,
node,4237357894,Васкогласс,,
node,7761324756,Век-Авто,,
node,7755783779,Век-авто,,
node,2354331510,Вестсервис,,
node,2816398784,ВиАвто-сервис,,
node,2437869713,Виадуг,,
node,1307707336,ВикторияГАЗ,,
node,305674297,ВилТехСервис,,
node,7775291056,ВинтикПлюс,,
way,459397906,ВипАвтоЦентр,,
node,9688360452,ВитСтройГрупп,,
node,6847520438,Восток Авто,,
node,5034359835,Восток-Авто,,
node,6739893807,Все будет хорошо,,
node,5856722789,Все виды ремонтных работ,,
node,6194605966,Всё для сварки,,
way,834679717,Вымпел-Авто,,
node,305683287,ВэлариСервис,,
node,5635613169,ГАЗ-Альтернатива,,
node,612454706,ГОСТЕХОСМОТР,,
way,29126265,ГУР-Сервис,,
node,6741791702,Газ+,,
node,7603972322,Газкар,,
node,9240682648,ГансМоторс,,
node,6338123320,Гараж 249,,
node,4245981863,Гараж на час,,
node,4731759324,Гасс,,
node,5201493429,ГолдСпецАвто,,
node,6092372639,ГолденКузов,,
way,222752751,ГосТехОсмотр АП-1,,
node,4420191794,Гостехосмотр,,
node,5582953621,Гостехосмотр,,
node,6605952685,Гостехосмотр,,
node,4786157824,"Гостехосмотр ""Борисовский АРЗ""",,
node,3853859720,ГранатАвто М,,
node,7951216408,Грузовое СТО,,
node,7909183096,ДВС Мастер,,
node,4403802889,ДИТС сервис,,
node,5758586436,ДИТС сервис,,
node,5409855162,ДМС-Мастер,,
node,5355405022,Дас Сервис,,
way,130682557,Дельтавто,,
node,7780904414,Детейлинг студия Римбат,,
way,29129437,Диагностическая Станция № 196,,
node,4235817580,Диагнотсическая станция ГТО №4,,
way,29127262,Диваль,,
node,5276048823,Дизель сервис,,
way,257591623,Дизель сервис,,
node,5600797633,Дизель-Никс,,
node,4255050370,ДизельОК,,
way,516329899,ДизельСервис,,
way,264888988,ДизельЦентр-67,,
node,4255867359,ДизельЮтимАвто,,
way,86481389,Доктор Кузов,,
node,5240255021,Дол-сервис,,
node,9240652404,Доминик Авто,,
node,6034806521,Драфт-сервис,,
node,9240668321,Евро Шина,,
node,4774432997,ЕвроГараж СТО,,
node,4575851795,ЕвроСтарСервис,,
node,1478892513,Евромеханика,,
node,7713757152,Евротехмаркет,,
node,4353552805,Ерэм сервис (TIR),,
node,5645743656,Желтая линия,,
node,1125185527,Замена автомасла,,
way,367046998,Замена алею,,
node,3318412069,Замена масла,,
node,4319192390,Замена масла,,
node,4438727676,Замена масла,,
way,235663576,Замена масла,,
node,7673731852,ЗападГАЗавтосервис,,
node,9950222017,Заправка авто кондиционеров,,
node,7606616785,Заправка кондиционеров,,
way,339704395,Заправка кондиционеров,,
node,4239071295,Запрвка кондиционеров,,
node,2102126292,Запчасти,,
node,1439571676,Запчасть-центр,,
node,5756927954,Зауберавто,,
node,2974184785,ИМОС-СЕРВИС,,
way,485116767,ИП Кацуро Александр Георгиевич,,
node,6838326229,ИП Матюшкин,,
node,6817599248,ИП Павлюченко В.П.,,
node,6817599246,ИП Санько В М,,
node,2623365227,ИгрисАвто,,
node,5670284168,Иксет,,
node,9238662823,Империя ш н,,
node,5682231449,Инва-Авто-Сервис,,
node,5210468277,КПП центр,,
node,4212154792,Камион сервис,,
node,7197442710,КарданРемонт,,
node,3279322859,Квадро-Позитив,,
node,9240666273,Кивтехсервис,,
node,8830295518,КлиматПрофи,,
node,9861178902,КлиматПрофиСол,,
node,275906127,Красные фонари,,
node,9241180951,Кредо,,
node,1406118577,Кузовной ремонт авто,,
node,5041073641,Кумпель,,
node,6786169033,ЛМ13,,
node,5344287978,ЛР Премиум,,
node,5980735985,Лаборатория скорости,,
node,5236001724,Ланжерон+,,
node,6427685186,ЛатарАвто,,
node,4025986440,ЛегРемАвто,,
node,5783360158,Легавтотранс,,
node,2363503204,Магазин «Автозапчасти»,,
node,4314960489,Мазда-центр,,
node,1105609207,МаксАвто,,
node,8164031117,МаксАвтоКат,,
node,3881820291,Максилэнд,,
way,724099675,Малярно-кузовной цех №1,,
node,4711788823,Маслёна,,
node,4711788824,Маслёна,,
node,3671192884,Мастер Injector,,
node,7931072886,Мастер ГУР,,
node,5978323750,Мастеркар,,
node,5325395925,Мастерская с/х техники,,
way,239813720,Мега-Спец-Сервис,,
node,6760979186,Меркури,,
node,7679717885,Место выдачи новых автомобилей Skoda,,
node,1688626572,"Мехдвор ОАО ""Ельня-Агро""",,
node,1722807288,"Мехдвор ОАО ""Юдицино""",,
node,1784555985,Мидас,,
node,6445569709,МиниСТО,,
node,4097817576,Мирим-Сервис,,
node,9240696117,Миура 1,,
way,61749629,Миура 2,,
way,25318222,Миура 3,,
way,25323528,Миура 4,,
node,7653101011,МонтажОптима,,
node,6619429236,Моторс Некст,,
node,5036708767,Мульти Авто,,
node,7124601152,НВК-Сеть,,
node,7590658365,На Озерском,,
node,941291597,Нарта,,
node,6187822880,Наскар,,
node,1853190363,"ОАО ""Автотранспортное предприятие №11""",,
way,277003705,"ОДО ""СМН Авто""",,
way,459119345,"ООО ""Автокедр""",,
node,5466817223,"ООО ""Иридана""",,
way,447729563,"ООО ""МегаБелСервис""",,
way,449069329,"ООО ""Мегасервис-авто""",,
node,5020084291,"ООО ""Наполеонавто""",,
way,25394816,"ООО ""ТранспортерСервис Плюс""",,
way,25317832,"ООО ""Фаворит Автосервис""",,
way,458917385,"ООО ""Функциялайф""",,
node,5034690508,"ООО ""ШинВестКомпани""",,
way,38847016,ООО «АвтоПассажСервис»,,
node,6031723420,ООО «Комета Авто»,,
node,4471444260,ООО Шведские автомобили,,
node,5032024121,"ООО""ПинскАвтоШанс""",,
node,4737034924,"ООО""Фердинанд Малер САС""",,
node,5036708530,"ООО""ЯраПлюс""",,
node,3640358580,Оклейка авто,,
way,262665560,Олег,,
node,4501142016,Опал,,
node,305674899,Оптшинторг,,
node,7431014861,Орбита-сервис,,
node,4848910917,Оригинал-авто,,
way,99570133,ПТО,,
node,9407143211,ПТО Автомобилей,,
way,29126628,ПТОР,,
node,8906598682,ПарадАвто - сервис УАЗ,,
node,5385693528,Передвижной шиномонтаж,,
node,5206912122,Перешивка салона,,
node,6187822879,Пескоструйная обработка,,
way,444553501,Пит-стоп замена масла,,
node,8549690948,Планета железяка,,
node,7297721218,Под мостом,,
node,4403791092,Поехали,,
node,7836795516,Покраска литых дисков Gorilla Works,,
way,211850102,Покрасочный цех,,
node,4786544632,ПрактикСервис,,
node,5694774827,Предприятие Автосервиса,,
way,926285725,ПроСТОсервис,,
way,86762278,Промтехкомплекс,,
node,7216361786,ПросторАвто,,
node,6415624845,ПротекторМинск,,
node,4657125697,Пункт прохождения технического осмотра,,
node,4659661730,Пятое колесо,,
node,7035150901,Радиал,,
node,9241185998,Радиал,,
node,6553612825,Радюк,,
node,4323063193,"Развал-схождение , ремонт подвески",,
node,6388917775,Развал-схождение 3D,,
node,7788290542,РеСпект-Авто,,
node,6563372550,Реанимация Авто,,
node,9239148043,РемБытЛюкс,,
node,5172938622,Рема тип топ,,
node,1502808272,Ремонт BMW,,
node,2614739020,Ремонт Авто,,
way,895214110,Ремонт ГБЦ,,
node,4316691896,Ремонт Стеклоподъемников,,
node,5655775760,Ремонт авто carxp.by,,
way,991533445,Ремонт авто-кондиционеров,,
node,7232943794,Ремонт автостекол,,
node,4923511521,Ремонт блоков АБС,,
node,9243417994,Ремонт вмятин без покраски,,
node,4154282202,Ремонт генераторов и стартеров,,
node,5669738257,Ремонт глушителей,,
node,1898232892,Ремонт дизельной топливной аппаратуры,,
node,1331422384,Ремонт и установка автостекол,,
node,6838330197,Ремонт инструмента,,
node,2899309618,Ремонт кондиционеров,,
node,8334256714,Ремонт лодочных моторов,,
node,305675269,Ремонт люков,,
node,5407304130,Ремонт стартеров,,
node,7408940944,"Ремонт стартеров, генераторов",,
node,3696841202,Ремонт турбин ТурбоМикрон,,
way,210709990,РондоСервис,,
node,340009678,"СИгнализации, автоакустика",,
node,5213045624,СЛАВИР-авто,,
node,6566160495,СООО «Автосеть»,,
way,242394919,"СТО ""ADAC""",,
node,1191110548,"СТО ""IQ service""",,
node,3874569295,"СТО ""NRG""",,
node,1575436098,"СТО ""VOLVO TRUCK""",,
node,1446508863,"СТО ""АВТОномия""",,
node,3673949189,"СТО ""АВТОномия""",,
way,100510452,"СТО ""АВТОномия""",,
node,5390520611,"СТО ""Авто ТУТ""",,
node,9229829937,"СТО ""Авто-дело""",,
way,501351817,"СТО ""АвтоМастер""",,
node,5682231450,"СТО ""Автоконструктив""",,
way,105475172,"СТО ""Автомастер""",,
way,666181072,"СТО ""Автомастер""",,
node,9233680994,"СТО ""АвторитетСервис""",,
way,315581759,"СТО ""Автоцентр""",,
node,4117035394,"СТО ""Автоэлемент""",,
node,4928352458,"СТО ""Бабина""",,
node,3383574525,"СТО ""База Север""",,
node,4716006125,"СТО ""Былинский""",,
node,1166360282,"СТО ""ВАЗ""",,
way,414799686,"СТО ""Виса Моторс""",,
way,113812119,"СТО ""Выбор сервис""",,
node,6403554685,"СТО ""ДизельПрактик""",,
way,29126150,"СТО ""Интер""",,
way,1071324302,"СТО ""Интервал""",,
way,1076022783,"СТО ""Клаксонсервис-Авто""",,
node,9941678374,"СТО ""Коминтерн""",,
node,5632215585,"СТО ""МИБРО""",,
way,359734491,"СТО ""Максавтошрот""",,
way,276494730,"СТО ""Мамочки""",,
node,5304665330,"СТО ""На Варшавке""",,
way,29127264,"СТО ""На старт""",,
node,4988259610,"СТО ""Нет Проблем""",,
node,2489720314,"СТО ""Пегас-Стиль""",,
node,4917598043,"СТО ""РИА Моторс""",,
node,1065108940,"СТО ""СитиАвтоСервис""",,
node,4648648489,"СТО ""Трек-сервис""",,
