osm_type,osm_id,name,name:be,name:ru
node,3048717644,Белита,,Белита
node,721213400,Белита Витекс,,Белита Витекс
node,306065228,ГК Парфюмбытхим,,ГК Парфюмбытхим
node,4482453090,Дискаунтер,,Дискаунтер
way,688947709,Домовёнок,,Домовёнок
node,2024650138,Ксерокопия-распечатка,,Ксерокопия-распечатка
node,9860899641,Мила,,Мила
node,5782677865,Мойдодыр,,Мойдодыр
way,239874152,Речицаагрохимсервис,,Речицаагрохимсервис
node,1615787707,Семейный магазин,,Семейный магазин
node,5827468896,Стандарт чистоты,,Стандарт чистоты
way,478284417,Суперхозяюшка,,Суперхозяюшка
node,6900510673,Чисто — да,,Чисто — да
