osm_type,osm_id,name,name:be,name:ru
node,2055384116,Валерия,Валерыя,
node,6741802974,Жасмин,Язмін,
node,1355206649,Маркиза,Маркіза,
node,1244183034,Обувной магазин «Луч»,Абутковы магазін «Луч»,
node,6972156785,Одежда Всё,Адзенне ўсё,
node,1147998363,Русский мех,Рускае футра,
node,4546671569,Русский мех,Рускае футра,
node,1405018702,"Свадебный салон ""Фианси""",Фіянсі,
node,4222224294,Секонд-хэнд Адзенне,Сэканд-хэнд Адзенне,
node,4329278589,"Сити центр ""Елена""","Сіці цэнтр "" Алена""",
node,4053109477,Терминал,Тэрмінал,
node,7397481472,Терминал,Тэрмінал,
node,8041598916,Терминал,Тэрмінал,
node,767309017,Янина,Яніна,
node,1598499292,магазин Полимир,Крама Палімір,
