osm_type,osm_id,name,name:be,name:ru
node,3233878731,"""Вивьен""",,"""Вивьен бутик”"
node,6885008068,Dомино,,Домино
node,7141473186,PRO OPT (Опт Сток/Секонд-Хенд),,PRO OPT (Оптом Сток/Секонд-Хенд)
node,4497022571,Євдѻкиѧ,,Евдокия
node,6441305985,АРГО,,АРГО мужские костюмы
node,6441319385,АРГО,,АРГО мужские костюмы
node,6086542085,Гарсинг,,Garsing Tactical (Военторг)
node,3912878269,"Магазин №45 ""Спектр"" дет.одежда",,Марк Формель
node,5562677535,Одежда из Китая,,Товары из Китая
node,4778250822,"Свадебный салон ""Лара""",,Коммунарка
node,7267364152,Скарлетт,,Свадебный салон Скарлетт
node,8280593350,Скарлетт,,Свадебный салон Скарлетт
node,4881193021,ТОПСеконд,,Сэконд
node,4534545805,сханхенд,,Сханхенд
node,8616987517,эс-анд-жди,,S&G
