osm_type,osm_id,name,name:be,name:ru
node,4716999904,"""Одежда из Европы""",,"""Одежда из Европы"""
node,4717103689,"""Одежда из Европы""",,"""Одежда из Европы"""
node,4411238414,"""Элема"" - одежда больших размеров, куртки, сумки и др.",,"""Элема"" - одежда больших размеров, куртки, сумки и др."
node,4426782591,8second.by (пункт выдачи заказов),,8second.by (пункт выдачи заказов)
node,5029019624,LC Waikiki. Магазин одежды,,LC Waikiki. Магазин одежды
node,4729378591,АРС,,АРС
node,4540994429,Ай мам,,Ай мам
node,4337236389,Акция-пупс,,Акция-пупс
node,3781835144,Алёна Горецкая,,Алёна Горецкая
node,4454747889,Анжелика,,Анжелика
node,6534443300,Анна,,Анна
node,9186627868,Артём,,Артём
node,4369982326,Белорусский трикотаж,,Белорусский трикотаж
node,4541030489,Белорусский трикотаж,,Белорусский трикотаж
node,7773470695,Белорусский трикотаж,,Белорусский трикотаж
node,4519211489,Бродвей,,Бродвей
node,6054556638,Бутик,,Бутик
node,6712766774,Бутик,,Бутик
way,429246827,Вальс,,Вальс
node,4749108921,Вам Сюда,,Вам Сюда
node,6184532093,Вешалка,,Вешалка
node,4462034346,Витебский лён,,Витебский лён
node,5592840344,Витебский лён,,Витебский лён
node,4915556522,Вольф Групп ООО,,Вольф Групп ООО
node,4056674128,Восток-сервис спецодежда,,Восток-сервис спецодежда
node,4126512141,Галерея,,Галерея
way,97689771,Гардероб,,Гардероб
node,9436297900,Гардеробщик,,Гардеробщик
node,9130319717,Гранат,,Гранат
node,4160810890,Детская и подростковая одежда,,Детская и подростковая одежда
node,5064383191,Детская одежда,,Детская одежда
node,5165292715,Детская одежда,,Детская одежда
node,5239251984,Детская одежда,,Детская одежда
node,5345623615,Детская одежда,,Детская одежда
node,5493796066,Детская одежда,,Детская одежда
node,9033971537,Детская одежда,,Детская одежда
way,204243327,Детская одежда,,Детская одежда
way,208406207,Детская одежда,,Детская одежда
node,4513247990,Джинса,,Джинса
node,4513363891,Диадэм,,Диадэм
node,4758636922,Дом Льна,,Дом Льна
node,4374008691,ЕЩЁ!,,ЕЩЁ!
node,7645863869,ЕЩЁ!,,ЕЩЁ!
node,5094712626,Егорушка,,Егорушка
node,3103594328,Имидж,,Имидж
node,4369991106,Имидж,,Имидж
