osm_type,osm_id,name,name:be,name:ru
node,5270731221,"""Родны Кут""",,Родны Кут
way,155967605,AMI мебель,,АМИ мебель
node,6781143475,Bee Маркет,,Би Маркет
node,4647685689,Аквафристайл,,СИТИ виталюр
way,456188164,Артём,,Доброном
node,4369906186,Асобина,,Асабина
node,4544957303,Асобина,,Асабина
way,205450266,Асобина,,Асабина
node,4535596530,Белоруснефть № 75,,Белоруснефть № 75
node,5044432222,Белоруснефть № 85,,АЗС БЕЛАРУСНЕФТЬ
node,3911286258,Белоруснефть №29,,Белоруснефть № 29
way,312832620,Белоруснефть №29,,Белоруснефть № 29
node,1820913839,Белоруснефть №75,,АЗС 75 Белоруснефть
node,9025154817,ВиталПлюс,,ВиталМаркет
node,1605641621,Восьмёрочка,,Восьмёрочка (нынее ВЕСТА)
node,1260451948,ГиппМаркет,,Секонд-хэнд
node,1115011600,Грошык,,Грошик
node,8556324855,Грошык,,Грошик
node,8556325714,Грошык,,Грошик
node,8556352620,Грошык,,Грошик
node,9565900265,Грошык,,Грошик
node,9565900266,Грошык,,Грошик
node,9565900268,Грошык,,Грошик
node,9565900270,Грошык,,Грошик
node,9565900271,Грошык,,Грошик
node,9565900273,Грошык,,Грошик
node,9565900283,Грошык,,Грошик
node,9565900284,Грошык,,Грошик
node,9565900289,Грошык,,Грошик
way,60758521,Грошык,,Грошик
way,360370927,Грошык,,Грошик
way,1071782414,Грошык,,Грошик
node,959682696,Евромаркет,,Евроопт
node,306062595,Евроопт Market,,Евроопт Маркет
node,1582503891,Евроопт Market,,Евроопт Маркет
node,1870220429,Евроопт Market,,Евроопт Маркет
node,1992457021,Евроопт Market,,Евроопт Маркет
node,2659190093,Евроопт Market,,Евроопт Маркет
node,2674556036,Евроопт Market,,Евроопт Маркет
node,2719324882,Евроопт Market,,Евроопт Маркет
node,2719324894,Евроопт Market,,Евроопт Маркет
node,2782582544,Евроопт Market,,Евроопт Маркет
node,3237953774,Евроопт Market,,Евроопт Маркет
node,3374555769,Евроопт Market,,Евроопт Маркет
node,3374555770,Евроопт Market,,Евроопт Маркет
node,3721138744,Евроопт Market,,Евроопт Маркет
node,4100533789,Евроопт Market,,Евроопт Маркет
node,4156506589,Евроопт Market,,Евроопт Маркет
node,4264432314,Евроопт Market,,Евроопт Маркет
node,4274110789,Евроопт Market,,Евроопт Маркет
node,4723118092,Евроопт Market,,Евроопт Маркет
node,4752456907,Евроопт Market,,Евроопт Маркет
node,4795176229,Евроопт Market,,Евроопт Маркет
node,4853794262,Евроопт Market,,Евроопт Маркет
node,4979036123,Евроопт Market,,Евроопт Маркет
node,5228750308,Евроопт Market,,Евроопт Маркет
node,5307922754,Евроопт Market,,Евроопт Маркет
node,5401034421,Евроопт Market,,Евроопт Маркет
node,6458001371,Евроопт Market,,Евроопт Маркет
node,6458001379,Евроопт Market,,Евроопт Маркет
node,6581651873,Евроопт Market,,Евроопт Маркет
node,7112983890,Евроопт Market,,Евроопт Маркет
node,8693430346,Евроопт Market,,Евроопт Маркет
node,8693438319,Евроопт Market,,Евроопт Маркет
node,8693438320,Евроопт Market,,Евроопт Маркет
node,8693438321,Евроопт Market,,Евроопт Маркет
node,9731936168,Евроопт Market,,Евроопт Маркет
way,62147936,Евроопт Market,,Евроопт Маркет
way,71224643,Евроопт Market,,Евроопт Маркет
way,84189431,Евроопт Market,,Евроопт Маркет
way,85762306,Евроопт Market,,Евроопт Маркет
way,99002821,Евроопт Market,,Евроопт Маркет
way,104339519,Евроопт Market,,Евроопт Маркет
way,115852829,Евроопт Market,,Евроопт Маркет
way,210262814,Евроопт Market,,Евроопт Маркет
way,229757233,Евроопт Market,,Евроопт Маркет
way,241897875,Евроопт Market,,Евроопт Маркет
way,241921249,Евроопт Market,,Евроопт Маркет
way,242764522,Евроопт Market,,Евроопт Маркет
way,242824999,Евроопт Market,,Евроопт Маркет
way,316104742,Евроопт Market,,Евроопт Маркет
way,479163748,Евроопт Market,,Евроопт Маркет
way,559080660,Евроопт Market,,Евроопт Маркет
way,722230183,Евроопт Market,,Евроопт Маркет
way,762531025,Евроопт Market,,Евроопт Маркет
way,119607530,Евроопт Market,,Евроопт мини
way,300916139,Евроопт Минимаркет,,Евроопт
way,327148776,Евроопт Минимаркет,,Евроопт
way,378292903,Евроопт Минимаркет,,Евроопт
way,430020311,Евроопт Минимаркет,,Евроопт
way,436154874,Евроопт Минимаркет,,Евроопт
