osm_type,osm_id,name,name:be,name:ru
node,5241780845,"""Косметичка""",,
node,1277968217,Belita Витэкс,,
node,4530572916,Belita Витэкс,,
node,6964950004,Belita Витэкс,,
node,7298802157,Bielita Вiтэкс,,
node,3946275321,Bielita&Витэкс,,
node,7083923986,Азбука Красоты,,
node,4405791317,Амелия;ЕВРОденьги,,
node,1405018694,Аромат,,
node,6153256273,Аромат,,
node,4676890030,Артнейл,,
node,5239251999,БИО косметика,,
node,3034017838,Белита & Витекс,,
node,6416076099,Белита cosmetics,,
node,9670714942,БиGOODи,,
node,6126481785,Билита Витекс,,
node,6943048685,Билита Витэкс,,
node,5761549415,Биэлита Витэкс,,
node,7179776381,Биэлита Витэкс,,
node,6176036487,"Бытовая химия ""Эконом""",,
node,5326357797,Бьюти Левел,,
node,6633130285,Бэлита Витекс,,
node,4560634631,Валеанна,,
way,549980915,Везаж- белорусская косметика,,
node,3803458832,Визаж,,
node,4815212109,Визаж,,
node,5323705123,Витэкс,,
node,4399903805,"Витэкс, Аркада",,
node,5779243061,Глянец,,
node,4023576821,ГранПри,,
node,4023576822,ГранПри,,
node,3284637905,ДНК,,
node,5326246204,ДНК,,
node,6153218293,ДНК,,
node,7205608237,ДНК,,
node,9393840320,ДНК,,
node,9393840321,ДНК,,
node,9393840322,ДНК,,
node,9393840323,ДНК,,
node,9393840324,ДНК,,
node,9393840325,ДНК,,
node,9393840326,ДНК,,
node,9393840327,ДНК,,
node,9393840328,ДНК,,
node,9393840329,ДНК,,
node,9393840330,ДНК,,
relation,5817780,ДНК - Дом натуральной косметики,,
node,2628196748,Дом натуральной косметики,,
node,3919853893,Дрема,,
node,3919853958,Дрема,,
node,5326464545,ИМПЕРИЯ КРАСОТЫ,,
node,7101641285,Итальянская студия красоты,,
node,3953687455,КОСМО,,
node,5326446772,КОСМО,,
node,5826440153,Кератин-проф.бу,,
node,5326359221,Клементин,,
node,3270045662,Код красоты,,
node,6141139018,Код красоты,,
node,9709487251,Кокос,,
node,7029410527,Корейская косметика,,
way,591250723,КосметиЧка,,
node,5409853902,"Косметика ""Faberlic""",,
node,7211318783,Косметика 24,,
node,2622216725,Космо,,
node,3799074688,Космо,,
node,4729128773,Космо,,
node,6261267686,Космо,,
node,6898114203,Космо,,
node,9495932544,Космо,,
node,2620202433,Кравт,,
node,2628198598,Кравт,,
node,3110932573,Кравт,,
node,3148782486,Кравт,,
node,3828251887,Кравт,,
node,3947863133,Кравт,,
node,4495108110,Кравт,,
relation,5817782,Кравт,,
way,388820060,Кравт,,
way,963030605,Красота и здоровье,,
node,445472393,Л'эскаль,,
node,6666322243,МАГИЯ,,
node,4560646107,Магазин белорусской косметики,,
node,6128658670,Магазин бытовой химии и косметики,,
node,3284637904,"Магазин профессиональной косметики ""Далидович""",,
node,5326463892,Мила ( 1 этаж),,
node,5308110947,Мир Косметики,,
node,8667869427,Мир косметики Белита,,
node,6542229385,Органик шоп Горки,,
node,3147969049,Отличный,,
node,5326368323,ПРОФИ,,
node,8945453324,Париж-Сеул,,
node,6020422304,Парикмахер,,
relation,5817783,Парфюмист,,
node,6943298728,Планета косметики,,
node,4210981898,Прима,,
node,8540805814,Профакцент,,
node,7397488382,Проффесиональная косметика,,
node,9114384404,Пункт выдачи Faberlic,,
node,8669664257,Рона Косметика,,
node,7724389806,Салон Дома,,
node,7006626985,Салон красоты Сафина,,
node,5852007686,Сибирское здоровье,,
node,4560782302,Стилист,,
node,7121950185,Стилист,,
node,9504343515,Территория красоты,,
node,4732443931,Тиан,,
node,5887850085,ХоумАрт,,
node,4544896392,Эпицентр,,
node,4544957351,Эпицентр,,
node,3278087679,мужская косметика 2 этаж,,
node,3277664843,отдел косметики,,
node,4587275415,парфюмерия и косметика,,
node,4587319261,парфюмерия и косметика,,
node,4425618189,тиан де,,
