osm_type,osm_id,name,name:be,name:ru
node,1104578610,БелитаВитекс,БелітаВітэкс,
node,7079668893,Жасмин,Язмін,
node,3710816660,Косметика,Касметыка,
node,3794832484,Косметика,Касметыка,
node,3919984251,Косметика,Касметыка,
node,3919984252,Косметика,Касметыка,
node,3967555091,Косметика,Касметыка,
node,4495063889,Косметика,Касметыка,
node,6050615514,Косметика,Касметыка,
node,6639790885,Косметика,Касметыка,
node,4566579082,Магия,Магія,
node,5398404921,Магия,Магія,
node,5611543521,Магия,Магія,
node,6131000287,Магия,Магія,
node,7071603499,Магия,Магія,
node,3627663143,Мила,Міла,
node,4472764573,Мир косметики Белита-Витэкс,Свет касметыкі Беліта-Вітэкс,
node,1145306913,Парфюмеръ,Парфумер,
