osm_type,osm_id,name,name:be,name:ru
node,3627682661,GEFEST/Атлант,,Гефест
node,5503730423,Аккумуляторы и комплектующие Apple,,Аккумуляторы для телефонов ETERNO.BY
node,4339655290,Амкадор-белвар,,Амкодор-белвар
node,3128152462,Комфорт,,Комфорт строймагазин
node,5982602085,Коника Минолта,,Коника Минолта Ризола
node,4105093089,"Магазин бытовой техники ""БУМ""",,"Бытовая техника ""БУМ"""
node,7136082285,ПВЗ 21 vek.by,,ПВЗ 21vek.by
node,5901928085,Ремонт Телефонов Планшетов Ноутбуков,,Ремонт Телефонов Планшетов Ноутбуков Срочное фото
node,4719001191,Сервис-центр Sony,,Сервис-Центр Sony
node,3318494235,Фирменный магазин TECHNO,,Атлант
node,4750619021,Формула света,,Магазин Формула света
