osm_type,osm_id,name,name:be,name:ru
way,367150872,"""КАПРИС""",,
node,1168828393,"""Мебель МАН""",,
way,157365311,"""Мебель"" Верхнедвинское Райпо",,
node,6553124702,12 Кухонь,,
node,4711827367,12 крэсел,,
node,4945270385,33 Комода,,
node,8375200986,33 Комода,,
node,2765815641,AMI Мебель,,
node,3874386933,AMI Мебель,,
node,4100408947,AMI Мебель,,
node,4563175289,AMI Мебель,,
node,4956972822,AMI Мебель,,
way,160279008,AMI Мебель,,
way,243526045,AMI Мебель,,
node,2526881190,AMI-мебель,,
node,3142329112,Ami Мебель,,
node,4270093718,Ami Мебель,,
node,5126516521,Ami Мебель,,
node,5626830438,Ami-мебель,,
node,7596937765,Aми Мебель,,
way,86347021,BRW дисконт,,
node,4500075914,Cамелго,,
node,8852900076,SV-Мебель,,
node,6356310886,Sontine ортопедические матрасы,,
node,4230864425,VD двери,,
node,3799576666,Vivaline кухни под заказ,,
node,5949586987,Аmi мебель,,
node,3684307463,АКС-Мебель,,
node,6147225116,АКС-мебель,,
node,3184968337,АЛАР - комплектующие для производства мебели,,
node,6176425385,АМI-мебель,,
node,5308110945,АМІ Мебель,,
node,1794417118,АМИ,,
node,6616144073,АМИ,,
node,7746523653,АМИ,,
node,991199040,Авантан-СТ,,
node,4282052493,Авита,,
node,4494165817,Авита,,
node,7397481465,Авита,,
node,3033159036,Альянс-Мебель,,
node,5332524123,Альянтис Мебель Холл,,
node,9024910168,Амi мебель,,
node,3207885359,Амидан,,
way,239336403,Амимебель,,
node,5168560922,"Амимебель ""Лагуна""",,
node,3168931356,Анкоир,,
node,1357108427,Анмикс,,
node,6276942385,Анрекс,,
node,5718181838,Арт-Лайн,,
node,6506977413,АртСквер,,
node,3206014223,Атлас,,
node,4305127389,БЕЛМУР Салон мебели,,
node,8916838892,БУржуазные ценности,,
node,4998634221,БарФёст-М,,
way,226833414,Барро,,
node,8925870517,Баумаркет,,
node,4217342089,БелСимПлит,,
node,2579388552,Беларуская мэбля,,
node,6046142499,"Белпласткомплект. Окна, двери, мебель",,
node,6046144386,"Белпласткомплект. Окна, двери, мебель",,
node,6046168591,"Белпласткомплект. Окна, двери, мебель",,
node,7076159485,Блумберг,,
node,4400857811,Бобруйскмебель,,
way,86757888,Бобруйскмебель,,
node,1231400040,Вам Рад,,
node,6175105910,Ваша мебель,,
node,6360057922,Ваша мебель,,
node,3447201288,Вербалия,,
node,4043681509,Версаль Мебель,,
node,8865199017,Виват-мебель,,
way,496428068,Выставочный Центр ЗОВ,,
node,6841100485,ГТОмебель,,
node,2613358460,ГарантПластСтрой,,
node,4990086024,Голден Мебель,,
node,6612377217,Две Семерки,,
node,8407481217,Дверной квартал,,
node,5324963821,Диадим,,
node,4109403891,Диваново,,
node,3605196181,Диваны тут,,
node,7710220693,Диваныч,,
node,5758050409,Дизайн студия Хрусталёва,,
way,478353704,Дискаунтер мебели и фурнитуры,,
node,2567200801,Дом,,
node,2260094546,Дом Мебели,,
node,4365291536,Дятьково,,
node,7690857349,ЕВРОКУПЕ,,
node,6944452150,Евростул,,
node,1870309683,ЗОВ мебель,,
node,7673757112,Замки-Сити,,
node,7673765223,Замки-Сити,,
way,278849353,ИКЕА,,
node,5262074328,Идеал кухни,,
