osm_type,osm_id,name,name:be,name:ru
node,376017227,AMI мебель,Прадукты,Продукты
node,280036990,Ами-мебель,Арбіта,Амі-мебель
node,3260037087,Ами-мебель,Арбіта,Амі-мебель
node,5347858371,Ами-мебель,Арбіта,Амі-мебель
way,131188184,Ами-мебель,Арбіта,Амі-мебель
node,4519205295,Мебель,Мэбля,Колор
node,4425567192,Мебель,Мэбля,Мебель “Лагуна»
node,6549315187,Мебель,Мэбля,Мебель “Лагуна»
node,937046549,Стиль,Стыль,Стыль
node,7095780015,Стиль,Стыль,Стыль
node,8827766123,Стиль,Стыль,Стыль
node,4411379691,Сьехал,Мэбля з Італіі,Мебель из Италии
