osm_type,osm_id,name,name:be,name:ru
node,5024548122,"""ДВЕРИ""",,"""ДВЕРИ"""
node,4880688221,"""Твой"" мебель, бытовая техника",,"""Твой"" мебель, бытовая техника"
node,2246999423,12 стульев,,12 стульев
node,4560869721,12 стульев,,12 стульев
node,6348824503,12 стульев,,12 стульев
way,112052898,12 стульев,,12 стульев
node,3428267725,AMI мебель,,AMI мебель
node,4519211493,AMI мебель,,AMI мебель
node,4739401021,Ami мебель,,Ami мебель
node,4974902121,Ami мебель,,Ami мебель
node,4590572489,ViT Мебель,,ViT Мебель
node,4345414654,АМИ Мебель,,АМИ Мебель
node,4716090195,АМИ Мебель,,АМИ Мебель
node,5466738522,АМИ Мебель,,АМИ Мебель
node,5537054538,АМИ Мебель,,АМИ Мебель
node,6595949108,АМИ Мебель,,АМИ Мебель
node,9577326417,АМИ Мебель,,АМИ Мебель
way,242185388,АМИ Мебель,,АМИ Мебель
way,504048747,АМИ Мебель,,АМИ Мебель
node,4481404109,Австрийский свет,,Австрийский свет
node,4062350011,Актуаль,,Актуаль
node,4510308891,Альбико,,Альбико
node,2087420829,Альфа,,Альфа
node,5887457087,Ами,,Ами
node,5887482185,Ами,,Ами
node,5975516087,Ами,,Ами
node,5975601185,Ами,,Ами
node,6109598628,Ами,,Ами
node,9118142694,Ами,,Ами
way,115740950,Ами,,Ами
node,3205832182,Ами Мебель,,Ами Мебель
node,3872713910,Ами Мебель,,Ами Мебель
node,4045903663,Ами Мебель,,Ами Мебель
node,4045929615,Ами Мебель,,Ами Мебель
node,4272178194,Ами Мебель,,Ами Мебель
node,4452349989,Ами Мебель,,Ами Мебель
node,4602549692,Ами Мебель,,Ами Мебель
node,4814918722,Ами Мебель,,Ами Мебель
node,5229101290,Ами Мебель,,Ами Мебель
node,5308201095,Ами Мебель,,Ами Мебель
node,8513041044,Ами Мебель,,Ами Мебель
node,9704828581,Ами Мебель,,Ами Мебель
way,113983510,Ами Мебель,,Ами Мебель
way,488774532,Ами Мебель,,Ами Мебель
node,3711904416,АмиМебель,,АмиМебель
node,4926759113,АмиМебель,,АмиМебель
node,5017683223,АмиМебель,,АмиМебель
way,431424997,АмиМебель,,АмиМебель
node,4755903304,Андрия,,Андрия
node,6680118227,Анрэкс,,Анрэкс
node,4646995100,БелКЗ,,БелКЗ
node,7528885785,Богемия,,Богемия
node,5355152641,ВамРад,,ВамРад
node,5002999224,Верона,,Верона
node,6681595297,Верона,,Верона
node,6698957938,Верона,,Верона
node,4806917921,ЗОВ Кухни,,ЗОВ Кухни
node,4950522566,ЗОВ Мебель,,ЗОВ Мебель
node,4513247995,Зов мебель,,Зов мебель
node,4386978389,КООПТОРГ,,КООПТОРГ
node,4995026958,Квартирный вопрос,,Квартирный вопрос
node,3206003032,КомфортУютМебель,,КомфортУютМебель
node,4396145690,Кухни «Зов»,,Кухни «Зов»
node,4505307901,Кухни Пинскдрев,,Кухни Пинскдрев
node,4519213090,"Кухни, шкафы-купе",,"Кухни, шкафы-купе"
node,4383892191,Кухонная студия,,Кухонная студия
node,6265767839,МЛ Смарт Групп,,МЛ Смарт Групп
node,6139222686,"Магазин Доступной Мебели ""МДМ""",,"Магазин Доступной Мебели ""МДМ"""
way,75858247,Магазин мебели,,Магазин мебели
way,25390570,"Магазин №3 ""Стройматериалы, мебель"", ЗАО ""Мебель, стройматериалы""",,"Магазин №3 ""Стройматериалы, мебель"", ЗАО ""Мебель, стройматериалы"""
node,4383892192,МебельМаркет,,МебельМаркет
node,3442966492,МебельСам,,МебельСам
way,459119380,Мебельная фабрика К.В.П.,,Мебельная фабрика К.В.П.
node,2885545803,Мебельный Двор,,Мебельный Двор
node,306063431,Новый Дом,,Новый Дом
node,4519205293,"ООО"" Мебель Сити""",,"ООО"" Мебель Сити"""
node,4397202789,Окна Тэк,,Окна Тэк
node,4533926093,ОнЛайн,,ОнЛайн
node,5491893021,Опенини Брест,,Опенини Брест
node,1429790195,Папа Карло,,Папа Карло
node,4365291537,Папа Карло,,Папа Карло
node,4746556822,Папа Карло,,Папа Карло
node,4519212489,ПинскДрев,,ПинскДрев
way,312891730,ПинскДрев,,ПинскДрев
way,397516201,ПинскДрев,,ПинскДрев
way,495352399,ПинскДрев,,ПинскДрев
node,5058626125,Растущая мебель,,Растущая мебель
node,4899863822,Самелго,,Самелго
node,5478788221,Столешницы Duropal (Гомель),,Столешницы Duropal (Гомель)
node,4359106995,Студия К мебель,,Студия К мебель
node,6541256585,"Студия мебели ""Дом 5""",,"Студия мебели ""Дом 5"""
way,86759568,ТД «Молодечномебель»,,ТД «Молодечномебель»
way,708096785,ТЦ «Мебель Пинскдрев»,,ТЦ «Мебель Пинскдрев»
node,4695303389,Текстиль в интерьере,,Текстиль в интерьере
node,5456310686,Территория мебели,,Территория мебели
node,6290877622,Территория мебели,,Территория мебели
node,7095780018,Тиолли,,Тиолли
node,5291965138,Уютный дом,,Уютный дом
node,5796343523,Фа-мебель,,Фа-мебель
way,35809952,ЧТПУП «Савлуков-Мебель»,,ЧТПУП «Савлуков-Мебель»
node,4384048790,Шебби,,Шебби
node,4408715203,мебель,,мебель
