osm_type,osm_id,name,name:be,name:ru
node,1704164823,Аквамарин,Аквамарын,
node,3050176435,Апрель,Сакавік,
node,5226252321,БИГ БРО Мужская парикмахерская,БІГ БРО Мужчынская цырульня,
node,8627993707,Багира,Багіра,
node,7040010047,Браво,Брава,
node,651671946,Ваш мастер,Ваш майстар,
node,1979061175,Для всех,Для ўсіх,
node,3820840619,Для всех,Для ўсіх,
node,3951817884,Жасмин,Язмін,
node,1408523663,Магия,Магія,
node,4701975796,Магия,Магія,
node,1683563251,Маринэ,Марынэ,
node,2574327241,Мэрилин,Мэрылін,
node,320409563,НатЮр,Цырульня,
node,3028550246,Ольга,Вольга,
node,5024614033,Ольга,Вольга,
node,6280649185,Ольга,Вольга,
node,3717092603,Парикмахерская,Цырульня,
node,3721503413,Парикмахерская,Цырульня,
node,4587242716,Парикмахерская,Цырульня,
node,4706151741,Парикмахерская,Цырульня,
node,5223181049,Парикмахерская,Цырульня,
node,7370762610,Парикмахерская,Цырульня,
node,5717556721,"Парикмахерская ""У Александровны""","Цырульня ""У Аляксандраўны""",
node,1351152918,Парикмахерская Де Франж,Цырульня,
node,1632340114,Парикмахерская Карина,Цырульня,
node,7040654440,Парикмахерская Улитано,Цырульня Улітана,
node,1182567833,Парикмахерская хорошая,Цырульня,
node,1114703866,Парикмахерская №16,Цырульня №16,
node,1360856856,Парикмахерская №2,Цырульня №2,
node,1355206730,Парикмахерская №5,Цырульня №5,
node,1462080825,Симпатия,Цырульня,
node,1676762141,Улыбка:),Усмешка,
node,4279976790,Характер,Характэр,
node,1706262522,Цезарь,Цэзар,
node,9766779936,Юлия,Юлія,
