osm_type,osm_id,name,name:be,name:ru
way,41616165,"""БИЛД"" - строительный гипермаркет",,
node,5472666757,"""Всё для вашего дома""",,
way,704184399,"""Гомельобои"" магазин №5",,
way,324482000,"""Мастерок""",,
node,4398879402,"""Мила""",,
node,6612049424,"""Обои"" магазин №1",,
way,156293558,"""Хозяин""",,
node,4269472304,"""Чистый дом""",,
node,2330102989,"""Электросила""",,
way,157042638,1000 Мелочей,,
node,8399329019,7 квадратов (двери),,
node,612452234,7 майстроу,,
way,127349260,999 мелочей,,
node,9008735924,Stihl и Viking,,
way,454999488,miX (хозтовары),,
node,4216231692,«Модесса»,,
node,5034690527,Ёлки-палки,,
node,8333554593,Автокраски и автомасла,,
node,9083667538,Агродворик,,
node,9812168419,Агромолл,,
way,255101950,Алекор,,
way,308479072,Алекор №3,,
node,5762421624,Алькор,,
node,5364513821,Альтагамма Пункт выдачи товара,,
node,7296212613,Арнкер,,
node,5119325727,АртКерамика офис,,
way,663308889,АртКерамика склад,,
node,8820258217,Артишок,,
way,835323340,Астра,,
node,5972534287,Атлант-Сервис,,
node,6165664303,Аякс,,
node,9407143262,Безопасность труда,,
node,9162334502,Безопасный век,,
way,200758228,БелИнструментТорг,,
node,3828230066,БелСнабПодшипник,,
node,5808798523,Белорусские обои,,
way,586118480,Бензо-сервис STIHL,,
node,6324765975,Бензомир,,
node,5153633593,Бензотехника,,
node,5838240185,Биш,,
node,6802111785,Борисовский хрусталь,,
way,804701393,Брок-Брест,,
way,804701394,Брок-Брест-металл,,
way,982182876,Брок-Строй,,
node,7007705586,Будаўніцтва,,
node,4254026789,ВамЛес пиломатериалы,,
way,424418403,Веста №12 Хозтовары,,
node,6964024862,Виторжье-М,,
way,165225934,Волат,,
node,8209010617,Волковысская торговая компания,,
node,4420358586,Все для дома,,
node,6777870246,Все для дома,,
node,4657166768,Всё по 2.30,,
way,239092394,Выбор,,
way,294788616,Выбор,,
node,1737353196,Выш выбор,,
node,5234293822,"Газ, Тепло, Вода",,
node,5281963827,"Газ, тепло, вода",,
node,6568133208,Гродвикстрой,,
node,9714559087,Дагликс,,
node,4246341992,Двери El Porta,,
