osm_type,osm_id,name,name:be,name:ru
node,1182909852,Золотая мечта,Залатая мара,
node,3196932505,Золотая мечта,Залатая мара,
node,3945637689,Золотая мечта,Залатая мара,
node,4314436580,Золотая мечта,Залатая мара,
node,5326419490,Золотая мечта,Залатая мара,
node,5347991204,Золотая мечта,Залатая мара,
node,6015069937,Золотая мечта,Залатая мара,
node,6015074809,Золотая мечта,Залатая мара,
node,6015078346,Золотая мечта,Залатая мара,
node,6015078532,Золотая мечта,Залатая мара,
node,6015078549,Золотая мечта,Залатая мара,
node,6015078554,Золотая мечта,Залатая мара,
node,6015079754,Золотая мечта,Залатая мара,
node,6015080031,Золотая мечта,Залатая мара,
node,6196474284,Золотая мечта,Залатая мара,
node,7928642419,Золотая мечта,Залатая мара,
node,1236568625,Мастерская Лира,Майстэрня Ліра,
node,1794346145,Мономах,Манамах,
node,3949102257,Мономах,Манамах,
node,4120292892,Мономах,Манамах,
node,4971258744,Мономах,Манамах,
node,9495932543,Мономах,Манамах,
way,25327299,Мономах,Манамах,
node,1436384345,Топаз,Тапаз,
node,2810627602,Ювелир-Карат,Ювелір-Карат,
node,4304784834,Ювелир-Карат,Ювелір-Карат,
