osm_type,osm_id,name,name:be,name:ru
way,254315828,Автоиндустрия,Аўтаіндустрыя,
node,2053147465,Берестейский пассаж,Берасцейскі пасаж,
way,66846884,Культтовары,Культтавары,
way,25394459,Праздник,Сьвята,
way,130407394,Радиомаркет,Радыёмаркет,
way,600640446,Риф,Рыф,
node,3281855274,Светиловский,Свяцілаўскі,
way,41088660,Стрелецкий капитал,Стралецкі капітал,
way,386519367,"ТРЦ ""DiaMond""","ГЗЦ ""DiaMond""",
way,240251500,"ТЦ ""Журавинка""","ГЦ ""Журавінка""",
way,385668897,ТЦ Московско-Венский,ГЦ Маскоўска-Венскі,
way,167201934,"Торговый центр ""Славянский""","Гандлёвы цэнтр ""Славянскі""",
way,39271764,Универмаг «Слуцк»,Універмаг «Слуцк»,
way,281585757,Универсам Славянский,Славянскі,
way,93953417,Юлия,Юлія,
node,3279301543,колготки,калготкі,
