osm_type,osm_id,name,name:be,name:ru
way,174386796,Альянс,,Альянс
way,290569740,Апельсин,,Апельсин
node,4451704715,Аптекаръ,,Аптекаръ
way,285572260,Арго,,Арго
way,404216600,Арена,,Арена
node,2608357440,Бродвей,,Бродвей
way,285631310,Бульвар,,Бульвар
way,205040532,Галерея,,Галерея
way,61359092,Гостиный Двор,,Гостиный Двор
way,316226033,Имми,,Имми
way,328961052,Карусель,,Карусель
node,4434021399,Клад Наполеона,,Клад Наполеона
way,151987381,Комплексный приёмный пункт,,Комплексный приёмный пункт
way,237487998,Комплексный приёмный пункт,,Комплексный приёмный пункт
way,246296487,Комплексный приёмный пункт,,Комплексный приёмный пункт
way,257414992,Комплексный приёмный пункт,,Комплексный приёмный пункт
way,294422162,Комплексный приёмный пункт,,Комплексный приёмный пункт
way,598364525,Комплексный приёмный пункт,,Комплексный приёмный пункт
way,1050518362,Комплексный приёмный пункт,,Комплексный приёмный пункт
node,6428968975,Луч,,Луч
way,424341718,Миллионный,,Миллионный
node,2592366224,Москва,,Москва
node,305685377,На Голодеда,,На Голодеда
way,530883349,Новый век,,Новый век
node,2297456754,Пассаж,,Пассаж
way,154168249,Пассаж,,Пассаж
way,86760057,Перекрёсток,,Перекрёсток
node,306062408,Прод,,Прод
node,6361300392,Променад,,Променад
node,306064314,Славутич,,Славутич
way,245996940,"ТЦ ""Столица""",,"ТЦ ""Столица"""
way,138562935,ТЦ «Орбита»,,ТЦ «Орбита»
way,151711564,ТЦ «Орбита»,,ТЦ «Орбита»
way,209141922,ТЦ «Планета»,,ТЦ «Планета»
way,383460493,ТЦ «Поло»,,ТЦ «Поло»
way,593707239,ТЦ Авеню,,ТЦ Авеню
way,373799899,ТЦ Перекрёсток,,ТЦ Перекрёсток
way,208401330,ТЦ Тройка,,ТЦ Тройка
node,306063282,Торг. Ряды,,Торг. Ряды
node,306063975,Торговые Ряды Кирмаш,,Торговые Ряды Кирмаш
way,42140793,Флагман 2,,Флагман 2
way,238066765,Форум,,Форум
way,315730526,Хозяйственный магазин,,Хозяйственный магазин
way,35745484,Экспобел,,Экспобел
relation,6039425,Элегант,,Элегант
way,41088681,гипермаркет Зодиак,,гипермаркет Зодиак
