osm_type,osm_id,name,name:be,name:ru
node,4656939487,"""ЕвроСеть""",,
node,4652808426,"""Индиго""",,
node,5326465796,LIFE:) (1 этаж),,
node,5527818707,MTC - На связи,,
node,4958859222,Progress Сервис,,
node,3284638584,RTX - GSM телефоны,,
node,5109143922,iСломал,,
node,3920131887,Аксессуары,,
way,713770907,Все для телефонов,,
node,7983930486,Вышка мобильной связи 70м,,
way,963030567,Гаджет,,
node,3206003018,Дважды два,,
node,6777109761,Единый Сервисный Центр,,
node,6136022770,"Запчасти и аксессуары ""Энерджи""",,
node,6136022771,Запчасти и аксессуары Pribambas.by,,
node,6109638794,"ИООО ""Велком""",,
node,4462052790,Интерфейс,,
node,5270912721,Ксистор,,
node,4756570230,Ломбард Притыцкого 97,,
node,2612064942,"Магазин ""Связной""",,
node,6767649388,"Мастерская ""Mobilcom Service""",,
node,8155889117,Медиа Двор,,
node,6311414389,Мелафон,,
node,4282125651,МобилСтар,,
node,7031971325,Мобильная зона,,
node,2867999785,Мобильные телефоны,,
node,2868015112,Мобильные телефоны,,
node,4213615295,Мобильные телефоны,,
node,5326433862,НА СВЯЗИ,,
node,6477940229,НА'СВЯЗИ,,
node,6477940230,НА'СВЯЗИ,,
node,6477940231,НА'СВЯЗИ,,
node,6477940236,НА'СВЯЗИ,,
node,6477940237,НА'СВЯЗИ,,
node,6477940238,НА'СВЯЗИ,,
node,6477940241,НА'СВЯЗИ,,
node,6477940242,НА'СВЯЗИ,,
node,6477940243,НА'СВЯЗИ,,
node,6477940246,НА'СВЯЗИ,,
node,6477940247,НА'СВЯЗИ,,
node,6477940248,НА'СВЯЗИ,,
node,6477940249,НА'СВЯЗИ,,
node,6477940255,НА'СВЯЗИ,,
node,6477940257,НА'СВЯЗИ,,
node,6477940258,НА'СВЯЗИ,,
node,6477940259,НА'СВЯЗИ,,
node,6477940263,НА'СВЯЗИ,,
node,6477940265,НА'СВЯЗИ,,
node,6477940266,НА'СВЯЗИ,,
node,6477940267,НА'СВЯЗИ,,
node,6477940268,НА'СВЯЗИ,,
node,6477940269,НА'СВЯЗИ,,
node,6477940271,НА'СВЯЗИ,,
node,6477940274,НА'СВЯЗИ,,
node,6477940276,НА'СВЯЗИ,,
node,6477940280,НА'СВЯЗИ,,
node,6477941689,НА'СВЯЗИ,,
node,6477941691,НА'СВЯЗИ,,
node,6477941699,НА'СВЯЗИ,,
node,6477941700,НА'СВЯЗИ,,
node,6477941701,НА'СВЯЗИ,,
node,6477941704,НА'СВЯЗИ,,
node,6477941705,НА'СВЯЗИ,,
node,6477941707,НА'СВЯЗИ,,
node,6477941709,НА'СВЯЗИ,,
node,6477941713,НА'СВЯЗИ,,
node,6477941714,НА'СВЯЗИ,,
node,6477941716,НА'СВЯЗИ,,
node,6477941718,НА'СВЯЗИ,,
node,6477941720,НА'СВЯЗИ,,
node,6477941727,НА'СВЯЗИ,,
node,6477941728,НА'СВЯЗИ,,
node,6477941729,НА'СВЯЗИ,,
node,6477941731,НА'СВЯЗИ,,
node,6477941732,НА'СВЯЗИ,,
node,8585056203,На'связи,,
node,3269245121,НаСвязи,,
node,6130522641,НаСвязи,,
node,6742519284,Неон,,
node,4341195839,Новая линия,,
node,2985975238,"ООО ""Айкомпани""",,
node,5471237523,"ООО ""БЕЛСЕРВИСПЛЮС"" (Deft Electronics) Сервисный центр ""SAMSUNG""",,
node,7714008084,"ООО ""ЦЕЙС-ВИДЕО""",,
node,3306870471,Орбита Мобил,,
node,3110921493,Портатив,,
node,6265768191,Портатив,,
node,6265768192,Портатив,,
node,6491334036,Портатив,,
node,9447540762,Портатив,,
node,7071714285,Пункт приёма заказов AMD.by,,
node,5158406521,Пункт самовывоза elmarket.by,,
node,8292499517,Ремонт и обмен смартфонов,,
node,4257782990,Ремонт мобильников,,
node,7411331685,"Ремонт мобильных телефонов и электроники ""Ахиллес""",,
way,621503781,Ремонт телефонов - BelFix.by,,
node,6273164286,Ремонт телефонов - RTX.BY,,
node,5298039622,Ремонт телефонов Телремсервис,,
node,6558087785,Ремонт телефонов и электроники «Белмобиплюс»,,
node,5326463500,"САЛОН ""НА СВЯЗИ ( 1этаж)",,
node,5326464384,"СЕТЬ САЛОНОВ ""АЛЛО"" ( 1этаж)",,
node,3068190840,Салон Life:),,
node,5374473121,Салон life:),,
node,3068447586,Салон «Velcom»,,
node,5326371336,Салон «АЛЛО!»,,
node,2680008623,Салон Связи,,
node,4577955564,"Салон мобильной связи ""Велком""",,
node,3641288973,"Салон связи ""МТС""",,
node,8669614668,Салон связи Movi,,
node,8399283418,Салон связи А1,,
node,9034155982,Салон связи А1,,
node,8598037988,Салон сотовой связи Life,,
node,5903840585,"Сервис-центр ""ПЕРЕЗАГРУЗКА""",,
node,6754244885,Сервисный центр remsot.by,,
node,4247865589,Славный Сервис,,
node,4316480196,Созвучие,,
node,5308137519,Стильный Гаджет,,
node,9401859814,Твой чехол,,
node,9401859815,Твой чехол,,
node,3946227036,Телефоны и аксессуары. Офис МТС,,
node,5846778488,Техно Мир,,
node,4023576837,Ультеграстайл,,
node,2624645080,Флагманский магазин life:),,
node,3382414226,Центр МТС,,
node,5604385541,Центр подключение и обслуживание Velcom,,
node,5326465824,ЧЕХОЛ И БАМПЕР ( 1этаж),,
way,209137179,салон связи Евросеть,,
node,3279307216,связной,,
