osm_type,osm_id,name,name:be,name:ru
way,211916531,Безсоюзпечать,,
node,5082591026,БелСоюзДрук,,
node,6418775588,Белкопсоюзапечать,,
way,492545973,Белсоюзпечать (павильон №5),,
node,8816891818,Белсоюзпечать 255,,
node,8816891918,Белсоюзпечать 301,,
node,8817676917,Белсоюзпечать 312,,
node,8816896718,Белсоюзпечать 420,,
way,705121088,Белсоюзпечать 6,,
node,5549773826,Белсоюзпечать №385,,
node,5550054224,Белсоюзпечать №610,,
node,5549905923,Белсоюзпечать №614,,
node,5550509722,Белсоюзпечать №620,,
node,5868413185,Белсоюзпечать №712,,
node,3790084080,Белсоюспечать (магазин №12),,
way,1039998439,БрестОблСоюзПечать,,
way,985650745,ВитеьскОблСоюзПечать,,
node,2592381193,"Газета ""Регион""",,
node,4220108489,Гомельоблпечать,,
node,3691115433,Гомельоблсаюздрук,,
node,4219999706,Гомельоблсоюзпечать,,
way,368298076,Гомельоблсоюзпечать,,
way,506248201,Гомельоблсоюзпечать,,
way,938174698,Гомельоблсоюзпечать,,
node,6684124850,Гроднооблсоюздрук,,
way,255186204,"КПУП ""Поставская типография""",,
node,5039637051,Киоск №42,,
node,9116967891,Киоск №6,,
way,520344343,Киоск №66,,
node,9118126013,Киоск №7,,
way,521635010,Киоск № 53,,
node,1852189868,Могилевпечать,,
way,505112550,Почта ППС-1,,
node,7796590382,Пресса,,
way,809933200,Пресса,,
way,837415512,Пресса,,
node,3307711119,Пресса № 1,,
node,5702978237,Сократ,,
node,5696183421,Табакерка,,
node,5730434122,Табакерка,,
node,5741248221,Табакерка,,
node,5843755485,Табакерка,,
node,5846321285,Табакерка,,
node,5846321286,Табакерка,,
node,5995625491,Табакерка,,
node,6126377087,Табакерка,,
node,6126405886,Табакерка,,
node,6126443586,Табакерка,,
node,6155759185,Табакерка,,
node,6163855485,Табакерка,,
node,6213195286,Табакерка,,
node,6213276885,Табакерка,,
node,6213291285,Табакерка,,
node,6330819285,Табакерка,,
node,6457890991,Табакерка,,
node,6557644785,Табакерка,,
node,6930639485,Табакерка,,
node,7165977885,Табакерка,,
node,7487137886,Табакерка,,
node,8460552417,Табакерка,,
node,8460862317,Табакерка,,
node,8739185417,Табакерка,,
node,8739185617,Табакерка,,
node,8739185717,Табакерка,,
node,8739480018,Табакерка,,
node,8741731517,Табакерка,,
node,8742575717,Табакерка,,
node,8948668917,Табакерка,,
node,9007737917,Табакерка,,
node,9007801418,Табакерка,,
node,9053546117,Табакерка,,
node,9058066017,Табакерка,,
node,9065959918,Табакерка,,
node,9066249518,Табакерка,,
node,9066249618,Табакерка,,
node,9066257117,Табакерка,,
node,9076994317,Табакерка,,
node,9202235018,Табакерка,,
node,9202564228,Табакерка,,
node,9317561817,Табакерка,,
node,9318406627,Табакерка,,
node,9769713617,Табакерка,,
node,9819178317,Табакерка,,
node,9840856817,Табакерка,,
node,9843509717,Табакерка,,
node,6199487087,Юнисуб,,
way,160951711,белсоюзпечать,,
