osm_type,osm_id,name,name:be,name:ru
node,516749217,Авоська,,Авоська
way,49131501,Аркада,,Аркада
node,1182853267,Бабушкин гостинец,,Бабушкин гостинец
node,4504870270,Белита,,Белита
node,1510031179,Белмаркет,,Белмаркет
node,1788453391,Белмаркет,,Белмаркет
node,4261047692,Белмаркет,,Белмаркет
node,4391505189,Белмаркет,,Белмаркет
node,5631094305,Белмаркет,,Белмаркет
node,5631099765,Белмаркет,,Белмаркет
node,5631106138,Белмаркет,,Белмаркет
node,7717021167,Белмаркет,,Белмаркет
way,86760145,Белмаркет,,Белмаркет
way,86763532,Белмаркет,,Белмаркет
way,99025314,Белмаркет,,Белмаркет
way,228604019,Белмаркет,,Белмаркет
way,235130069,Белмаркет,,Белмаркет
way,268853427,Белмаркет,,Белмаркет
way,297862393,Белмаркет,,Белмаркет
way,376971670,Белмаркет,,Белмаркет
node,7868284785,Билд,,Билд
way,763215116,Бульвар,,Бульвар
node,4609585190,Веста - продуктовый отдел,,Веста - продуктовый отдел
node,5464661421,Ганна № 22,,Ганна № 22
node,7883705005,Грошык,,Грошык
node,7883705308,Грошык,,Грошык
node,7883705312,Грошык,,Грошык
way,252613099,Грошык,,Грошык
node,9023271013,Гурман,,Гурман
way,463119344,Дары Полесья,,Дары Полесья
node,4609605097,Динас,,Динас
node,6177257285,Дискаунтер,,Дискаунтер
node,9203213837,Дискаунтер,,Дискаунтер
way,368272687,Дискаунтер,,Дискаунтер
way,449276744,Для Вас,,Для Вас
way,398103133,Домашний доктор,,Домашний доктор
node,879126925,Еврокэш,,Еврокэш
node,7726738185,Еврокэш,,Еврокэш
way,423669005,Еврокэш,,Еврокэш
way,632419397,Евроопт,,Евроопт
node,6122982386,Евроопт Минимаркет,,Евроопт Минимаркет
node,6457999810,Евроопт Минимаркет,,Евроопт Минимаркет
node,6458001290,Евроопт Минимаркет,,Евроопт Минимаркет
node,6458001326,Евроопт Минимаркет,,Евроопт Минимаркет
node,6547202925,Евроопт Минимаркет,,Евроопт Минимаркет
node,7760410866,Евроопт Минимаркет,,Евроопт Минимаркет
node,7760502093,Евроопт Минимаркет,,Евроопт Минимаркет
way,158655540,Евроопт Минимаркет,,Евроопт Минимаркет
way,275816708,Евроопт Минимаркет,,Евроопт Минимаркет
way,368409050,Евроопт Минимаркет,,Евроопт Минимаркет
node,4583554393,Жабка,,Жабка
node,4592692950,Златка,,Златка
way,61910655,Златка,,Златка
way,384946784,Златка,,Златка
way,638978797,Ивацевичский,,Ивацевичский
node,4560775823,Индюшонок,,Индюшонок
node,3154419496,Квартал Вкуса,,Квартал Вкуса
node,4119830389,Квартал Вкуса,,Квартал Вкуса
way,202546081,Квартал Вкуса,,Квартал Вкуса
node,4791678509,Квартал вкуса,,Квартал вкуса
node,1434856925,Копеечка,,Копеечка
way,242748886,Копеечка,,Копеечка
way,261309698,Корзинка,,Корзинка
way,1013296197,Корзинка,,Корзинка
node,4424783793,Крама Зарэчная,,Крама Зарэчная
way,244124372,Ласточка,,Ласточка
node,5207804822,"Магазин ""ВиталМаркет""",,"Магазин ""ВиталМаркет"""
node,5026723122,"Магазин ""Колобок""",,"Магазин ""Колобок"""
way,377943439,Мерком № 7,,Мерком № 7
way,239287467,Новоречицкий,,Новоречицкий
node,663448374,Ноев Ковчег,,Ноев Ковчег
way,306205371,Ноев Ковчег,,Ноев Ковчег
node,1395791057,Палас,,Палас
node,539236638,Перекрёсток,,Перекрёсток
node,3841079700,Перекрёсток,,Перекрёсток
node,5663256180,Перекрёсток,,Перекрёсток
way,295789412,ПровиантЪ,,ПровиантЪ
node,306063953,Продтовары 6,,Продтовары 6
node,9486027960,"РУП ""Издательство""Белбланкавыд""",,"РУП ""Издательство""Белбланкавыд"""
way,216659172,Радуга,,Радуга
way,585747110,Радуга,,Радуга
way,710516794,Радуга,,Радуга
way,103401797,Родны Кут,,Родны Кут
node,6547224032,Санта,,Санта
node,7809996054,Санта,,Санта
node,7810048394,Санта,,Санта
node,7810048403,Санта,,Санта
node,7883705333,Санта,,Санта
node,8556334317,Санта,,Санта
way,136707555,Санта,,Санта
