osm_type,osm_id,name,name:be,name:ru
way,444689596,"""Олимпиец""",,
node,3102229849,"""Сфера"" боулинг",,
node,2304044313,"""Трасса 62""",,
node,604715842,Cолярий / Фитнесс-центр,,
node,8749709719,"Cпортивный клуб ""Зеркало""",,
way,919162389,F1-Картинг Минск,,
node,6013516554,Olympiс Gym&Fight,,
node,4528663825,Satori - школа йоги,,
node,8684180157,Vimpex Sport Магазин №2,,
node,1426982412,VimpexSport спорттовары,,
way,779171917,XCO Динамо,,
way,1041235343,XCO Динамо,,
way,29124811,Аквацентр,,
node,4559431189,Аллигатор,,
node,8032528736,Американка,,
way,703460798,Антивандальные турники и снаряды,,
way,972331367,Антивандальные турники и снаряды,,
node,3914384310,Арочник,,
node,5231495040,Астерра,,
node,2621545796,Атлет,,
node,7037636499,Аштанга йога шала,,
way,298483691,Баржа,,
node,5854645590,Басейн,,
way,970870533,Баскетбольная пляцоўка,,
node,8749709725,"Баскетбольный клуб ""Горизонт""",,
way,761436547,"Бассейн ""Волат""",,
node,5030168526,Бассейн «Капелька»,,
node,4375352625,Бассейн БГПУ,,
node,5198165659,Бассейн БелГУТа,,
way,447671684,Бассейн Нептун,,
way,29160019,Бассейн СДЮШОР № 5,,
way,38536255,Бассейн СШ № 57,,
node,4500848047,Бассейн СШ №56,,
node,2939827511,Бассейн СШ №59,,
way,203019351,Бассейн сан. Зелёный Бор,,
way,108490704,Бассейн школы,,
way,728782144,Бассейн №2,,
node,3967912613,Батутная арена ДжойДжамп в Минске,,
way,38537329,Беговая дорожка СШ№ 57,,
way,239128457,Бейсбольный стадион,,
node,275912935,Белорусская федерация бадминтона,,
way,914934172,Биатлонный центр,,
node,3217886180,Бильярдная,,
way,37047440,Бильярдная,,
way,920118783,"Бильярдный ""Классик""",,
node,1590396231,Бильярдный бар,,
node,2629133177,Бильярдный клуб «Фарт»,,
node,3704526800,Бильярдный клуб №1,,
node,4712968516,Боди-Арт,,
way,353437021,Боевое поле,,
node,827272347,Бойцовский клуб,,
node,9722017536,Бокс,,
node,8749709722,"Борцовский клуб ""Булат""",,
node,3828404704,"Боулинг ""Спартак""",,
node,7945989450,Брутто,,
node,9732840781,Будь в форме,,
way,970860296,Валейбольная пляцоўка,,
way,313088900,Велотрек,,
way,458700364,Велотрек,,
way,119208177,Велотриальные Трассы,,
node,8792168235,Веревочный город,,
node,3657483472,Веревочный курс,,
way,410953193,Верёвочный городок,,
way,410955201,"Верёвочный городок ""Тарзания""",,
node,5922170373,Вип денсер,,
way,483290608,Водно-оздоровительный центр,,
node,8038938149,Водные братья,,
way,133398982,Водный дворец,,
way,664180373,Военный стадион,,
node,2851277638,Волейбол,,
way,460056005,Воркаут-площадка,,
node,9160825853,Выбивание ковров,,
node,6419800203,Высшая Лига,,
node,4548369958,Вьет-Во-Дао,,
way,25321783,"ГУО ""Физкультурно-спортивный центр детей и молодежи Советского района г. Минска""",,
node,8749709721,"Гимнастический центр ""Принцесса спорта""",,
node,332026799,Горнолыжная база Силичи,,
way,434386424,Горнолыжный комплекс Олимп,,
way,384796927,"Горнолыжный центр ""Веста""",,
way,67510135,"Городская школа тенниса ""Смена""",,
way,383756724,Гребная база №2,,
node,7638022808,Гродненская специализированная детско-юношеская школа олимпийского резерва по теннису,,
node,7119105415,Гродненский аэроклуб,,
way,454202409,ДЮСШ 3,,
node,1376627775,ДЮСШ «Торпедо»,,
node,8749709723,ДЮСШ по гандболу им. Л.М. Гуско,,
way,515011204,Дворец Игровых Видов Спорта,,
way,47009284,Дворец легкой атлетики,,
node,8956000042,Детский бассейн,,
node,4586501053,"Детский клуб активного отдыха ""Worms""",,
way,531192245,Детско-Юношеская Спортивная Школа Олимпийского Резерва (ДЮСШОР),,
way,207874820,Детско-юношеская спортивная школа №1,,
way,397937078,Детско-юношеская спортивная школа №6,,
way,242185390,Детско-юношеская школа олимп. резерва № 9 по вольной борьбе и баскетболу,,
way,603428130,Динамо-Юни,,
node,3870607433,Дом Спорта,,
way,549032668,Дом гандбола,,
node,3408505378,"Зал ""Спарта""",,
node,2893441691,Зал Борьбы,,
way,27896617,Зал кикбоксинга,,
node,6144830828,Игровой зал,,
node,5236365724,Империя силы,,
node,6815543206,Инклюзивный центр по продвижению здорового образа жизни,,
node,5038845718,Инфинити,,
node,277245234,"Йога-Студия ""Аджна""",,
way,542153028,КОСТЮКОВКА-СПОРТ,,
way,312644700,КСК Аргамак,,
node,6700823537,Канатный парк,,
way,114823142,Картинг клуб «Вираж»,,
node,3081959339,Картинг-клуб «Луговая»,,
way,226847245,Квон,,
node,4271736793,Киокушинкай Карате,,
node,8806106474,Клуб практической стрельбы,,
way,235466620,Комплекс Плоскостных Спортсооружений КУП Физкультура и Здоровье,,
node,4349424189,"Конеферма КХ ""Манул""",,
node,4810114617,"Конно-исторический клуб ""Золотая шпора""",,
way,51074026,Конно-спортивный манеж,,
node,4794787675,"Конюшня в Тарасово ""Табун""",,
node,5352188522,Коробчицкий Олимп,,
way,338332860,Корт 1,,
way,362421768,Корт 1,,
way,1024153421,Корт 10,,
way,338332862,Корт 2,,
way,362421766,Корт 2,,
way,362421767,Корт 3,,
way,1024153414,Корт 3,,
way,338332859,Корт 4,,
way,1024153424,Корт 5,,
way,338332861,Корт 6,,
way,1024153418,Корт 7,,
way,1024153419,Корт 8,,
way,1024153420,Корт 9,,
node,612437417,Кристаллин,,
way,95973307,Крытый ледовый Каток,,
way,330343801,Культурно-спортивный комплекс,,
node,5038847644,Лайт,,
way,368585599,Левады отделения проката лошадей,,
way,52018044,Ледовая Арена,,
way,32444059,"Ледовый каток ""Раубичи""",,
way,86003723,Лукодром,,
way,971211736,Лыжероллерная трасса,,
way,270041891,Лыжная база,,
way,257344309,Лыжный спуск,,
node,1382081592,МАКСИ,,
node,8749709726,МООТ Чу чхе таэквондо,,
way,25319028,Манеж,,
node,6690792886,Маугли Парк,,
way,312756198,Мини Кольца на Кошевого,,
way,510460135,Минский аэроклуб ДОСААФ,,
way,438618575,Мотокроссовый трек,,
node,9152484935,Оздоровительный центр ПТК «Азотсервис»,,
way,540698410,Олимпик Арена,,
way,138944821,Олимпик-2011,,
way,718199029,Оранжевый атом,,
way,459047206,"Отделение троеборья ГС УСУ ""МО ЦОР по КС и СП""",,
node,7101930114,ПУЛя,,
way,979807010,Паласа перашкодаў,,
way,86761239,Палац спорту «Магілёў»,,
way,428906944,Парк активного отдыха COLT,,
way,483492714,Паркур-городок,,
way,700657423,Пейнтбольная площадка,,
node,8918575536,Перекладина,,
way,420359042,"Пинская СДЮШОР по гребным и парусным видам спорта ППО УО ""ПалесГУ",,
way,893654163,Площадка для баскетбола,,
node,7328938927,Площадка для воркаута,,
node,7340703831,Площадка для воркаута,,
way,483492716,Площадка для воркаута,,
way,785040971,Площадка для воркаута,,
way,785040973,Площадка для воркаута,,
way,517237778,Площадка для игры в айсшток,,
way,483492711,Площадка для минифутбола,,
way,366135745,Площадка для мотобола,,
way,868135787,Площадка для панна-футбола,,
way,483492713,Площадка для стритбола,,
way,483492704,Площадка для физически ослабленных лиц,,
way,416783378,Площадка страйкбола,,
way,240658765,Пляжный волейбол,,
way,711003211,Пляжный футбол,,
way,693172954,Пневматический тир,,
way,173948368,Поле для минифутбола,,
node,3879021961,РеЖим,,
way,408562171,Резервное стрельбище,,
way,832870199,Республиканский спортивно-технический центр ДОСААФ,,
node,593622494,Рефлекс,,
node,9817795980,Реформа,,
way,243971814,"СДЮШОР ""Пуща""",,
way,29125767,СДЮШОР по Футболу,,
way,36345438,СДЮШОР по борьбе,,
node,4349589796,СДЮШОР по спортивной гимнастике и акробатике,,
way,260172618,СДЮШОР №3,,
node,1147998397,СДЮШОР № 8,,
way,261721369,СОШ 94,,
way,549351704,СШ №22,,
node,5346307381,Садхана,,
node,4423337654,Сауна/Бильярд,,
node,5039367825,Сафонов,,
way,365247452,Сетка,,
node,3765510840,Скалодром,,
node,6862403045,Скалодром «Трапеция»,,
node,3766184212,Скалодром Гелиос,,
node,7101641185,Скалодром Плато,,
node,3765510841,Скалодром ФОЦ,,
node,3766184211,Скалодром ЦКЭ,,
node,9207323313,Скаут парк,,
way,1057724005,Скейт-пакр,,
way,843142807,Скейтпарк,,
way,314970111,Спорт комплекс,,
way,48535902,Спортзал ОФУТ,,
way,112169098,Спортивная база клуба «Ислочь»,,
way,112169181,Спортивная база клуба «Ислочь»,,
way,144001650,Спортивная площадка БГМК,,
node,5806552572,Спортивная школа плавания Swimming.by,,
