osm_type,osm_id,name,name:be,name:ru
node,3253583661,ATM Беларусбанк,Беларусбанк,Беларусбанк
node,4927350142,БелИнвестБанк,БелІнвестБанк,Белинвестбанк
node,4972456618,БелИнвестБанк,БелІнвестБанк,Белинвестбанк
node,305676351,Белагропромбанк,Белаграпрамбанк,Белаграпрамбанк
node,306064038,Белагропромбанк,Белаграпрамбанк,Белаграпрамбанк
node,306064999,Белагропромбанк,Белаграпрамбанк,Белаграпрамбанк
node,306065173,Белагропромбанк,Белаграпрамбанк,Белаграпрамбанк
node,306066927,Белагропромбанк,Белаграпрамбанк,Белаграпрамбанк
node,460382937,Белагропромбанк,Белаграпрамбанк,Белаграпрамбанк
node,470019350,Белагропромбанк,Белаграпрамбанк,Белаграпрамбанк
node,471769110,Белагропромбанк,Белаграпрамбанк,Белаграпрамбанк
node,621251798,Белагропромбанк,Белаграпрамбанк,Белаграпрамбанк
node,767309011,Белагропромбанк,Белаграпрамбанк,Белаграпрамбанк
node,770135695,Белагропромбанк,Белаграпрамбанк,Белаграпрамбанк
node,823149018,Белагропромбанк,Белаграпрамбанк,Белаграпрамбанк
node,890417745,Белагропромбанк,Белаграпрамбанк,Белаграпрамбанк
node,1235105848,Белагропромбанк,Белаграпрамбанк,Белаграпрамбанк
node,1343517962,Белагропромбанк,Белаграпрамбанк,Белаграпрамбанк
node,1359979854,Белагропромбанк,Белаграпрамбанк,Белаграпрамбанк
node,1402632580,Белагропромбанк,Белаграпрамбанк,Белаграпрамбанк
node,1539678660,Белагропромбанк,Белаграпрамбанк,Белаграпрамбанк
node,1805995568,Белагропромбанк,Белаграпрамбанк,Белаграпрамбанк
node,1818034046,Белагропромбанк,Белаграпрамбанк,Белаграпрамбанк
node,1837911343,Белагропромбанк,Белаграпрамбанк,Белаграпрамбанк
node,1879554593,Белагропромбанк,Белаграпрамбанк,Белаграпрамбанк
node,2187017063,Белагропромбанк,Белаграпрамбанк,Белаграпрамбанк
node,2202215313,Белагропромбанк,Белаграпрамбанк,Белаграпрамбанк
node,2331792556,Белагропромбанк,Белаграпрамбанк,Белаграпрамбанк
node,2368715692,Белагропромбанк,Белаграпрамбанк,Белаграпрамбанк
node,2479757678,Белагропромбанк,Белаграпрамбанк,Белаграпрамбанк
node,2481967011,Белагропромбанк,Белаграпрамбанк,Белаграпрамбанк
node,2481967202,Белагропромбанк,Белаграпрамбанк,Белаграпрамбанк
node,2509289370,Белагропромбанк,Белаграпрамбанк,Белаграпрамбанк
node,2558461395,Белагропромбанк,Белаграпрамбанк,Белаграпрамбанк
node,2609093798,Белагропромбанк,Белаграпрамбанк,Белаграпрамбанк
node,2619990816,Белагропромбанк,Белаграпрамбанк,Белаграпрамбанк
node,2655966348,Белагропромбанк,Белаграпрамбанк,Белаграпрамбанк
node,2863957983,Белагропромбанк,Белаграпрамбанк,Белаграпрамбанк
node,3047593633,Белагропромбанк,Белаграпрамбанк,Белаграпрамбанк
node,3060580508,Белагропромбанк,Белаграпрамбанк,Белаграпрамбанк
node,3087297973,Белагропромбанк,Белаграпрамбанк,Белаграпрамбанк
node,3140396649,Белагропромбанк,Белаграпрамбанк,Белаграпрамбанк
node,3142326495,Белагропромбанк,Белаграпрамбанк,Белаграпрамбанк
node,3212166856,Белагропромбанк,Белаграпрамбанк,Белаграпрамбанк
node,3259110619,Белагропромбанк,Белаграпрамбанк,Белаграпрамбанк
node,3268841561,Белагропромбанк,Белаграпрамбанк,Белаграпрамбанк
node,3295057857,Белагропромбанк,Белаграпрамбанк,Белаграпрамбанк
node,3390611502,Белагропромбанк,Белаграпрамбанк,Белаграпрамбанк
node,3390611503,Белагропромбанк,Белаграпрамбанк,Белаграпрамбанк
node,3390611504,Белагропромбанк,Белаграпрамбанк,Белаграпрамбанк
node,3390611505,Белагропромбанк,Белаграпрамбанк,Белаграпрамбанк
node,3390611506,Белагропромбанк,Белаграпрамбанк,Белаграпрамбанк
node,3390611507,Белагропромбанк,Белаграпрамбанк,Белаграпрамбанк
node,3390611508,Белагропромбанк,Белаграпрамбанк,Белаграпрамбанк
node,3673829398,Белагропромбанк,Белаграпрамбанк,Белаграпрамбанк
node,3686411916,Белагропромбанк,Белаграпрамбанк,Белаграпрамбанк
node,3719986279,Белагропромбанк,Белаграпрамбанк,Белаграпрамбанк
node,3770889404,Белагропромбанк,Белаграпрамбанк,Белаграпрамбанк
node,3780892358,Белагропромбанк,Белаграпрамбанк,Белаграпрамбанк
node,3804547061,Белагропромбанк,Белаграпрамбанк,Белаграпрамбанк
node,4012983850,Белагропромбанк,Белаграпрамбанк,Белаграпрамбанк
node,4171010489,Белагропромбанк,Белаграпрамбанк,Белаграпрамбанк
node,4231720592,Белагропромбанк,Белаграпрамбанк,Белаграпрамбанк
node,4258499218,Белагропромбанк,Белаграпрамбанк,Белаграпрамбанк
node,4366597891,Белагропромбанк,Белаграпрамбанк,Белаграпрамбанк
node,4433201691,Белагропромбанк,Белаграпрамбанк,Белаграпрамбанк
node,4457509740,Белагропромбанк,Белаграпрамбанк,Белаграпрамбанк
node,4502594274,Белагропромбанк,Белаграпрамбанк,Белаграпрамбанк
node,4510863996,Белагропромбанк,Белаграпрамбанк,Белаграпрамбанк
node,4685799291,Белагропромбанк,Белаграпрамбанк,Белаграпрамбанк
node,4807326229,Белагропромбанк,Белаграпрамбанк,Белаграпрамбанк
node,4838676406,Белагропромбанк,Белаграпрамбанк,Белаграпрамбанк
node,5017676040,Белагропромбанк,Белаграпрамбанк,Белаграпрамбанк
node,5052269032,Белагропромбанк,Белаграпрамбанк,Белаграпрамбанк
node,5064349880,Белагропромбанк,Белаграпрамбанк,Белаграпрамбанк
node,5154067889,Белагропромбанк,Белаграпрамбанк,Белаграпрамбанк
node,5241780862,Белагропромбанк,Белаграпрамбанк,Белаграпрамбанк
node,5241780863,Белагропромбанк,Белаграпрамбанк,Белаграпрамбанк
node,5335539696,Белагропромбанк,Белаграпрамбанк,Белаграпрамбанк
node,5335539697,Белагропромбанк,Белаграпрамбанк,Белаграпрамбанк
node,5696958633,Белагропромбанк,Белаграпрамбанк,Белаграпрамбанк
node,5802186337,Белагропромбанк,Белаграпрамбанк,Белаграпрамбанк
node,6698386663,Белагропромбанк,Белаграпрамбанк,Белаграпрамбанк
node,6727616544,Белагропромбанк,Белаграпрамбанк,Белаграпрамбанк
node,7007501336,Белагропромбанк,Белаграпрамбанк,Белаграпрамбанк
node,7030762729,Белагропромбанк,Белаграпрамбанк,Белаграпрамбанк
node,7479927800,Белагропромбанк,Белаграпрамбанк,Белаграпрамбанк
node,7479927802,Белагропромбанк,Белаграпрамбанк,Белаграпрамбанк
node,7484755896,Белагропромбанк,Белаграпрамбанк,Белаграпрамбанк
node,7484755898,Белагропромбанк,Белаграпрамбанк,Белаграпрамбанк
node,7484755899,Белагропромбанк,Белаграпрамбанк,Белаграпрамбанк
node,7484755900,Белагропромбанк,Белаграпрамбанк,Белаграпрамбанк
node,7484755954,Белагропромбанк,Белаграпрамбанк,Белаграпрамбанк
node,7484755955,Белагропромбанк,Белаграпрамбанк,Белаграпрамбанк
node,7484755956,Белагропромбанк,Белаграпрамбанк,Белаграпрамбанк
node,7484755957,Белагропромбанк,Белаграпрамбанк,Белаграпрамбанк
node,7484755958,Белагропромбанк,Белаграпрамбанк,Белаграпрамбанк
node,7484755959,Белагропромбанк,Белаграпрамбанк,Белаграпрамбанк
node,7484755960,Белагропромбанк,Белаграпрамбанк,Белаграпрамбанк
node,7502002393,Белагропромбанк,Белаграпрамбанк,Белаграпрамбанк
node,7545812256,Белагропромбанк,Белаграпрамбанк,Белаграпрамбанк
node,7548236997,Белагропромбанк,Белаграпрамбанк,Белаграпрамбанк
node,9129400829,Белагропромбанк,Белаграпрамбанк,Белаграпрамбанк
node,9133035364,Белагропромбанк,Белаграпрамбанк,Белаграпрамбанк
node,9146558824,Белагропромбанк,Белаграпрамбанк,Белаграпрамбанк
node,9162673619,Белагропромбанк,Белаграпрамбанк,Белаграпрамбанк
node,9385070267,Белагропромбанк,Белаграпрамбанк,Белаграпрамбанк
node,9714281626,Белагропромбанк,Белаграпрамбанк,Белаграпрамбанк
node,305681450,Беларусбанк 524/297,Беларусбанк,Беларусбанк
node,2620014306,Белсвиссбанк,Белсвісбанк,Технобанк
node,305685781,Приорбанк;БелВЭБ,Прыёрбанк,Приорбанк
