osm_type,osm_id,name,name:be,name:ru
node,5635310295,Idea банк,,
node,6269404288,Агропрмбанк,,
node,4331221032,БПС- Сбербанк,,
node,4200619990,БПС-сбербанк,,
node,4226906094,БПС-сбербанк,,
node,4374649212,Банк ВТБ (Беларусь),,
node,445385483,Банк Развития,,
node,4263185622,Банк Решение №01/03,,
node,4592813245,Банк Торговый капитал,,
node,4586873594,БанкРазвития,,
node,4263185623,"БелВЭБ РКЦ ""Припять""",,
node,4803601460,БелГазПромБанк,,
node,4224484463,БелГазпромБанк ЦБУ №703,,
node,4525807419,Белагропром банк,,
node,4111433491,Белвнешэконом банк,,
node,4560775822,Белгазпромбанк,,
node,4263185626,Белгазпромбанк ЦБУ №102,,
node,4031973662,Белинвестбанк (закрыт),,
node,2582408195,Белпромстройбанк,,
node,6117166985,Бпс-банк,,
node,4287505591,Бта банк,,
node,4238993043,ВТБ 24,,
node,4263185618,ВТБ-Беларусь,,
node,4274870632,ВТБ-банк ДО №505,,
node,4296766757,Вамденьги,,
node,4552761198,ЕвроторгИнвестБанк ЦБУ 708,,
node,4284482548,МТБанк - ЦБУ 5,,
node,7716745325,"МТБанк, ОП №34",,
node,7716745294,"МТБанк, РКЦ №34",,
node,7716745355,"МТБанк, РКЦ №9",,
node,7716745328,"МТБанк, УРМ-233",,
node,7716745330,"МТБанк, УРМ-47",,
node,4284450108,"МТБанк, ЦБУ №4 ""Милавица""",,
node,3887404707,МТбанк,,
node,5024614027,Москва-Минск ОК №315,,
node,6420969701,"ОАО ""БПС-Сбербанк"" Региональная дирекция №600",,
node,5310700856,ПриватБанк,,
node,5258018625,РКЦ √°9 Идея банк,,
node,6248971785,РРБ,,
node,8572050927,РРБ,,
node,5166252576,Рассчетно-кассовый центр Мозырского ЖКХ,,
node,4966759732,"ТЦ ""Виктория""",,
node,8237015560,УРМ ЦБУ №604,,
node,4731178521,ЦБУ Абсолютбанк,,
node,2909676554,"ЦБУ №505 ОАО ""Белгазпромбанк""",,
node,4162575089,ЦБУ №707 Белгазпромбанк,,
node,7238184385,Эксперт Кредит,,
node,7301358685,Эксперт Кредит,,
node,8375073977,ЮниКредит Банк,,
node,3613563764,"банкомат ""БПС - банк""",,
