osm_type,osm_id,name,name:be,name:ru
way,783687031,БСБ-Банк,,
node,2457089508,Банк БелВЭБ №670/1,,
node,1933746886,БелГазпромБанк,,
node,3190820131,"Беларусбанк, обменный пункт №614/5",,
node,702578061,Белинвестбанк №13,,
node,625828388,ВТБ Беларусь,,
node,625828399,ВТБ Беларусь,,
node,4316412290,ОАО Технобанк Обменный пункт 102,,
node,5663256182,ОП №106 Технобанк,,
node,4695353198,ОП №4 Беларусбанк,,
node,4442603114,Обмен Валют,,
node,860964563,Обмен валют (временно не работает),,
node,4253222391,Обмен валюты,,
node,9738545426,Обменник,,
node,3933242972,Обменник ВТБ,,
node,1121996627,Обменный пункт,,
node,1121996966,Обменный пункт,,
node,7131833903,Обменный пункт № 84,,
node,6108842538,Обменный пункт №323/13 Беларусбанк,,
node,9880725903,ОптиКурс,,
node,7176798988,ПОВ №29,,
node,2551845942,Пункт обмена валют БелСвиссБанк,,
node,3902797449,"Пункт обмена валют №11 ОАО ""БНБ-Банк""",,
node,3902942226,"Пункт обмена валют №5 ОАО ""БНБ-Банк""",,
node,7667529634,РКЦ №31,,
node,10099198754,РРБ Банк,,
node,599708403,Технобанк ОП №88,,
node,4051670393,"Технобанк, обменный пунк №81",,
node,794364258,ФрансаБанк,,
node,794364654,ФрансаБанк,,
node,4273605591,ФрансаБанк ОП №2,,
node,7223125785,Франсабанк обмен валют №28,,
node,4220077295,банк Москва-Минск,,
way,208834349,отделение №714/05 АСБ Беларусбанк,,
node,6108842537,№323/14 Беларусбанк,,
