osm_type,osm_id,name,name:be,name:ru
node,2772232212,Абсолютбанк,Абсалютбанк,Абсолютбанк
node,2457089508,Банк БелВЭБ №670/1,Банк БелЗЭБ №670/1,Банк БелВЭБ №670/1
node,3696309389,БелВЭБ,Абмен валют,БелВЭБ
node,1933746886,БелГазпромБанк,БелГазпрамБанк,БелГазпромБанк
node,470544276,Белагропромбанк,Белаграпрамбанк,Белагропромбанк
node,625828397,Белагропромбанк,Белаграпрамбанк,Белагропромбанк
node,3190820131,"Беларусбанк, обменный пункт №614/5","Беларусбанк, абменны пункт №614/5","Беларусбанк, обменный пункт №614/5"
node,621163477,Беларусьбанк,Беларусбанк,Беларусьбанк
node,383737544,Белинвестбанк,Белінвестбанк,Белинвестбанк
node,860814189,Белинвестбанк,Белінвестбанк,Белинвестбанк
node,860904798,Белинвестбанк,Белінвестбанк,Белинвестбанк
node,861267358,Белинвестбанк,Белінвестбанк,Белинвестбанк
node,3034012335,Белинвестбанк,Белінвестбанк,Белинвестбанк
node,3295054033,Белинвестбанк,Белінвестбанк,Белинвестбанк
node,3949292062,Белинвестбанк,Белінвестбанк,Белинвестбанк
node,5192171385,Белинвестбанк,Белінвестбанк,Белинвестбанк
node,8819972444,Белинвестбанк,Белінвестбанк,Белинвестбанк
node,2197020320,Белинвестбанк касса №85,Белінвестбанк каса №85,Белинвестбанк касса №85
node,702578061,Белинвестбанк №13,Белінвестбанк №13,Белинвестбанк №13
node,2500768958,Белорусский народный банк,Беларускі народны банк,Белорусский народный банк
node,3902797451,Белорусский народный банк,Беларускі народны банк,Белорусский народный банк
node,3902803881,Белорусский народный банк,Беларускі народны банк,Белорусский народный банк
node,4432977630,Белорусский народный банк,Беларускі народны банк,Белорусский народный банк
node,7670730920,Белорусский народный банк,Беларускі народны банк,Белорусский народный банк
node,7670730921,Белорусский народный банк,Беларускі народны банк,Белорусский народный банк
node,7670730923,Белорусский народный банк,Беларускі народны банк,Белорусский народный банк
node,7670730924,Белорусский народный банк,Беларускі народны банк,Белорусский народный банк
node,7670730925,Белорусский народный банк,Беларускі народны банк,Белорусский народный банк
node,7670730926,Белорусский народный банк,Беларускі народны банк,Белорусский народный банк
node,7670730927,Белорусский народный банк,Беларускі народны банк,Белорусский народный банк
node,7670730929,Белорусский народный банк,Беларускі народны банк,Белорусский народный банк
node,7670730930,Белорусский народный банк,Беларускі народны банк,Белорусский народный банк
node,7670730939,Белорусский народный банк,Беларускі народны банк,Белорусский народный банк
node,625828388,ВТБ Беларусь,ЗГБ Беларусь,ВТБ Беларусь
way,128109280,Вектор,Вектар,Вектор
node,2334520071,Евробанк,Еўрабанк,Евробанк
node,3303650070,Идея Банк,Ідэя Банк,Идея Банк
node,4471534099,Идея Банк,Ідэя Банк,Идея Банк
node,4521706012,Идея Банк,Ідэя Банк,Идея Банк
node,5184103206,Идея Банк,Ідэя Банк,Идея Банк
node,4316412290,ОАО Технобанк Обменный пункт 102,ААТ Тэхнабанк Абменны пункт 102,ОАО Технобанк Обменный пункт 102
node,5663256182,ОП №106 Технобанк,АП №106 Тэхнабанк,ОП №106 Технобанк
node,4695353198,ОП №4 Беларусбанк,АП №4 Беларусбанк,ОП №4 Беларусбанк
node,4442603114,Обмен Валют,Абмен Валют,Обмен Валют
node,305679893,Обмен валют,Абмен валют,Обмен валют
node,1331457055,Обмен валют,Абмен валют,Обмен валют
node,4271624692,Обмен валют,Абмен валют,Обмен валют
node,860964563,Обмен валют (временно не работает),Абмен валют (часова не працуе),Обмен валют (временно не работает)
node,11377552244,Обмен валют Белинвестбанк,Абмен валют Белінвестбанк,Обмен валют Белинвестбанк
node,4253222391,Обмен валюты,Абмен валюты,Обмен валюты
node,9738545426,Обменник,Абменнік,Обменник
