osm_type,osm_id,name,name:be,name:ru
way,155967605,AMI мебель,,АМИ мебель
way,243597337,AMI мебель,,АМИ мебель
way,313224372,AMI мебель,,АМИ мебель
way,491792629,AMI мебель,,АМИ мебель
way,926285708,Dомино,,Домино
way,449685702,Автобаня,,Авто Баня
way,171126135,Автовокзал Довск,,Автостанция Довск
way,288205784,Автовыбор,,Автовыбор магазин автозапчастей
way,260418593,Автомастерская,,Автомастерская TRW
way,377264209,Амбар-Ледовня,,Амбар
way,466971519,Апельсин,,Кафе Апельсин
way,456188164,Артём,,Доброном
way,205450266,Асобина,,Асабина
way,66580504,Белоруснефть № 17,,Белоруснефть
way,209182016,Ветснаб,,"ДП ""Кричевский зооветснаб"""
way,41363125,ГРОВД,,РОВД
way,759212444,Газпромнефть,,Газпромнефть №29
node,1560676472,Гараж-каретная,,Гараж
way,760400126,Гермес #2,,Гермес №2
way,136655016,Гомельский государственный колледж искусств имени Н.Ф. Соколовского,,Гомельский государственный колледж искусств имени Н.Ф. Соколовскогония
way,107282925,Горвоенкомат,,Военный комиссариат города Гомеля
way,106992804,"Гостиница ""Молодечно""",,Молодечно
way,371498661,Гостиный Двор Полоцк,,Гостиный Двор
way,60758521,Грошык,,Грошик
way,360370927,Грошык,,Грошик
way,64044754,Дарвиши,,Дарвиши плюс
way,25320914,Департамент охраны МВД РБ Заводской отдел (г.Минска),,Заводской отдел (г.Минска) Департамента охраны МВД Республики Беларусь
way,109200651,Департамет охраны МВД РБ,,Молодечненский отдел Департамента охраны МВД РБ
way,203707019,Детский сад.,,Детский сад
way,209166647,Дом культуры ЖД,,Клуб железнодорожный
way,576440699,Дорстроймонтажтрест,,"ОАО ""Дорстроймонтажтрест"""
way,100792927,"Евангельская церковь ""Благодать"", г. Орша",,Церковь Благодать
way,62147936,Евроопт Market,,Евроопт Маркет
way,71224643,Евроопт Market,,Евроопт Маркет
way,84189431,Евроопт Market,,Евроопт Маркет
way,85762306,Евроопт Market,,Евроопт Маркет
way,210262814,Евроопт Market,,Евроопт Маркет
way,479163748,Евроопт Market,,Евроопт Маркет
way,722230183,Евроопт Market,,Евроопт Маркет
way,61192374,Евроопт Super,,Евроопт Супер
way,201645306,Евроопт Super,,Евроопт Супер
way,265945940,Евроопт Super,,Евроопт Супер
way,288570860,Евроопт Super,,Евроопт Супер
way,388184049,Евроопт Super,,Евроопт Супер
way,300916139,Евроопт Минимаркет,,Евроопт
way,378292903,Евроопт Минимаркет,,Евроопт
way,430020311,Евроопт Минимаркет,,Евроопт
way,830711055,Евроопт Минимаркет,,Евроопт
way,834029839,Евроопт Минимаркет,,Евроопт
way,1021615335,Евроопт Минимаркет,,Евроопт
way,299314204,Женский фитнес-клуб,,Фитнес-клуб на Смоленской
way,754601327,"Загородный клуб ""Поляна""",,"Загородный клуб-ресторан ""Поляна"""
way,365067253,Заготовительный магазин № 2,,Заготовительный
way,242770120,Златка,,Санта
node,4184917016,"КСК ""Девайс""",,Девайс
