osm_type,osm_id,name,name:be,name:ru
way,25437054,"""Минсктранс, автобусный парк 5"" Общежитие 6",,
way,25430848,10 общежитие БНТУ,,
way,25430847,11 общежитие БНТУ,,
way,25430846,12 общежитие БНТУ,,
way,27900000,2-е общежитие ВГТУ,,
way,27899945,3-е общежитие ВГТУ,,
way,25430828,9 общежитие БНТУ,,
way,86765066,Інтернат №2,,
way,25323232,Інтэрнат 2,,
way,86756725,Інтэрнат ААТ «МАЗ» «Завод «Магілёўтрансмаш»,,
way,86760625,Інтэрнат №10 КУП «ЖРЭУ Ленінскага раёна г. Магілёва»,,
way,86760009,Інтэрнат №2 МДУ імя А.А. Куляшова,,
way,86757086,Інтэрнат №25 КУП «ЖРЭУ Ленінскага раёна г. Магілёва»,,
way,25430608,БГЭУ общежиетие №6,,
way,25322937,БГЭУ общежитие №2,,
way,25430606,БГЭУ общежитие №5,,
way,49131515,Женское общежитие колледжа,,
way,1071687731,Жильё сотрудников лагеря,,
way,25430852,Интернат-Общежитие №6 БНТУ,,
way,27899896,Малосемейное общежитие № 6,,
way,480183393,Мужское общежитие колледжа,,
way,25435839,"ОАО ""Минский мясокомбинат"", общежитие №1",,
way,25436236,"ОАО ""Минский мясокомбинат"", общежитие №2",,
way,25324587,Обещежитие минского государственного архитектурно-строительного колледжа,,
way,25324233,Общежитие,,
way,25391296,"Общежитие ""Белучцентрстром""",,
way,192937861,"Общежитие ""ВолМет""",,
way,29133546,"Общежитие ""Гроднопромстрой""",,
way,29133513,"Общежитие ""Динамо-програм""",,
way,29133494,"Общежитие ""Областная Филармония""",,
relation,3825153,"Общежитие ""Строительно-монтажный поезд №367 на ст.Минск"", ОАО ""Дорстроймонтажтрест""",,
way,29133481,"Общежитие ""Торговый дом Неман""",,
way,25432792,Общежитие # 3 Минсктранс филиал Троллейбусный парк # 2,,
way,330347446,Общежитие 3,,
way,330347447,Общежитие 4,,
way,192937905,Общежитие АП-4,,
way,29125634,Общежитие Азот,,
way,29125640,Общежитие Азот,,
way,29130895,Общежитие Азот,,
way,29148687,Общежитие Азот,,
way,29148688,Общежитие Азот,,
way,29149743,Общежитие Азот,,
way,29149784,Общежитие Азот,,
way,29153097,Общежитие Азот,,
way,42136600,Общежитие Азот,,
way,176345731,Общежитие Азот,,
way,307366251,Общежитие Азот,,
way,25430832,Общежитие Академии управлени при Президенте РБ,,
way,29130066,Общежитие Аульское Межрайобъединение,,
way,25435595,Общежитие БГМК,,
way,175319512,Общежитие БУКД ПОЖФ Ленинского района,,
way,70384827,Общежитие БУКПОЖФ Первомайского района,,
way,25432735,Общежитие БелМАПО №4,,
way,25437565,Общежитие Белорусского государственного колледжа промышленных и строительных материалов,,
way,25431315,Общежитие Белорусского государственного экономического университета,,
way,25430348,Общежитие Белорусской Государственной Филармонии,,
way,25436747,Общежитие Белэнергоремналадка,,
way,52017998,Общежитие Берёзовского ЖКХ,,
way,239642643,Общежитие Берёзовской ГРЭС,,
way,284094710,Общежитие ГГТУ,,
way,284094715,Общежитие ГГТУ,,
way,62764183,Общежитие ГГТУ №3,,
way,29125186,Общежитие ГГЭК,,
way,83915950,Общежитие ГОУ Брестский университет им. А.С. Пушкина,,
way,397498793,Общежитие ГОУ Брестский университет им. А.С. Пушкина,,
way,29125314,Общежитие ГТС,,
way,29129858,Общежитие ГТС,,
way,29150618,Общежитие ГТС,,
way,25426709,"Общежитие ГУП ""Минскпроект""",,
way,25426714,Общежитие ГУП жилищно-ремонтно-эксплуатационного объединения Первомайского района г.Минска,,
way,25321912,Общежитие ГХУ Управления Делами Президента РБ,,
way,25386742,Общежитие ГХУ Управления делами Президента Республики Беларусь,,
way,64742566,Общежитие Гомельского Торгово-Экономического Колледжа,,
way,46687239,Общежитие Гомельского государственного профессионально-технического колледжа бытового обслуживания,,
way,111608219,Общежитие Гродненского государственного политехнического колледжа,,
way,29133383,Общежитие Гродноблсельстрой,,
way,29130163,Общежитие Гродногорстрой,,
way,29130164,Общежитие Гродногорстрой,,
way,229732555,Общежитие Гроднодорожник,,
way,29136495,Общежитие Гродножилстрой,,
way,29129565,Общежитие Гроднопромстрой,,
way,29129568,Общежитие Гроднопромстрой,,
way,29130898,Общежитие Гроднопромстрой,,
way,29133547,Общежитие Гроднопромстрой,,
way,29148546,Общежитие Гроднопромстрой,,
way,29149746,Общежитие Гроднопромстрой,,
way,29149747,Общежитие Гроднопромстрой,,
way,29224447,Общежитие Гроднопромстрой,,
way,29130062,Общежитие Гроднохлебпром,,
way,25428194,Общежитие ЖРЭО Заводского района г. Минска,,
way,399427170,Общежитие ЖРЭУ г.Пинска,,
way,84534390,Общежитие Жлобинавтотранс,,
way,29129569,Общежитие КСМ,,
way,76073472,"Общежитие КУП ""ЖРЭУ""",,
way,25430947,"Общежитие КУП ""Минский Комаровский рынок""",,
way,25438199,"Общежитие КУП ""Минскхлебпром""",,
way,25438340,"Общежитие КУП ""Минскхлебпром""",,
way,29129652,Общежитие Колледж Искусств,,
way,29129655,"Общежитие Колледж техники, технологий и дизайна",,
way,508411350,Общежитие Кричевского государственного профессионального агротехнического колледжа,,
way,25430441,Общежитие МГПК,,
way,62764139,Общежитие МИТСО,,
way,25438215,Общежитие Министерства здравоохранения,,
way,25324275,Общежитие Минского государственного ПТК ДПИ им. Кедышко,,
way,25435520,Общежитие Минского завода гражданской авиации №407,,
way,25436927,Общежитие Минского завода холодильников,,
way,25430350,Общежитие Минского радиотехнического колледжа,,
way,25321650,Общежитие Минского торгового колледжа Белкоопсоюза,,
way,162059316,Общежитие Минской овощной фабрики,,
way,86762455,Общежитие Могилёвского ЧПУП МЕТИЗ,,
way,29125514,Общежитие Музыкального колледжа,,
way,29129600,Общежитие Мясокомбинат,,
way,25426144,Общежитие Мінскі дзяржаўны прафесійны ліцэй № 14,,
way,25429743,Общежитие НПЦ НАНБ МСХ,,
way,449369433,Общежитие НПЦ по картофелеводству,,
way,25436131,"Общежитие ОАО ""Автосила""",,
way,25431313,"Общежитие ОАО ""Амкодор-Белвар""",,
way,239651309,"Общежитие ОАО ""БЭЗ""",,
way,25435843,"Общежитие ОАО ""Белгрузмагистраль""",,
way,52018191,"Общежитие ОАО ""Берёзовский комбинат силикатных изделий""",,
way,52018193,"Общежитие ОАО ""Берёзовский сыродельный комбинат""",,
way,29133457,"Общежитие ОАО ""Гродножилстрой""",,
way,25429717,"Общежитие ОАО ""Зорина""",,
way,25428204,"Общежитие ОАО ""Минский подшипниковый завод""",,
way,41141116,"Общежитие ОАО ""Нафтан"" №2",,
way,41102186,"Общежитие ОАО ""Нафтан"" №5",,
way,25434917,"Общежитие ОАО ""Управление механизации №79""",,
way,25434918,"Общежитие ОАО ""Управление механизации №88""",,
way,27900632,Общежитие ОАО «Вистан»,,
way,372360401,Общежитие ОАО «Витязь»,,
way,25432793,Общежитие ОАО «Галантэя»,,
way,25435298,Общежитие ОАО «Полиграфический комбинат имени Якуба Коласа»,,
way,282524040,Общежитие ОАО “Пуховичский комбинат хлебопродуктов”,,
way,25436129,"Общежитие ООО ""Минский вагоноремонтный завод""",,
way,48535897,Общежитие ОФУТ,,
way,29126062,Общежитие Облпотребобщества,,
way,29133298,Общежитие Овощная Фабрика,,
way,41141112,Общежитие ПГУ №1,,
way,204085611,Общежитие ПМК,,
way,98715331,Общежитие ПМК - 89,,
way,25430343,Общежитие ПМК №1 ОАО СМТ №8,,
way,210206174,Общежитие ПМК №266266,,
way,29144719,Общежитие Политехнический колледж,,
way,27901792,"Общежитие РУП ""Белпочта""",,
way,25436128,"Общежитие РУП ""Белэнергострой""",,
way,52018192,"Общежитие РУПП ""Берёзатара""",,
way,256940583,Общежитие Радиозавода,,
way,25430952,Общежитие Семейного Типа МПОВТ,,
way,274849313,Общежитие Слонимского колледжа сельскохозяйственного призводства,,
way,29149745,Общежитие Союзпроммонтаж,,
way,29130900,Общежитие Стеклозавода,,
way,76115422,Общежитие Строительно монтажный поезд № 169,,
way,25436332,Общежитие ТЭЦ-4,,
way,29133300,Общежитие Троллейбусное управление,,
way,29125551,Общежитие УЖРЭП,,
way,29130902,Общежитие УЖРЭП,,
way,29133496,Общежитие УЖРЭП,,
way,29148712,Общежитие УЖРЭП,,
way,29357675,Общежитие УЖРЭП,,
way,33415499,"Общежитие УЗ ""МОКБ""",,
way,25435837,"Общежитие УО ""Минский государственный механико-технический профессионально-технический колледж""",,
way,25432791,Общежитие УП Комбинат Школьного Питания Ленинского Района,,
way,25431961,Общежитие УП Минскметрострой,,
way,29129466,Общежитие Фильтр,,
way,29125641,Общежитие Химволокно,,
way,29133293,Общежитие Химволокно,,
way,25391446,Общежитие Центра повышения квалификации руководящих работников и специалистов,,
way,29129583,Общежитие Элод,,
way,25439814,"Общежитие агрокомбината ""Ждановичи""",,
way,25436126,Общежитие академии управления при Президенте Республики Беларусь,,
way,52018231,Общежитие в/ч 97063,,
way,25435302,Общежитие государственного торгов-производственного объединения «Белресурсы»,,
way,25434878,Общежитие департамента охраны и ГУВД Мингорисполкома,,
way,25426327,"Общежитие завода ""Термопласт""",,
way,203046494,Общежитие завода «ВИЗАС»,,
way,119739880,Общежитие индустриально-строительного колледжа,,
way,25436610,Общежитие института почвоведения и агрохимии,,
way,287270296,Общежитие калинковичского молочного комбината,,
way,43914984,Общежитие лицея,,
way,43915004,Общежитие лицея,,
way,51074020,Общежитие лицея,,
way,62764103,Общежитие лицея,,
way,112916599,Общежитие лицея,,
way,264691082,Общежитие лицея,,
way,275730530,Общежитие лицея,,
way,275730556,Общежитие лицея,,
way,316348229,Общежитие лтцея строителей,,
way,39951157,Общежитие медуниверситета №4,,
way,25435838,Общежитие минского государственного профессионального лицея №5 транспортного строительства,,
way,25428198,Общежитие минской ТЭЦ-3,,
way,25327636,Общежитие при Академии управления №1,,
way,160094352,Общежитие санатория,,
way,623923174,Общежитие сотрудников,,
way,623923175,Общежитие сотрудников,,
way,39538652,Общежитие спортивной школы футбольного клуба «Неман»,,
way,234302396,Общежитие стройтреста,,
way,29129597,Общежитие тонкосуконного объединения №1,,
way,25435856,"Общежитие торгово-закупочного КУП ""Партизанское""",,
way,25435554,"Общежитие учреждения образования ""Минский государственный медицинский колледж""",,
way,25438902,"Общежитие филиала ""Автобусный парк №6""",,
way,175319514,"Общежитие филиала ""Бобруйская ТЭЦ-2"" РУП ""Могилевэнерго""",,
way,27901929,Общежитие филиала «Автобусный парк № 1»,,
way,25430954,Общежитие энергетического колледжа,,
way,64742592,Общежитие № 1 БелГУТ,,
way,29129646,Общежитие № 1 Радиоволна,,
way,29129571,Общежитие № 1 УЖРЭП,,
way,29129752,Общежитие № 10 УЖРЭП Ленинского района,,
way,806964978,Общежитие № 11 УЖРЭП Ленинского района,,
way,204647371,Общежитие № 15,,
way,240054357,Общежитие № 2,,
way,49131506,Общежитие № 2 ГГУ,,
way,552575334,Общежитие № 2 Минского метрополитена,,
way,119739899,Общежитие № 2 РУП «Монолит»,,
way,29129570,Общежитие № 2 УЖРЭП,,
way,102549990,Общежитие № 23 ЖРЭУ г. Бреста,,
way,170430854,Общежитие № 28,,
way,25387170,Общежитие № 3 МГЛУ,,
way,29140457,Общежитие № 3 Обувная фабрика Неман,,
way,29129631,Общежитие № 3 УЖРЭП Ленинского района,,
way,1024872735,Общежитие № 4,,
way,64749310,Общежитие № 4 БелГУТ,,
way,29140448,Общежитие № 4 Обувная фабрика Неман,,
way,29129468,Общежитие № 4 УЖРЭП,,
way,29129469,Общежитие № 5 УЖРЭП,,
way,29129467,Общежитие № 6 УЖРЭП,,
way,118133475,Общежитие № 6 УЖРЭП,,
way,29129649,Общежитие № 7 УЖРЭП Ленинского района,,
way,236815680,Общежитие № 8,,
way,248199962,Общежитие № 8 УП Жилздрав,,
way,29129566,Общежитие № 9 УЖРЭП,,
way,25321283,Общежитие №1 БГАТУ,,
node,5702959729,Общежитие №1 БГМУ,,
way,25432736,Общежитие №1 БГПУ им М. Танка,,
way,27899677,Общежитие №1 ВГМУ,,
way,29130060,Общежитие №1 ГГАУ,,
way,49131500,Общежитие №1 ГГУ,,
way,25436122,Общежитие №1 ГУВД Мингорисполкома,,
way,29129751,Общежитие №1 Гроднооблсельстрой,,
way,87608383,"Общежитие №1 КУП ""ЖРЭУ""",,
way,25436572,Общежитие №1 МАПИД,,
way,29129802,Общежитие №1 Медицинского колледжа,,
way,50155335,Общежитие №1 Минского государственного областного колледжа,,
way,25324600,Общежитие №1 Минскстрой,,
way,25436195,"Общежитие №1 ОАО ""Горизонт""",,
way,25435673,"Общежитие №1 ОАО ""Сукно""",,
way,25427808,Общежитие №1 ОАО «Агат»,,
way,93712146,Общежитие №1 ПолесГУ,,
way,41978806,Общежитие №1 СГПТК,,
way,25430421,Общежитие №1 Стройтрест №4,,
way,25437009,"Общежитие №1 УП ""Бытэкс""",,
way,25436914,"Общежитие №1 УП ""Минскоблсельстрой""",,
way,29129627,Общежитие №1 Элод,,
way,25436618,"Общежитие №1 филиала социально-бытового управления ОАО ""Интеграл""",,
way,25324845,Общежитие №11 КУП «Минские городские общежития»,,
way,25439613,"Общежитие №11 филиал ""Минский автовокзал""",,
way,25431124,Общежитие №12 КУП «Минские городские общежития»,,
way,25430827,Общежитие №13 БНТУ,,
way,25430581,Общежитие №13 КУП «Минские городские общежития»,,
way,25431121,Общежитие №14 КУП «Минские городские общежития»,,
way,86984003,Общежитие №16 КУП ЖРЭУ,,
way,995902324,"Общежитие №17 КУП ""ЖРЭУ""",,
way,25436254,Общежитие №2 (Белорусский государственный медицинский университет),,
way,25432740,Общежитие №2 БГПУ им М. Танка,,
way,25430845,Общежитие №2 БГУИР,,
way,610765686,Общежитие №2 БНТУ,,
way,64719158,Общежитие №2 БелГУТ,,
way,58092233,Общежитие №2 БрГУ им. А. С. Пушкина,,
way,29130059,Общежитие №2 ГГАУ,,
way,75664141,Общежитие №2 Горецкого педколледжа,,
way,29124803,"Общежитие №2 Колледж техники, технологий и дизайна",,
way,25324701,Общежитие №2 Минского государственного лингвистического университета,,
way,50155317,Общежитие №2 Минского государственного областного колледжа,,
way,239360440,"Общежитие №2 ОАО ""Берёзовский мясоконсервный комбинат""",,
way,25436191,"Общежитие №2 ОАО ""Горизонт""",,
way,25431317,"Общежитие №2 ОАО ""МПОВТ""",,
way,25431146,Общежитие №2 ОАО «Элема»,,
way,518685246,Общежитие №2 Полоцкий комбинат хлебопродуктов,,
way,330227032,"Общежитие №2 УО ""Жировичский ГАТК""",,
way,25392420,Общежитие №2 УП Жилздрав Мингорисполкома,,
way,25436234,"Общежитие №2 филиала социально-бытового управления ОАО ""Интеграл""",,
way,25429655,"Общежитие №2 электромеханическог завода ОАО ""Агат""",,
way,488279311,"Общежитие №3 ""Белсантехмонтаж-2""",,
way,25432728,Общежитие №3 БГПУ им М. Танка,,
way,25324344,Общежитие №3 БНТУ,,
way,37635786,Общежитие №3 БелМАПО,,
way,84186976,Общежитие №3 БрГУ,,
way,29130447,Общежитие №3 ГГАУ,,
way,25436480,Общежитие №3 МАПИД,,
way,25437118,Общежитие №3 МАПИД,,
way,127980793,Общежитие №3 МГПУ,,
way,25435852,Общежитие №3 Минского железнодорожного узла,,
way,25432026,"Общежитие №3 ОАО ""Камволь""",,
way,25434925,"Общежитие №3 ОАО ""Керамин""",,
way,25430344,"Общежитие №3 ОАО Агат, электромеханический завод",,
way,330227054,"Общежитие №3 УО ""Жировичский ГАТК""",,
way,25391491,"Общежитие №3 филиала социально-бытового управления ОАО ""Интеграл""",,
way,25391166,"Общежитие №4 ""УО БГМУ""",,
way,168539672,Общежитие №4 «Гомельский государственный медицинский университет»,,
way,25431130,Общежитие №4 БГПУ имени Максима Танка,,
way,25430971,Общежитие №4 БНТУ,,
way,29130445,Общежитие №4 ГГАУ,,
way,25431171,Общежитие №4 КУП «Минские городские общежития»,,
way,25322221,Общежитие №4 МАЗ,,
way,25435853,Общежитие №4 Минского железнодорожного узла,,
way,52018085,"Общежитие №4 ОАО ""Берёзовский мясоконсервный комбинат""",,
way,25431090,"Общежитие №4 ОАО ""Минскремстрой""",,
way,25389529,"Общежитие №4 ОАО ""Стройстрест 4""",,
way,25435300,Общежитие №4 ОАО «Керамин»,,
way,330227047,"Общежитие №4 УО ""Жировичский ГАТК""",,
