osm_type,osm_id,name,name:be,name:ru
relation,3010182,Витебский мотороремонтный завод,Маторарамонты завод,
way,322196730,Канализационная насосная станция,Каналізацыйная помпавая станцыя,
way,25320583,Кондитерская фабрика «Слодыч»,"Кандытарская фабрыка ""Слодыч""",
relation,2654060,ОАО завод «ВИЗАС»,ААТ Завод «ВІЗАС»,
way,29830731,"РПУ ""Лиознорайгаз""",РВУ «Лёзнарайгаз»,
way,27900611,Рубикон,Рубікон,
way,97091772,Сан Марко,Сан Марка,
way,35810169,Теплопункт,Цеплапункт,
way,242273147,Теплопункт,Цеплапункт,
way,383433831,Теплопункт,Цеплапункт,
way,246774171,Теплоузел,Цеплавузел,
way,246974570,Теплоузел,Цеплавузел,
way,109586692,Техническая книга,Тэхнічная кніга,
way,155787822,Цех деревообработки,Цэх дрэваапрацоўкі,
way,286832212,прачечная-химчистка «Лотос»,Пральня-хімчыстка «Лотас»,
