osm_type,osm_id,name,name:be,name:ru
way,66846890,ProЗапас,"Універсам ""Цэнтральны""",Универсам
way,287460644,Анастасия,Анастасія Слуцкая,Анастасия Слуцкая
way,426563011,Белагропромбанк,ААТ Белаграпрамбанк,ОАО Белагропромбанк
way,129395769,Белоруснефть №11,Беларуснафта № 11,Белоруснефть № 11
way,129395187,Белоруснефть №48,Беларуснафта № 48,Белоруснефть № 48
way,109229425,Белоруснефть №7,Беларуснафта № 7,Белоруснефть № 7
way,172150160,Веста № 85,Веста № 85,Веста № 85
way,38059903,Дионис,Дыяніс,Дионис-6
way,112695190,Евроопт Hyper,Гіпермаркет Еўраопт,Евроопт Гипер
way,229948625,Евроопт Hyper,Еўраапт Гіпер,Евроопт Гипер
way,458912758,Евроопт Hyper,Еўраапт Гіпер,Евроопт Гипер
way,685090844,Евроопт Hyper,Еўраапт Гіпер,ТЦ Сухарево
way,315813888,Евроопт Hyper,Еўраопт Гіпер,ЕСити
way,306662811,Евроопт Hyper,Еўраопт Гіпер,Евроопт
way,27896551,Евроопт Hyper,Еўраопт Гіпер,Евроопт Гипер
way,30795463,Евроопт Hyper,Еўраопт Гіпер,Евроопт Гипер
way,153740044,Евроопт Hyper,Еўраопт Гіпер,Евроопт Гипер
way,158852458,Евроопт Hyper,Еўраопт Гіпер,Евроопт Гипер
way,172267995,Евроопт Hyper,Еўраопт Гіпер,Евроопт Гипер
way,225203950,Евроопт Hyper,Еўраопт Гіпер,Евроопт Гипер
way,242762208,Евроопт Hyper,Еўраопт Гіпер,Евроопт Гипер
way,274996626,Евроопт Hyper,Еўраопт Гіпер,Евроопт Гипер
way,428443676,Евроопт Hyper,Еўраопт Гіпер,Евроопт Гипер
way,84534285,Евроопт Market,Бруснічка,Брусничка
way,29125543,Евроопт Market,Еўраопт,Евроопт
way,62221975,Евроопт Market,Еўраопт,Евроопт
way,291963670,Евроопт Market,Еўраопт,Евроопт Маркет
way,86764532,Евроопт Market,Еўраопт Маркет,Евроопт
way,148485010,Евроопт Market,Еўраопт Маркет,Евроопт
way,178996178,Евроопт Market,Еўраопт Маркет,Евроопт
way,286659411,Евроопт Market,Еўраопт Маркет,Евроопт
way,300422937,Евроопт Market,Еўраопт Маркет,Евроопт
way,27896664,Евроопт Market,Еўраопт Маркет,Евроопт Маркет
way,29124794,Евроопт Market,Еўраопт Маркет,Евроопт Маркет
way,29133499,Евроопт Market,Еўраопт Маркет,Евроопт Маркет
way,29158443,Евроопт Market,Еўраопт Маркет,Евроопт Маркет
way,30283383,Евроопт Market,Еўраопт Маркет,Евроопт Маркет
way,67019566,Евроопт Market,Еўраопт Маркет,Евроопт Маркет
way,86763376,Евроопт Market,Еўраопт Маркет,Евроопт Маркет
way,86766029,Евроопт Market,Еўраопт Маркет,Евроопт Маркет
way,97434721,Евроопт Market,Еўраопт Маркет,Евроопт Маркет
way,97545602,Евроопт Market,Еўраопт Маркет,Евроопт Маркет
way,124194497,Евроопт Market,Еўраопт Маркет,Евроопт Маркет
way,128160397,Евроопт Market,Еўраопт Маркет,Евроопт Маркет
way,135157370,Евроопт Market,Еўраопт Маркет,Евроопт Маркет
way,144061132,Евроопт Market,Еўраопт Маркет,Евроопт Маркет
way,144879191,Евроопт Market,Еўраопт Маркет,Евроопт Маркет
way,155768301,Евроопт Market,Еўраопт Маркет,Евроопт Маркет
way,169679694,Евроопт Market,Еўраопт Маркет,Евроопт Маркет
way,174514513,Евроопт Market,Еўраопт Маркет,Евроопт Маркет
way,199790777,Евроопт Market,Еўраопт Маркет,Евроопт Маркет
way,199800085,Евроопт Market,Еўраопт Маркет,Евроопт Маркет
way,200216639,Евроопт Market,Еўраопт Маркет,Евроопт Маркет
way,203360667,Евроопт Market,Еўраопт Маркет,Евроопт Маркет
way,204198589,Евроопт Market,Еўраопт Маркет,Евроопт Маркет
way,226853943,Евроопт Market,Еўраопт Маркет,Евроопт Маркет
way,236379895,Евроопт Market,Еўраопт Маркет,Евроопт Маркет
way,280287692,Евроопт Market,Еўраопт Маркет,Евроопт Маркет
way,291752848,Евроопт Market,Еўраопт Маркет,Евроопт Маркет
way,299314219,Евроопт Market,Еўраопт Маркет,Евроопт Маркет
way,306656887,Евроопт Market,Еўраопт Маркет,Евроопт Маркет
way,333038858,Евроопт Market,Еўраопт Маркет,Евроопт Маркет
way,373334686,Евроопт Market,Еўраопт Маркет,Евроопт Маркет
way,378309003,Евроопт Market,Еўраопт Маркет,Евроопт Маркет
way,386132932,Евроопт Market,Еўраопт Маркет,Евроопт Маркет
way,396325385,Евроопт Market,Еўраопт Маркет,Евроопт Маркет
way,508154453,Евроопт Market,Еўраопт Маркет,Евроопт Маркет
way,533154944,Евроопт Market,Еўраопт Маркет,Евроопт Маркет
way,626437512,Евроопт Market,Еўраопт Маркет,Евроопт Маркет
way,829394680,Евроопт Market,Еўраопт Маркет,Евроопт Маркет
way,49845375,Евроопт Super,Бруснічка,Евроопт Супер
way,432465436,Евроопт Super,Бруснічка,Евроопт Супер
way,62299638,Евроопт Super,Еўраопт,Евроопт
way,54524750,Евроопт Super,Еўраопт,Таир
way,284483714,Евроопт Super,Еўраопт Супер,Евроопт
way,25320524,Евроопт Super,Еўраопт Супер,Евроопт super
way,29125380,Евроопт Super,Еўраопт Супер,Евроопт Супер
way,30861395,Евроопт Super,Еўраопт Супер,Евроопт Супер
way,163603751,Евроопт Super,Еўраопт Супер,Евроопт Супер
way,173487876,Евроопт Super,Еўраопт Супер,Евроопт Супер
way,183944925,Евроопт Super,Еўраопт Супер,Евроопт Супер
way,296403758,Евроопт Super,Еўраопт Супер,Евроопт Супер
way,300961487,Евроопт Super,Еўраопт Супер,Евроопт Супер
way,311420754,Евроопт Super,Еўраопт Супер,Евроопт Супер
way,358304416,Евроопт Super,Еўраопт Супер,Евроопт Супер
way,361074712,Евроопт Super,Еўраопт Супер,Евроопт Супер
way,402605326,Евроопт Super,Еўраопт Супер,Евроопт Супер
way,681361571,Евроопт Super,Еўраопт Супер,Евроопт Супер
way,712992744,Евроопт Super,Еўраопт Супер,Евроопт Супер
way,952071439,Евроопт Super,Еўраопт Супер,Евроопт Супер
way,337324413,Корона,"ГЦ ""Карона""",ТЦ «Корона»
way,75284962,Корона,Гандлёвы цэнтр «Карона»,Торговый центр «Корона»
way,170099077,Магазин,Магазін,Магазин белкопсоюз
way,239750681,"Магазин №3 ""Пачастунак з Ваўкавыска""","Крама №3 ""Пачастунак з Ваўкавыска""","Магазин №3 ""Угощение из Волковыска"""
way,53037722,Немига,Няміга,Немига-3
way,261520697,Остров чистоты и вкуса,Востраў чысціні і смаку,Остров чистоты
way,367047181,Покровский,Пакроўскі,Парковский
way,392011121,Полесье,Прадукты,Продукты
way,98988845,Продукты №9,Прадукты,Продукты
way,706645369,Родны кут,Родны Кут,Родны Кут
way,771921717,Родный Кут,Родны Кут,Родны Кут
way,200673221,Росинка,Расінка,Кладовка
way,25387646,ТРЦ Галилео,ГЗЦ «Галілео»,ТРЦ «Галилео»
way,336991463,"ТЦ ""ЛенінГрад""",ЛенінГрад,ЛенинГрад
way,164758279,ТЦ «Ніка»,ГЦ «Ніка»,ТЦ «Ника»
way,384165014,ТЦ Базис,"ГЦ ""Базіс""","ТЦ ""Базис"""
way,155587445,ТЦ Замок,ГЦ «Замак»,ТЦ «Замок»
way,62222001,"Универсам ""АЛМИ""",Алмі,Алми
way,231162132,Усход,Ўсход,Восток
way,152776010,"Фирменный магазин №1 ОАО ""Глубокский мясокомбинат""","Магазін №1 ОАО ""Глыбоцкі мясакамбінат""",золотой колос
