osm_type,osm_id,name,name:be,name:ru
way,30851884,AMI мебель,,АМИ мебель
way,96982802,AMI мебель,,АМИ мебель
way,379832829,AMI мебель,,АМИ мебель
way,239849038,"Арт-бар ""Чемодан""",,Чемодан
way,290467241,Балтийский,,Квартал
way,312832620,Белоруснефть №29,,Белоруснефть № 29
way,809587038,Вода и тепло,,"Магазин сантехники ""Вода и тепло"""
way,276582650,Гемма PARK,,Гемма Парк
way,1071782414,Грошык,,Грошик
way,175292274,Дары от зари,,Дары от Зари
way,301571984,Дионис-9,,Дионис 9
way,99002821,Евроопт Market,,Евроопт Маркет
way,104339519,Евроопт Market,,Евроопт Маркет
way,115852829,Евроопт Market,,Евроопт Маркет
way,229757233,Евроопт Market,,Евроопт Маркет
way,241897875,Евроопт Market,,Евроопт Маркет
way,241921249,Евроопт Market,,Евроопт Маркет
way,242764522,Евроопт Market,,Евроопт Маркет
way,242824999,Евроопт Market,,Евроопт Маркет
way,316104742,Евроопт Market,,Евроопт Маркет
way,559080660,Евроопт Market,,Евроопт Маркет
way,762531025,Евроопт Market,,Евроопт Маркет
way,119607530,Евроопт Market,,Евроопт мини
way,327148776,Евроопт Минимаркет,,Евроопт
way,436154874,Евроопт Минимаркет,,Евроопт
way,669967404,Евроопт Минимаркет,,Евроопт
way,179668049,Евроопт Минимаркет,,Продукты
way,480261138,Клумба,,Букет
way,564248195,Могилевсоюзпечать,,ДЭМАКС
way,292305156,Родный кут,,Родны кут
way,629169678,Роснефть АЗС 1,,Роснефть
way,69712896,Роснефть № 21,,Роснефть
way,69295303,Смажанка,,Смаженка
way,261279885,Суши-шоп,,СУШИ ШОП
way,25839182,"Универмаг ""Беларусь""",,ТКУП «Универмаг Беларусь»
