osm_type,osm_id,name,name:be,name:ru
way,538443154,10 Чех,,
way,448041556,10-й околоток Минской дистанции пути,,
way,904609942,108д,,
way,25322744,12ый корпус (Дизельная),,
way,25322746,13ый корпус (Кислородная подстанция),,
way,97527903,23 Гож,,
way,106294965,25а Гож,,
way,97527910,26 Гож,,
way,289883194,3ТП-35,,
way,25313151,АТМ,,
way,25318539,АТМ,,
way,25393787,АТМ,,
way,25326983,АТС 21,,
way,359674847,АТС контейнерного типа,,
way,25388355,АТС-203,,
way,189705204,АТС-37,,
way,409779412,БКТП № 2692,,
way,1058322108,БКТП-2846,,
way,1058322110,БКТП-2865,,
way,29164733,БПРМ (17),,
way,374144544,БТС (ПНС),,
way,624426938,"БЦ ""Стратег""",,
way,360587728,ВНС №11,,
way,25326445,Водоналивная станция,,
way,1009680845,Воздухозабор,,
way,1057968356,Вспомогательное помещение,,
way,193976534,ГПК № 3,,
way,237304680,ГРП,,
way,280690657,ГРП,,
way,389982370,ГРП,,
way,666055886,ГРП 13,,
way,153311867,ГРП 3,,
way,163542901,ГРП № 36,,
way,306758677,ГРП № 36,,
way,360587729,ГРП № 79,,
way,283330608,ГРП №13,,
way,348884261,ГРП №13,,
way,170747276,ГРП №24,,
way,396715323,ГРП №273,,
way,664168632,ГРП №31,,
way,466460615,ГРП №37,,
way,796299856,ГРП №4,,
way,515073560,ГРП №53,,
way,283321747,ГРП №7,,
way,883881779,ГРП №8,,
way,293656490,ГРП №9,,
way,933428601,ГРП №9,,
way,67017074,ГРП-252,,
way,334802971,ГРП-29,,
way,334274542,ГРП-31,,
way,662865357,ГРП-39,,
way,505082481,ГРП-7,,
way,402605324,ГРП-8,,
way,289702417,ГРП№1,,
way,289550624,ГРП№2,,
way,387290451,ГРП№3,,
way,289718811,ГРП№8,,
way,294128315,ГРУ-2,,
way,795424755,Газорегулировочный пункт №17,,
way,700941639,Газорегуляторный пункт,,
way,1057968353,Гальваника,,
way,325513106,Гидрометеостанция,,
way,45404641,"Диспетчерский пункт рем-та лифтов, ЦТП-110",,
way,25436499,Заготовительный пункт №238,,
way,1057968351,Заготовительный участок,,
way,406406297,Здание ПЧ,,
way,824624246,ИТП,,
way,334802972,КН ЦТП,,
way,717764645,КНС №4,,
way,84972079,КНС-49,,
way,106900986,КПУТ 1/641,,
way,150681227,КПУТ 1/736,,
way,221266420,КПУТ 1/737,,
way,180019513,КТК,,
way,697828676,КТПБ № 4463,,
way,479935225,КТСМ,,
way,481549735,КТСМ,,
way,545605953,КТСМ,,
way,573724222,КТСМ,,
way,651761022,КТСМ,,
way,653719649,КТСМ,,
way,657968275,КТСМ,,
way,672691189,КТСМ,,
way,675824161,КТСМ,,
way,675824173,КТСМ,,
way,706668646,КТСМ,,
way,711027546,КТСМ,,
