dep_osm_type,dep_osm_id,dependant,osm_type,osm_id,name,name:be,name:ru
way,29504353,12-ы кіламетр МКАД,,,,,
way,29504353,12-ы кіламетр МКАД,,,,,
way,190005974,12-ы кіламетр МКАД,,,,,
way,190005974,12-ы кіламетр МКАД,,,,,
way,958125614,12-ы кіламетр МКАД,,,,,
way,958125614,12-ы кіламетр МКАД,,,,,
way,958125615,12-ы кіламетр МКАД,,,,,
way,958125615,12-ы кіламетр МКАД,,,,,
way,25227481,16-і кіламетр МКАД,,,,,
way,25227481,16-і кіламетр МКАД,,,,,
way,62775363,24-ы кіламетр МКАД,,,,,
way,62775363,24-ы кіламетр МКАД,,,,,
way,25231353,25-ы кіламетр МКАД,,,,,
way,25231353,25-ы кіламетр МКАД,,,,,
way,25231900,28-ы кіламетр МКАД,,,,,
way,25231900,28-ы кіламетр МКАД,,,,,
way,25231902,28-ы кіламетр МКАД,,,,,
way,25231902,28-ы кіламетр МКАД,,,,,
way,479804816,28-ы кіламетр МКАД,,,,,
way,479804816,28-ы кіламетр МКАД,,,,,
way,140529677,31-ы кіламетр МКАД,,,,,
way,140529677,31-ы кіламетр МКАД,,,,,
way,25232151,32-і кіламетр МКАД,,,,,
way,25232151,32-і кіламетр МКАД,,,,,
way,607287893,33-і кіламетр МКАД,,,,,
way,607287893,33-і кіламетр МКАД,,,,,
way,25232246,35-ы кіламетр МКАД,,,,,
way,25232246,35-ы кіламетр МКАД,,,,,
way,25232324,35-ы кіламетр МКАД,,,,,
way,25232324,35-ы кіламетр МКАД,,,,,
way,734484094,35-ы кіламетр МКАД,,,,,
way,734484094,35-ы кіламетр МКАД,,,,,
way,38137868,38-ы кіламетр МКАД,,,,,
way,38137868,38-ы кіламетр МКАД,,,,,
way,25231820,39-ы кіламетр МКАД,,,,,
way,25231820,39-ы кіламетр МКАД,,,,,
way,25231823,39-ы кіламетр МКАД,,,,,
way,25231823,39-ы кіламетр МКАД,,,,,
way,25231667,40-ы кіламетр МКАД,,,,,
way,25231667,40-ы кіламетр МКАД,,,,,
way,25231804,40-ы кіламетр МКАД,,,,,
way,25231804,40-ы кіламетр МКАД,,,,,
way,694244296,40-ы кіламетр МКАД,,,,,
way,694244296,40-ы кіламетр МКАД,,,,,
way,734947165,40-ы кіламетр МКАД,,,,,
way,734947165,40-ы кіламетр МКАД,,,,,
way,734947166,40-ы кіламетр МКАД,,,,,
way,734947166,40-ы кіламетр МКАД,,,,,
way,734947167,40-ы кіламетр МКАД,,,,,
way,734947167,40-ы кіламетр МКАД,,,,,
way,25231664,41-ы кіламетр МКАД,,,,,
way,25231664,41-ы кіламетр МКАД,,,,,
way,166561095,44-ы кіламетр МКАД,,,,,
way,166561095,44-ы кіламетр МКАД,,,,,
way,25229379,47-і кіламетр МКАД,,,,,
way,25229379,47-і кіламетр МКАД,,,,,
relation,549362,Baltic Sea,,,,,
way,924857892,Bialystok,,,,,
way,924857892,Bialystok,,,,,
way,1086679758,Białystok,,,,,
way,1086679758,Białystok,,,,,
way,1163493540,Białystok,,,,,
way,1163493540,Białystok,,,,,
relation,3404065,Biebrza,,,,,
relation,2086905,Black Sea,,,,,
relation,12417545,Bruņinieku upe,,,,,
way,709229362,Druskininkai,,,,,
way,709229362,Druskininkai,,,,,
way,924857891,Druskininkai,,,,,
way,924857891,Druskininkai,,,,,
way,1106830468,Druskininkai,,,,,
way,1106830468,Druskininkai,,,,,
relation,8972053,Düna,,,,,
way,996657484,Lida,,,,,
way,996657484,Lida,,,,,
relation,8863988,Merkys,,,,,
relation,8870304,Merkys,,,,,
relation,332594,Niemen,,,,,
relation,2189214,Nioman,,,,,
relation,7200715,Prypiat,,,,,
way,274707202,Transport and logistics centre,,,,,
way,274707202,Transport and logistics centre,,,,,
way,1013881583,Transport and logistics centre,,,,,
way,1013881583,Transport and logistics centre,,,,,
relation,14076337,Usa,,,,,
relation,12662470,Verža,,,,,
relation,2278710,Wisla,,,,,
way,450752846,"Індустрыяльны парк ""Вялікі камень""",,,,,
way,450752846,"Індустрыяльны парк ""Вялікі камень""",,,,,
way,450752856,"Індустрыяльны парк ""Вялікі камень""",,,,,
way,450752856,"Індустрыяльны парк ""Вялікі камень""",,,,,
way,723343821,"Індустрыяльны парк ""Вялікі камень""",,,,,
way,723343821,"Індустрыяльны парк ""Вялікі камень""",,,,,
way,723343822,"Індустрыяльны парк ""Вялікі камень""",,,,,
way,723343822,"Індустрыяльны парк ""Вялікі камень""",,,,,
way,945241619,ААТ «Гродна Азот»,,,,,
way,945241619,ААТ «Гродна Азот»,,,,,
way,1039674715,ААТ «Гродна-Азот»,,,,,
way,1039674715,ААТ «Гродна-Азот»,,,,,
way,25268003,Август-Бел,,,,,
way,25268003,Август-Бел,,,,,
way,415137280,Азярское,,,,,
way,415137280,Азярское,,,,,
way,601369322,База Алімпія,,,,,
way,601369322,База Алімпія,,,,,
relation,7809961,Балтийское море,,,,,
relation,7810015,Балтийское море,,,,,
relation,14478157,Белинское водохранилище,,,,,
way,170718854,Будаўнічы гіпермаркет,,,,,
way,170718854,Будаўнічы гіпермаркет,,,,,
way,115379101,Бухавічы,,,,,
way,115379101,Бухавічы,,,,,
way,703022818,"Выставачны цэнтр ""ЭКСПАБЕЛ""",,,,,
way,703022818,"Выставачны цэнтр ""ЭКСПАБЕЛ""",,,,,
relation,11964477,Вільня,,,,,
way,415845231,Вільня,,,,,
way,415845231,Вільня,,,,,
way,415845233,Вільня,,,,,
way,415845233,Вільня,,,,,
way,677466876,Вільня,,,,,
way,677466876,Вільня,,,,,
way,677466878,Вільня,,,,,
way,677466878,Вільня,,,,,
way,879413321,Вільня,,,,,
way,879413400,Вільня,,,,,
way,879413401,Вільня,,,,,
way,989296323,Вільня,,,,,
way,989296323,Вільня,,,,,
way,25231953,"Гандлёвы цэнтр ""Ждановічы""",,,,,
way,25231953,"Гандлёвы цэнтр ""Ждановічы""",,,,,
way,25313278,"Гасцінічны комплекс ""Хутаранка""",,,,,
way,25313278,"Гасцінічны комплекс ""Хутаранка""",,,,,
relation,14474433,Головчицкое водохранилище,,,,,
way,25231811,"Гісторыка-культурны комплекс ""Лінія Сталіна""",,,,,
way,25231811,"Гісторыка-культурны комплекс ""Лінія Сталіна""",,,,,
relation,9193201,Днепровско-Бугский канал,,,,,
relation,9200348,Днепровско-Бугский канал,,,,,
relation,9213862,Днепровско-Бугский канал,,,,,
relation,14444070,Днепровско-Бугский канал,,,,,
relation,14474381,Днепровско-Бугский канал,,,,,
relation,14474502,Днепровско-Бугский канал,,,,,
relation,14476263,Днепровско-Бугский канал,,,,,
