dep_osm_type,dep_osm_id,dependant,osm_type,osm_id,name,name:be,name:ru
way,310346021,15-ы кіламетр МКАД,,,,,
way,310346021,15-ы кіламетр МКАД,,,,,
way,25229722,47-ы кіламетр МКАД,,,,,
way,25229722,47-ы кіламетр МКАД,,,,,
way,745151113,Transport and logistics centre,,,,,
way,745151113,Transport and logistics centre,,,,,
way,180407655,Азярское,,,,,
way,180407655,Азярское,,,,,
way,43683523,Вялкая Ухалода,,,,,
way,43683523,Вялкая Ухалода,,,,,
way,29385057,Вільнюс,,,,,
way,29385057,Вільнюс,,,,,
way,112686098,Вільнюс,,,,,
way,112686098,Вільнюс,,,,,
way,127153024,Вільнюс,,,,,
way,127153024,Вільнюс,,,,,
way,188173006,Вільнюс,,,,,
way,188173006,Вільнюс,,,,,
way,421596202,Вільнюс,,,,,
way,421596202,Вільнюс,,,,,
way,1061095606,Вільнюс,,,,,
way,1061095606,Вільнюс,,,,,
way,43682766,Жураўшчына,,,,,
way,43682766,Жураўшчына,,,,,
way,322021404,"Лыжна-біятлонная спартыўная база ""Заячая паляна""",,,,,
way,322021404,"Лыжна-біятлонная спартыўная база ""Заячая паляна""",,,,,
way,125683097,Масква,,,,,
way,125683097,Масква,,,,,
way,130183427,Масква,,,,,
way,130183427,Масква,,,,,
way,421596205,Масква,,,,,
way,421596205,Масква,,,,,
way,450478445,Масква,,,,,
way,450478445,Масква,,,,,
way,461374740,Масква,,,,,
way,461374740,Масква,,,,,
way,40112744,"Нацыянальны аэрапорт ""Мінск""",,,,,
way,189992913,Прамзона Шабаны,,,,,
way,189992913,Прамзона Шабаны,,,,,
way,27947054,"Спарткомплекс ""Стайкі""",,,,,
way,27947054,"Спарткомплекс ""Стайкі""",,,,,
way,703011850,"Спарткомплекс ""Стайкі""",,,,,
way,703011850,"Спарткомплекс ""Стайкі""",,,,,
way,745151113,Транспартна-лагістычны центр,,,,,
way,745151113,Транспартна-лагістычны центр,,,,,
way,25265445,Угалец,,,,,
way,25265445,Угалец,,,,,
way,74178804,Угалец,,,,,
way,74178804,Угалец,,,,,
way,112863860,Хожава,,,,,
way,112863860,Хожава,,,,,
way,25543451,"ЦЭТ ""Станькава""",,,,,
way,25543451,"ЦЭТ ""Станькава""",,,,,
way,25237866,Чарнігаў,,,,,
way,25237866,Чарнігаў,,,,,
way,327667946,"аздараўленчы цэнтр ""Арлёнак""",,,,,
way,327667946,"аздараўленчы цэнтр ""Арлёнак""",,,,,
way,25290133,аэрапорт Брэст,,,,,
way,25290133,аэрапорт Брэст,,,,,
way,322021404,"гарналыжны комплекс ""Лагойск""",,,,,
way,322021404,"гарналыжны комплекс ""Лагойск""",,,,,
way,189992915,прамзона Шабаны,,,,,
way,189992915,прамзона Шабаны,,,,,
way,807787743,прамзона Шабаны,,,,,
way,807787743,прамзона Шабаны,,,,,
way,807787744,прамзона Шабаны,,,,,
way,807787744,прамзона Шабаны,,,,,
way,327667946,санаторый Буг,,,,,
way,327667946,санаторый Буг,,,,,
way,327667946,санаторый Надзея,,,,,
way,327667946,санаторый Надзея,,,,,
